Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Sex,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers
20230808-F2ED8-2147345932,8/8/2023 ,8/11/2023 ,9/1/2023 ,Consumer,"Two inch Square shaped pop up gadget used as a sensory toy. Comes in multicolor.","Toys & Children","Toys","Toys, Not Elsewhere Classified (1381)",1381,"XIAMENSHI CHUNHONGLING TECHNOLOGY CO.,LTD.","Gookit","Pop toy ","B09YYJ88HW","Not available ",5/12/2022 ,"NA","Amazon ",,5/12/2022 ,No,"Pop up broken by a toddler","Skokie","Illinois",60076,"Home/Apartment/Condominium","Incident, No Injury","","No Relationship","2",,,,,,,,,"",
20180416-B855E-2147388588,4/16/2018 ,7/2/2018 ,7/17/2018 ,Consumer,"JA-RU Pull Action Spin Saucer ","Toys & Children","Toys","Flying Discs and Boomerangs (5017)",5017,"JA-RU INC","Spin Saucer ","SKU#1099860",,,,,"General Dollar ",,4/14/2018 ,No,"My husband purchased some outside toys on Saturday for the nice weather outside.  He bought the JA-RU pull spin saucer for my son. No where on the warning or label did it mention to stand a certain distance from toy nor did it mention that the saucer can go sideways instead of straight up. I was on the right side of my husband and the saucer flew side ways and side swiped my face giving me burns and ripping parts of my skin off my cheek and nose. I am thankful that it was not my son's face that got injured. I am requesting a stronger warning label or that this toy be removed. It could have injured my eye it was so close. I have pictures. ","Midland","Texas",79706,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","Female","Self","30",Yes,No,,,No,Yes,,"I have the saucer part of the toy , and I tried calling the toy manufacture with no response. ","",
20241226-1ED34-2147334380,12/26/2024 ,1/29/2025 ,2/12/2025 ,Consumer,"Bitty Bao Dim Sum steamer basket, bottom basket","Toys & Children","Toys","Pretend Electronics, Tools, Housewares & Appliances (5020)",5020,"Bitty Bao","Bitty Bao",,,,,,"Bittybao.com",,,No,"Wood broke off while child was playing with it",,,,"Home/Apartment/Condominium","No Incident, No Injury","Female","My Child","1",Yes,No,,,,Yes,,"Toy was purchased brand new","Bitty Bao: We at Bitty Bao LLC take safety, consumer comments, and concerns very seriously. Our contact email is listed on our website and we actively monitor our social media daily, so it is easy for consumers to reach us. The Wooden Dim Sum Toy has been tested frequently and routinely by independent laboratories and passes ASTM F963, CCPSA, EN71, and ISO 8124 –- toy standards referred to or mandated by most countries throughout the world. It has consistently passed all testing by CPSC certified laboratories. In addition, the product is appropriately labeled for children 3+ years old, both on its packaging and on our website. While we are very sorry to hear of the incident with this customer’s 1-year-old, as clearly stated on our website and packaging, our toy is intended for children ages 3 and up due to the handling of the wooden pieces. Although all of our wooden toy components are sized for essential safety and are more than 8% larger than the federal small part tube, the wear and tear and rougher play on a wooden toy by a child younger than 3 years of age can easily lead to excessive damage to toys made of wood. Over 3,000 units of this style have been sold since its inception. We checked our records and we have not had any other incident like this reported on this product. Despite this outstanding record, we strive to address any concerns reported to us. Therefore, we reviewed all our process controls, tests, and inspections to emphasize the important assembly steps, and we continue to follow our sound testing program for product compliance.  This customer also contacted us the day after the incident, and we immediately addressed her concerns and offered to mail her a replacement part as requested.  However, she requested the wrong piece, and when we offered to send another replacement piece per our terms of service listed on our website, we did not receive a follow-up response.",
20230718-729AD-2147346344,7/19/2023 ,7/21/2023 ,8/11/2023 ,Consumer,"Hover Soccer Ball toy. Approximately 6” diameter and 2” thick. Uses 3 AA batteries. Ages 6+. Foam bumper, white plastic with red paint to look like a soccer ball. See pictures","Toys & Children","Toys","Toy Vehicles (Excluding Riding Toys) (5021)",5021,"ROYAL DELUXE ACCESSORIES LLC","Hover Soccer Ball distributed by Royal Deluxe Acce","item # HV80127","Not provided","613153801273",12/1/2022 ,"12-2022","Dollar Tree, Crescent Springs, KY",,7/18/2023 ,No,"Hover Soccer Ball toy started smoking during use. Turned off before it caught on fire. Toy was new and batteries were new. I disassembled toy and found that wires had shorted out. Toy was purchased for 7-8 yo. I was burned by the batteries trying to remove them ‘ inspect the toy","Villa Hills","Kentucky",41017,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","Male","Self","38",Yes,No,,,,No,,"It looks like the electronics board was loose and contacted a battery terminal shorting out the system","",
20180518-47F3F-1762317,5/18/2018 ,8/13/2018 ,8/27/2018 ,Medical Examiner and Coroner,"Calico toys Critters toy line, specifically the Yellow Labrador Twins set.Link to the product on the manufacturer's website: http://calicocritters.com/catalog/item_detail.php?product_id=789","Toys & Children","Toys","Pretend Electronics, Tools, Housewares & Appliances (5020)",5020,"Epoch Everlasting Play","Calico Toys","Yellow Labrador Twins","CC2019",,,,,,,No,"A 2 year old deceased child came into the New Mexico Office of the Medical Investigator. Initial informationindicated she had choked on a piece of food, but during autopsy we located a small part of a toy in the child'sbronchus, specifically a small plastic pacifier. The toy is manufactured by Calico Toys and is part of a toy line calledCritters and is part of the Yellow Labrador Twins set within this toy line.It is unknown how the child was playing with the toy at the time of her choking.","Dulce","New Mexico",87528,"Home/Apartment/Condominium","Death","Female","Unspecified","2",Yes,No,,No,No,No,No,,"",
20241117-36FE2-2147335213,11/17/2024 ,11/22/2024 ,12/9/2024 ,Consumer,"Rajah Play Set- baby Rajah the tiger with baby care accessories such as blanket magic carpet, bottle, pacifier, brush, food dish, baby spoon, ect","Toys & Children","Toys","Doll Houses and Other Play Scenes (5018)",5018,"Disney Store USA, LLC","Disney Princess","FAC-087036-22060",,"0097876907",,,"World of Disney ",,11/17/2024 ,No,"My daughter purchased a Baby Rajah toy at the World of Disney Store in Orlando, FL. Shortly after opening the toy and taking the toy out of the packaging, she asked her help with the pacifier part of the toy because it had broken. The plastic nipple separated from the shield part of the pacifier. She had the toy less than 2 hours when this break occurred.","Lake Buena Vista","Florida",32830,"Other","Incident, No Injury","Female","Unspecified","",No,No,,,,No,,,"",
20240330-F76B6-2147340055,3/30/2024 ,4/22/2024 ,5/6/2024 ,Consumer,"Round squishy ball with antennas that have round rubber balls attached that can be pulled off.","Toys & Children","Toys","Balls, Other or Not Specified (5016)",5016,"GREENBRIER INTERNATIONAL","Squishy toy","382503-14685-001-100923",,"195464434505",,,"Dollar tree",,3/28/2024 ,Yes,"Toddler pulled on the balls on toy and they came off. Chocking hazard on rubber balls that come off toy. There is no chocking hazard label on toy.","Eastvale","California",92880,"Home/Apartment/Condominium","No Incident, No Injury","","My Child","1",Yes,No,,,,No,,,"",
20210503-631A6-2147364376,5/3/2021 ,5/6/2021 ,5/20/2021 ,Consumer,"It is marketed as a magicians toy and is in toys and games on Amazon.","Toys & Children","Toys","Toys, Not Elsewhere Classified (1381)",1381,"Beijing Zhou Shi Xiong Di Shang Mao You Xian Gongsi","Kensally Xfunjoy 59 ","Metal Appearing Cane B083KL6MCZ","B083KL6MCZ",,,,"Amazon",,4/28/2021 ,No,"We purchased an item on Amazon, called the Pocket Staff and my son used it a few times the day he got it. When he used it again, it came out so fast and the metal sliced off a good amount of the top of his finger. We went to the ER had an xray and got treatment for the injury.","Oceanport","New Jersey",07757,"Home/Apartment/Condominium","Injury - Emergency Department Treatment Received","Male","My Child","10",Yes,No,,,,No,,,"",
20220511-0A445-2147356251,5/11/2022 ,5/17/2022 ,6/8/2022 ,Consumer,"It is from Buckle Toys. It is called the Bizzy Square. It is a small plush orange square pillow about 6x6 with a total of 12 hanging web material buckles hanging from it. The purpose of it is to teach children how to buckle and unbuckle.","Toys & Children","Toys","Toys, Not Elsewhere Classified (1381)",1381,"Buckle Toy Inc","Buckle Toys","Bizzy Square (the orange one)","Cannot locate one on the tag","Cannot locate o",11/20/2021 ,"112021","Amazon",,12/29/2021 ,No,"I purchased a toy manufactured by Buckle Toys. It is a pillow that teaches small children how to fasten clips. A child who will turn 2 next month was playing with the toy. Next thing I know, she had the toy clipped around her throat and she was  not able to make a sound. She had managed to fasten the toy around her neck! I firmly believe if I had not been near her, she would have died  bc of it strangling her around her neck. I did not seek medical attention. I removed the toy, comforted her and when she cried, it was music to my ears!","Plainfield","Illinois",60544,"Home/Apartment/Condominium","Injury - No First Aid or Medical Attention Received","Female","My Client, Patient, Student, Etc. (professional relationship)","2",Yes,No,,,,Yes,,,"",
20220201-34AE8-2147357746,2/1/2022 ,2/3/2022 ,2/24/2022 ,Consumer,"DC Wacky Pack Man-Bat Figure, it’s brown shaped like a bat with yellow eyes. Kid’s meal from Sonic","Toys & Children","Toys","Dolls, Plush Toys, and Action Figures (1394)",1394,"America's Drive-In Brand Properties LLC","DC Man Bat Figure ",,,,,,"Sonic ","Mississippi",1/31/2022 ,No,"My four year old grandson got a toy in his kid’s meal from Sonic on 1/31/22, it was a DC Wacky Pack Mam-Bat Figure. While playing with the toy he  poked himself in the eye with the toy. The ears and wings on this toy is very pointy. His eye was very red and he was in pain for the rest of the night.","Gulfport ","Mississippi",39503,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","Male","Other Relative","4",,,,,,,,,"",
