Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Sex,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers
20110623-F10BD-2147477908,6/23/2011 ,,7/18/2011 ,Consumer,"Disney Princess Activity Ride-OnFeel like a real princess with Princess Activity Ride-on.    * engine and horn sounds    * glowing castle and pop-up princesses    * sturdy construction Ages 1-3. Measures 20x10x19H. Uses two type AA batteries, not included. ","Toys & Children","Riding Toys","Wheeled Riding Toys, Unpowered (1398)",1398,"Kiddieland Toys Limited",,,,,,,"Gift",,,No,"I would like to report the Kiddieland Disney Baby Princess Activity Ride-on toy. The seat of this toy is a lid to a storage compartment beneath the seat.  Little  fingers can get caught and smashed as the lid closes and a rider sits on the seat. This almost happened with my toddler and I ended up tapping the seat closed so the kids could not open the lid/seat. Kiddieland also has this same type of storage seat on other of their ride-on toys. http://www.amazon.com/Kiddieland-Disney-Princess-Activity-Ride-/dp/B000EX0DFA/ref=sr_1_1?s=toys-and-games&ie=UTF8&qid=1308877363&sr=1-1","Pasadena","California",91107,"Home/Apartment/Condominium","Incident, No Injury","","Unspecified","",Yes,No,,,No,No,No,"Stlll have the toy.","",
20110709-0478C-2147477391,7/9/2011 ,,7/29/2011 ,Consumer,"Radio Flyer brand Model 312PGirls' Push Pull & Ride Snail Style Ride On Toy","Toys & Children","Riding Toys","Wheeled Riding Toys, Unpowered (1398)",1398,"Radio Flyer INC.","Radio Flyer","Model 312P ",,,,,"Gift for Christmas from friends",,12/1/2010 ,Yes,"The toy is the Radio Flyer Model 312P Girls' Push Pull & Ride Snail Ride On toy.  This was actually the third time that this happened with this toy, which is why I felt prompted to write you today.  The first time, I chalked it up to an uncoordinated child who was riding the toy, the second time I thought it was just a coincidence.  The third time, I decided to write, as this is just a terrible toy. This is a poorly designed toy in which the balance is off.  The front of the toy tips forward very easily, with the slightest movement when it is in the ride-on position.  (The toy is marketed as having three positions for play). It is obvious to me now that it is very easy for a child to pitch forward and smash their face on the ground, in addition to being unassisted by their hands to break the fall, since they are holding onto the handles of it.  As an adult handling the toy and manipulating it in this manner, it becomes apparent that it is a design flaw, as it happens so easily with minimal effort. In two previous separate incidents (not reported prior to this), two visiting children had pretty bad forward-tipping accidents on this toy.  In one of those incidents, the child tipped forward while riding on the toy and hit her chin, while her teeth penetrated her bottom lip, sustaining a rather nasty bloody laceration from the impact.  We were grateful that it happened in the house on the wood floor and not outside on the concrete or asphalt. (Yikes!) The incidence that just occurred this week (7/5/11) was a close call with my own child.  She was just sitting there, hardly even moving on the toy, and I was sitting on the ground nearby playing with my older child.  Suddenly, as she stretched her feet out forward on the wheels of the toy, the toy pitched forward and I caught my daughter by her face just in time before she and the toy hit the ground.  The toy is now out of reach, as we have determined it to be an unsafe toy that causes injury.",,,92084,"Home/Apartment/Condominium","Injury - Level of care not known","Female","My Child","1",Yes,No,,,No,No,No,," Radio Flyer takes product safety issues very seriously. We investigate each CPSC database incident report. We encourage our customers to provide additional information about incidents to our Customer Service, by calling 800-621-7613, or visiting our website at www.radioflyer.com ",
20240824-05A96-2147336965,8/24/2024 ,8/28/2024 ,9/12/2024 ,Consumer,"Wisairt 24V Kids Ride on Truck, 2 Seater Powered Ride on Car w/ Remote Control and Storage Space, 3 Speeds, [REDACTED], LED Lights (Black)","Toys & Children","Riding Toys","Powered Riding Toys (1330)",1330,"Zhongshan Chuangxi Electronic Technology Co., Ltd","wisairt ",,,,,,"Walmart ",,8/11/2024 ,No,"My 4 year old pressed the pedal to go  when a 6 year old grabbed the back of the toy. The toy flipped upside down and on top of my 4 year old trapping him underneath and ejecting him from the toy.","Oklahoma City ","Oklahoma",73131,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","Male","My Child","4",Yes,No,,,,Yes,,,"",
20171224-3DD28-2147394325,12/24/2017 ,3/15/2018 ,3/30/2018 ,Consumer,"Fisher Price 3-in-1 Sit, Stride, and Ride Lion","Toys & Children","Riding Toys","Wheeled Riding Toys, Unpowered (1398)",1398,"FISHER-PRICE BRANDS","Fisher Price ","DHW02?","DHW02-E518-01 1100843582?",,,"2667T2","Target ","Arizona",11/15/2017 ,Yes,"My grandson was playing with the Fisher Price 3-in-1 Sit, Stride, & Ride Lion.  He put his hand and arm into the ball return and cried that his hand was stuck.  It was extremely hard to turn the toy over so that I could get to the screws to take the toy apart.  He was in pain every time we tried to move the toy.  When we got all of the screws out, the top of the toy came off and his hand was free.  His thumb was swollen with two red marks.  Putting ice on his hand brought the swelling down with no apparent problems.  I was not sure why he put his hand up into the ball return, but a small toy figure came out when the lion was disassembled.  He said that he was not holding the toy when he got his hand stuck.","Phoenix ","Arizona",85048,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","Male","Other Relative","3",Yes,No,,,No,No,No,"Still have it but plan to return it.","",
20230322-A822E-2147348544,3/22/2023 ,3/24/2023 ,4/10/2023 ,Consumer,"Kids ride on toy truck.  Made by Hikiddo. Model JC222. 24 volt. Black and yellow.","Toys & Children","Riding Toys","Powered Riding Toys (1330)",1330,"SHENZHEN FOREDOM TECHNOLOGY & INNOVATION CO., LTD.","Hikiddo","Model JC222        part no.TK3X1161","unknown",,,,"walmart.com",,12/6/2022 ,No,"Toy started on fire completely burning the toy and other items around it. My trailer also had damage.","INDIO","California",92201,"Unspecified","No Incident, No Injury","Female","My Child","1",Yes,No,,,,Yes,,,"",
20180717-72E16-2147386716,7/17/2018 ,7/25/2018 ,8/8/2018 ,Consumer,"Buggly Wuggly ride on toy. Primarily orange with red, purple and teal highlights. Insect themed, eye stalks are handles with eyeball buttons that light up and make sounds. For ages 1-3.","Toys & Children","Riding Toys","Wheeled Riding Toys, Unpowered (1398)",1398,"MAISON BATTAT INC","B Toys","Buggly Wuggly","H577o0-01",,5/18/2017 ,,"Target",,11/12/2017 ,Yes,"My 19-month-old child’s leg was injured while riding on a ride-on toy as the manufacturer intended. The toy has a small storage compartment under the seat. If the seat is not closed all the way, when the child sits on the toy a pinch can occur on the thigh. This is what happened to my 19-month-old, he has a one inch blood blister on his inner thigh.The product is called a Buggly Wuggly made by B Toys purchased at Target.","Centerville","Ohio",45458,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","Male","My Child","1",Yes,No,,,No,No,Yes,"I still have the product. I plan to contact B Toys.","",
20200707-17BDF-2147371238,7/7/2020 ,7/29/2020 ,8/12/2020 ,Consumer,"Ages 12m+ (1-4yrs)Three ways to play: walk, ride and scootGrow-with-me features encourage motor skills development, balance and coordinationStage 1: Walker/wagon mode captivates early walkers when learning to walk and allows them to push and pull favorite toys alongStage 2: Wagon converts to seat for ride-on mode and is great for toddlers learning foot-to-floor motionStage 3: As toddlers grow, easily converts from a ride-on to a scooterAdjustable handle for a comfortable height when standingPress button for headlight, melodies, and fun sound effectsRequires 3 AAA batteries (not included)Available in our signature ZOO® characters: Unicorn & DogSize (inches): 22.75l x 13.5w x 20.5h; (cm): 57.7l x 34w x 52h","Toys & Children","Riding Toys","Wheeled Riding Toys, Unpowered (1398)",1398,"Skip Hop, Inc.","Skip Hop Zoo 3 in 1",,,,,,"Skip Hop Website",,4/15/2020 ,Yes,"My 3 year old son was riding on his little brother’s Skip Hop Zoo ride on toy.  When the toy is in the seated position if you sit too close to the handle bars it will tip forward.  He tipped it forward and landed on his face.  He has a busted lip and a bloody nose.My 1 year old son also tipped the toy forward two times this weekend.  It appears that the toy is not steady enough to ride while seated.","Knoxville","Tennessee",37934,"Home/Apartment/Condominium","Injury - First Aid Received by Non-Medical Professional","Male","My Child","3",Yes,No,,,No,No,,,"",
20150408-43593-2147433902,4/8/2015 ,4/15/2015 ,4/29/2015 ,Consumer,"Rocy-A-Bye Rocker/Lulu Ladybug design:  Small child rocker designed for up to 80lbs.  ","Toys & Children","Riding Toys","Nonwheeled Riding Toys, Unpowered (1327)",1327,"ROCKABYE TOYS INC.","Rock-A-Bye","Lulu Ladybug","85025","663488850255",10/1/2013 ,,"Manufacturer",,10/1/2013 ,Yes,"Grand Child was playing on Lulu Ladybug Rocker sold by Rock-A-Bye.  She is a petite 2yrs old at an approximate weight of 36lbs.  Rocker stated it was designed for up to 80lbs.  She was play and enjoying the rocker when it flipped forward on her landing her a face plant then the rocker slammed into her head has it completely flipped upside down.  This was a new toy and had not been played with.  She received it for Christmas 2013 and rocker remained in closet until her visit with me at the first of April 2015.  She just turned 2 yrs old.  This rocker is unsafe and should be recalled.","Vale","North Carolina",28168,"Home/Apartment/Condominium","Incident, No Injury","Female","My Child","2",Yes,No,,,No,Yes,,"Have toy and contacted manufacturer about incident. ","",
20110827-5020D-2147475879,8/27/2011 ,,9/20/2011 ,Child Service Provider,"Radio Flyer Scoot & Zoom","Toys & Children","Riding Toys","Wheeled Riding Toys, Unpowered (1398)",1398,"Radio Flyer INC.","Radio Flyer","Scoot & Zoom #711",,,,,,,1/1/2011 ,Yes,"Feed back on Radio Flyer Sccot & ZoomI own a private childcare and purchased 12 radio flyer scoot & Zoom ride on toys about 6 months ago.  The model we have is all the 711 which you have now recalled.  We use these toys for indoor active play on a smooth Composite Tile Floor.  We have had no incidents or injuries related to this toy while using indoors on smoth service.  I also have the same toy at my home for my grandson to ride on.  I  have had problems with tipovers while using this toy outside on rough concrete and indoors at bumps in floor like door way thresh holds.  I  have removed all of these from the school and my home and have requested the newer model from radio flyer. I agree the longer wheel base of the new model would make it better but also think a label for iuse on smooth surfaces only or be careful of use on non-smooth surface as toy may be prone to tip-over on any riding toy of this type..Thanks,[REDACTED]",,,,"Home/Apartment/Condominium","Incident, No Injury","","Unspecified","",,,,,,,,," Radio Flyer takes product safety issues very seriously. We investigate each CPSC database incident report. We encourage our customers to provide additional information about incidents to our Customer Service, by calling 800-621-7613, or visiting our website at www.radioflyer.com.",
20170719-C3CDC-1679964,7/19/2017 ,12/19/2017 ,1/4/2018 ,Consumer,"Ride-on Toy ","Toys & Children","Riding Toys","Powered Riding Toys (1330)",1330,"PEG PEREGO,U.S.A.,INC.","Peg Perego Polaris RVR Ranger","IGOD0516",,,,,"Amazon.com",,12/7/2015 ,No,"Caller is reporting that she experienced similar problems with the ride on toy she purchased for her child as [REDACTED] Hazard:A relay on the circuit board can fail causing the vehicle’s motor to overheat and ignite, posing fire and burn hazards.Caller stated that the control panel caught fire while it was in use, it dissipated in a few mins by itself.  The toy remains inoperable.  She stated that there had been other incidents that it overheated and the control board and harness wiring was replaced.  This will be the 4th incident.Caller feels that this toy should be included in recall.","Overland Park","Kansas",66221,"Home/Apartment/Condominium","Incident, No Injury","","Unspecified","",Yes,No,,,No,Yes,,," In order to better understand the details of the customers claim we request for them to contact our company directly.  We are unable to provide a detailed response without knowing the customer's name to locate their history in our database.",
