Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Toys and Rattle Recall",12/17/1996 ,"Toys and Rattle Recall NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE CONTACT: Nychelle White December 17, 1996 (301) 504-7063 Release # 97-041 CPSC and Importers Announce Recall of Toys and Rattle WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), four toy importers are recalling over 133,000 toys and rattles. The toys and the rattle contain small components that can break off presenting a choking hazard to young children. The importers participating in this recall are Laiko International Company Inc. of City of Industry, Calif.; Lexin Inc. of Los Angeles, Calif.; Shalom International Corp. of Carteret, N.J.; and The Right Start Inc. of Westlake Village, Calif. CPSC and the importers are not aware of any injuries involving these toys or the rattle. The recalls are being conducted to prevent the possibility of injury. Laiko International Recall Laiko International is recalling more than 50,000 Free Wheel Racer toy cars. The plastic Free Wheel Racer toy cars have orange or pink bodies, black wheels, a silver rear mounted engine, and a driver's head in the cockpit. The cars were packaged in clear plastic with a cardboard header labeled in part, FREE WHEEL RACER CHAMPION - FOR AGE 5 & UP - MADE IN HONG KONG - Non-Toxic. The package includes the UPC code number 084036 102204. The toys were sold through Dollar and discount stores nationwide from November 1993 through December 1996 for about $1. For more information, consumers can call Laiko International Inc. at (800) 735-2456 between 8 a.m. and 5 p.m. PST or write to Laiko International Inc., 16710 Johnson Dr., City of Industry, Calif. 91745. Lexin Inc. Recall Lexin Inc. is recalling about 340 Little Performer and 240 Flying Boat toys. The Little Performer toy (Item MS 085) is a wind-up figurine of a girl with a vinyl head, hands, and legs wearing a red and white fabric dress. The girl is seated at a xylophone, which she plays when wound. The Flying Boat toy (Item MF 742) is a pressed sheet metal model of a wheeled speed boat. The 13 inch long by 4.25 inch wide boat is red, white, blue, and gray with black tires with a vinyl driver's head in the cockpit. The Little Performer toys were packaged in paperboard boxes. Labeling on the box includes a picture of the toy and reads in part, WIND-UP SPRING - LITTLE PERFORMER WITH SOUND EFFECT - FOR CHILDREN AGES 3-UP - MADE IN CHINA - MS 085. The Flying Boat toys were packaged in paperboard boxes. Labeling on the box includes a picture of the toy and reads in part, FLYING BOAT - FRICTION - MF 742 - MADE IN CHINA. The toys were sold through specialty gift and collectable stores in the West and Southwest from August through November 1996 for about $15 to $25. For more information, consumers can call Lexin Inc. at (310) 329-7568 or write to Lexin Inc., 148 W. 32nd St., #D, Los Angeles, Calif. 90061. CPSC learned of this problem during joint surveillance of imported toys with the U.S. Customs Service. Shalom International Corp. Recall Shalom International Corp. is recalling is recalling about 75,000 Colormates toy jewelry sets. The plastic necklaces, bracelets, earrings, and barrettes come in a variety of pastel and bright colors and styles. The necklaces and bracelets have a variety of plastic beads/shapes strung on elastic thread. The sets come in the following styles: #60074KS necklace/bracelet/earring set with multi-colored rings. #60328NB necklace/bracelet set with ducks, cats, or bunnies. #60331NB necklace/bracelet set with bows, hearts, or flowers. #60332NB necklace/bracelet set with mice, cats, or bunnies. #60339KS necklace/fabric-covered barrette set with hearts, bears, or bows. #60340KS necklace/fabric-covered barrette set with hearts or bows. #60334NB necklace/bracelet set with flowers. The sets were packaged o",97041,https://www.cpsc.gov/Recalls/1997/CPSC-and-Importers-Announce-Recall-of-Toys-and-Rattle
"Toys R Us Recalls Magic Feeding Bottles",9/24/1992 ,"September 24 , 1992 Release # 92-141 PRODUCT: Toys R Us Magic Feeding Bottles, model number 330221. The toy bottles come in a set of two, with one containing milk and the other containing orange juice. When the bottle is held upside down, simulating feeding, the contents disappear. PROBLEM: The toy bottles may break during use, producing small parts that could be an aspiration hazard to young children. WHAT TO DO: Consumers are urged to take the Magic Feeding Bottles away from young children immediately and return them to the store where purchased for a refund of the purchase price. For more information, call Toys R Us at 1- 800-548-0364. WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Toys R Us of Paramus, NJ is voluntarily recalling approximately 120,000 sets of the toy Magic Feeding Bottles, model number 330221. The toy bottles may break during use producing small parts that could be an aspiration hazard to young children. The Magic Feeding Bottles come in a set of two, with one bottle containing milk and the other bottle containing orange juice. When the bottles are held upside down, simulating feeding, the contents disappear. The bottles were sold nationwide from January 1991 to December 1991, for approximately $1.99 per set. The package reads in part: Magic Feeding Bottles with Safe Disappearing Fluid, Not to be Consumed, 5436B/2, SKN 330221, Made in Hong Kong. Neither CPSC nor the company is aware of any injuries involving this product. This voluntary recall is being conducted to prevent the possibility of injury. The potentially hazardous toys were identified during routine retail surveillance conducted by CPSC. Consumers are urged to take the Magic Feeding Bottles away from young children immediately and return them to Toys R Us for a refund of the purchase price. Consumers with questions about this recall may contact Toys R Us toll-free at 1-800-548-0364. The U.S. Consumer Product Safety Commission is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.5 million injuries and 21,600 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",92141,https://www.cpsc.gov/Recalls/1992/Toys-R-Us-Recalls-Magic-Feeding-Bottles
"CPSC, Dollar Tree Stores Inc. Announce Recall of Plush Bears and Snowman Dolls",4/2/2003 ,"The 10-inch plush bear is white and dressed in a hat and jacket in one of the following colors: red, blue, hunter green, pink, purple, light green, light blue and white. The 10-inch snowman doll is dressed in a hat and jacket that are blue and pink. The snowman dolls also have white scarves and a red ball nose. Both the bears and the snowman dolls have a label on their backs that reads, DIST BY: DOLLAR TREE and MADE IN CHINA. The bears and snowman dolls were sold with ear tags that read: either Christmas House Plush Bear or Christmas House Christmas Plush.",03103,https://www.cpsc.gov/Recalls/2003/CPSC-Dollar-Tree-Stores-Inc-Announce-Recall-of-Plush-Bears-and-Snowman-Dolls-
"600,000 Toy Nursing Bottles Recalled",8/12/1991 ,"August 12, 1991 Release # 91-112 600,000 Toy Nursing Bottles Recalled Washington, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Esco Imports of Texas, Inc., San Antonio, TX 78210 is voluntarily recalling approximately 600,000 toy nursing bottles, model number 3/211. The product was collected by U.S. Customs Service in San Antonio, TX and tested by CPSC. When CPSC tested the toy nursing bottles in accordance with regulations under the Federal Hazardous Substances Act, the nipples separated and are small parts that pose a potential choking hazard for young children. The nursing bottles are labeled Polythene Nursing Bottle ...Esco...3/211...Made in China. Some of the bottles are marked Bottle Baby. The bottles are three inches in length with rubber nipples. The caps are either blue or pink. Each package contains two toy nursing bottles and retailed from 29 cents to 59 cents. The nursing bottles were sold in variety, toy, grocery and discount stores from May 1982 to January 1991. The stores were located in the following states: Indiana, Ohio, New York, Texas, Utah, Michigan, Kentucky, Louisiana, Wisconsin, Oklahoma, Illinois, Iowa and Mississippi. Neither the CPSC nor the company is aware of any injuries involving these toy bottles. Consumers are urged to take the toy bottles away from young children immediately and return them to the store where purchased for a full refund of the purchase price. For more information about this recall, consumers may call the firm at 1-800-445-3836. The U.S. Consumer Product Safety Commission is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to help reduce the estimated 28.5 million injuries and 21,600 deaths that occur each year with the 15,000 different types of consumer products within CPSC's jurisdiction",91112,https://www.cpsc.gov/Recalls/1991/600000-Toy-Nursing-Bottles-Recalled
"Cupie Dolls #6342 Recalled by 5th Avenue Dolls",4/12/1984 ,"Cupie Dolls #6342 Recalled by 5th Avenue Dolls NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE April 12, 1984 Release # 84-023 5th Avenue Dolls Cupie Doll #6342 Recalled Because Of Choking Hazard Washington, DC-- In cooperation with the U.S. Consumer Product Safety Commission, 5th Avenue Dolls, New York, New York, today announced a voluntary recall of approximately 22,000 Cupie Dolls #6342 because the small arms can be removed from the body of the doll. These small parts may present a choking, aspiration, or swallowing hazard. CPSC safety standards specify that toys for children under three must not have such small parts. Since 1983, approximately 22,000 of these toys have been sold through Kay-Bee stores nationwide for $.99 each. The CPSC has not received any reports of infant choking incidents involving small parts from this toy. The toy is a light beige colored plastic doll with a moveable head and arms. It is 4 l/2 inches high by 1 l/2 inches wide. The cardboard header identifies the toy as being manufactured in Hong Kong with the Code #6342 Cupie Doll. The doll was not supplied with any clothes. Consumers should remove these products from use immediately and return them to the retailer where purchased for a full refund. For further information, consumers may call Wisconsin Toy and Novelty at (212) 741-2125, or the CPSC toll-free Hotline at 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",84023,https://www.cpsc.gov/Recalls/1984/5th-Avenue-Dolls-Cupie-Doll-6342-Recalled-Because-Of-Choking-Hazard
"Oriental Trading Company, Inc. Recalls Five Toys",8/27/1993 ,"AUGUST 27, 1993 Release # 93-100 PRODUCT: Five toys/children's jewelry items distributed by Oriental Trading Company, Inc. The items include plastic toy maracas, item #16/008; plastic toy baby bottles, item #16/16; plastic heart-shaped stetchable bracelets; plastic stretchable charm bracelets; and beaded charm necklaces. PROBLEM: During CPSC testing, small parts detached from each of these toys and jewelry items, presenting a choking hazard to young children. WHAT TO DO: Consumers are urged immediately take the recalled products away from young children and return them to the stores where purchased for a full refund. For more information, consumers may call (402) 331-5511. WASHINGTON, DC -- CPSC, Oriental Trading Company, Inc., Omaha, NE is voluntarily recalling the following five children's items because they all present choking hazards. - Item #16/8, 7-inch plastic toy maracas, 240,000 were sold between December 1989 and July 1992. The maracas were sold two to a package in a clear, plastic bag with a cardboard header labeled, in part Rock 'N Roll CHA CHA. - Item #16/16, plastic toy baby bottles, 216,000 were sold between June 1985 and July 1992. The bottles were sold three to a package. Each package was labeled in part *** Bottles with Real Rubber Nipples - Made in Hong Kong***. - Item #24/329, 4-inch heart-shaped stretchable toy bracelets, 42,000 were sold between September 1989 and July 1992. Each bracelet consists of 12 various colored hearts strung together on a elastic cord. The bracelets were sold 12 to a package and were sold in a clear, plastic bag with an affixed adhesive label reading, in part ***Made in China***. - Item #24/394, 15-inch plastic beaded charm necklaces, 39,600 were sold between May 1991 and July 1992. Each necklace consists of a beaded strand with 10 various colored shaped hearts, stars, and other similar items attached. The necklaces were sold 12 to a package and were sold in a clear, plastic bag with an affixed adhesive label reading, in part ***Made in China***. - Item #24/395, 6-inch stretchable charm toy bracelets, 42,000 were sold between June 1991 and July 1992. Each bracelet consists of a beaded strand with various shaped objects, such as hearts, attached. The charm bracelets were sold 12 to a package and were sold in a clear, plastic bag with an affixed adhesive label reading in part ***Made in China***. Neither CPSC nor Oriental Trading Company, Inc. is aware of any injuries involving these products; this recall is being conducted to prevent the possibility of injury. During CPSC testing, small parts detached from each of these toys presenting a potential choking hazard to young children. These toys were found during an inspection of the firm by CPSC. The recalled toys were sold in toy stores, discount stores, and various other retail stores nationwide and ranged in price from 20 to 80 cents each. Consumers are urged immediately take the recalled items away from young children and return them to the stores where purchased for a full refund. For more information about this recall, consumers may call Oriental Trading Company, Inc. at: (402) 331-5511 or write to the company at: 4206 South 108th Street, Omaha, Nebraska 68137-1215. CPSC is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products",93100,https://www.cpsc.gov/Recalls/1993/Oriental-Trading-Company-Inc-Recalls-Five-Toys
"Chilton-Globe, Inc. Recalls Evenflo Mini Nursers Doll Care Set Due To Choking Hazard",5/28/1992 ,"May 28, 1992 Release # 92-091 Chilton-Globe, Inc. Recalls Evenflo Mini Nursers Doll Care Set Due To Choking Hazard PRODUCT: Toy baby bottle, Evenflo Mini Nursers Doll Care Sets, imported by Chilton-Globe, Inc., model number 8075-9, sold in a blister package of two per set. PROBLEM: The toy nipples may separate from the bases of the holders and the caps packaged with the toy bottles are small parts posing a choking and aspiration hazard to children under three years of age. WHAT TO DO: Return postage pre-paid to Chilton-Globe, Inc., 820 Buffalo Street, Manitowac, WI 54221 for a full refund. For more information, consumers may contact Chilton-Globe, Inc. at 1-800-558-7720 and ask for Department 119. WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Chilton-Globe, Inc., of Manitowoc, WI is voluntarily recalling toy Evenflo Mini-Nursers, model number 8075-9, marketed as a doll care set. When CPSC tested the toy Evenflo Mini Nursers in accordance with regulations under the Federal Hazardous Substances Act, the nipples separated from the bases of the holders posing a potential choking or aspiration hazard for children under three years of age. The caps packaged with the bottles also pose a potential choking or aspiration hazard for children under three years of age. The Evenflo Mini Nursers are a set of two clear plastic toy baby bottles. Each bottle measures 3-3/4 inches tall and one inch in diameter. The toy bottles are packaged with two pink or blue bottle caps and are sold in a cardboard-backed blister package. The label on the package reads in part:  . . . Chilton Toys Evenflo Doll Care Set . . . Made in China . . . for ages 3 and up.This recall applies only to toy nursing bottles and does not apply in any way to regular size Evenflo nursing bottles. The toy Evenflo Mini Nursers, imported by Chilton-Globe, Inc., were sold nationwide at a variety of retail stores for $1.00 to $2.00 each from the mid 1980s through December 1991. Consumers are urged to take the nursers away from children under three years of age immediately and if purchased after January 1, 1990, return the nursers, postage pre-paid, to Chilton-Globe, Inc., 820 Buffalo Street, Manitowoc, WI 54221 for a full refund. For more information about this recall, consumers may contact Chilton-Globe, Inc. at 1-800-558-7720 and ask for Department 119. Neither CPSC nor the company is aware of any injuries involving this product. This voluntary recall is being conducted to prevent the possibility of injury. The potentially hazardous toys were identified at the Port of Chicago, IL, during a joint CPSC/U.S. Customs program. Chilton-Globe, Inc. and CPSC are announcing this recall to protect the public from unreasonable risks of injury associated with consumer products. CPSC is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.5 million injuries and 21,600 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",92091,https://www.cpsc.gov/Recalls/1992/Chilton-Globe-Inc-Recalls-Evenflo-Mini-Nursers-Doll-Care-Set-Due-To-Choking-Hazard
"T.P.I. Of Illinois, Inc. Recalls Three Toys",7/31/1992 ,"July 31, 1992 Release # 92-119 PRODUCT: Train Set, Sweet Doll with Accessories, and Baby's Rattle imported by T.P.I. of Illinois, Inc. and sold in Illinois, Indiana, Wisconsin and Michigan in a total of 40 Dollar Bill$ stores from January 1991 through December 1991. PROBLEM: The Train Set engine's smoke stack separated from the train presenting a choking hazard. The Sweet Doll with Accessories moveable legs separated from the doll presenting a choking hazard. The Baby's Rattle white hooks separated from the rattle presenting a choking hazard. WHAT TO DO: Firm is out of business. End use of this product immediately. Discard or destroy. WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), T.P.I. of Illinois, Inc., Crestwood, IL, is voluntarily recalling Train Set toy, Sweet Doll with Accessories, and Baby's Rattle because small components separated from the products presenting a choking hazard to young children. The Train Set toy is a simple, brightly-colored, six-car plastic train. Each flexible plastic car is approximately three inches in length and the cars snap together. The trains' wheels are black. The label on the blister package reads in part: Train Set. TPI DISTRIBUTING. * * * MADE IN CHINA. Approximately 8,640 Train Sets were sold for a retail price of $1.00 each. During CPSC testing the engine's smoke stack separated from the train presenting a choking hazard to young children. The Sweet Doll with Accessories is a four-inch tall plastic doll with a comb, a brush, and a panda figure as accessories. The doll is clothed in a one-piece dress that fastens in the back with a strip of Velcro. The doll has rooted blond hair, painted-on facial features and moveable legs and head. The panda is one-piece with painted-on facial features. The label on the blister package reads in part: Sweet Doll With Accessories. * * * MADE IN CHINA. Approximately 1,600 Sweet Dolls with Accessories were sold for a retail price of $1.00 each. During CPSC testing the moveable legs separated from the doll presenting a choking hazard to young children. The Baby's Rattle is 16 inches long and consists of nine multi-colored balls strung together on an elastic string, and at each end of the string is a plastic white hook. The hooks are used to connect the two ends of the rattle together. The label on the blister package reads in part: Baby's Rattle. * * * MADE IN CHINA. Approximately 9,000 Baby's Rattles were sold for a retail price of $1.00 each. During CPSC testing the plastic white hooks separated from the rattle presenting a choking hazard to young children. The Train Set, Sweet Doll with Accessories, and Baby's Rattle were sold in Illinois, Indiana, Wisconsin, and Michigan in a total of 40 Dollar Bill$ stores from January 1991 through December 1991. Consumers are urged to take the toys and rattle away from young children immediately. Firm is out of business. Immediately discard or destroy these products. Neither CPSC nor the company is aware of any injuries involving these products. This voluntary recall is being conducted to prevent the possibility of injury. These unsafe products were identified during an inspection of a Dollar Bill$ retail store. CPSC is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.5 million injuries and 21,600 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",92119,https://www.cpsc.gov/Recalls/1992/TPI-Of-Illinois-Inc-Recalls-Three-Toys
"Tots 'N Toys In Cradle Replacement Program",2/14/1990 ,"CONTACT: February 14, 1990 (301) 504-7908 Release # 90-036 Tots 'N Toys In Cradle Replacement Program WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Uneeda Doll Company, Inc., New York, New York has announced a replacement program for the yellow cradle in the Tots 'N Toys in Cradle, Model No. 70620. Small parts may break off the yellow cradle resulting in a potential choking hazard. The Tots 'N Toys in Cradle consists of a six-inch doll in a seven-inch by 3 3/4-inch cradle. The yellow plastic cradle has one heart on each of the spindles and the inside of one of the rockers is embossed with UNEEDA DOLL CO., INC., MCMLXXXVII, MADE IN CHINA. Approximately 161,245 Tots 'N Toys in Cradle, Model No. 70620 were sold nationwide from 1988 to the present for approximately $4.99 each. CPSC discovered this small part violation when a sample was obtained and tested for compliance with safety requirements. CPSC Chairman Jacqueline Jones-Smith said, Neither CPSC nor Uneeda Doll Company, Inc. is aware of any injuries or complaints associated with this cradle, but this replacement program is being initiated to prevent the possibility of injury. Consumers should immediately take the yellow cradle away from children and return it to Uneeda Doll Company, Inc., 269 37th Street, Brooklyn, New York 11232 or call (718)768-9200 for replacement with a pink cradle which does not present a choking hazard",90036,https://www.cpsc.gov/Recalls/1990/-Tots-N-Toys-In-Cradle-Replacement-Program
