Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Fisher Price Recalls Go Diego Go Boat Toys Due to Violation of Lead Paint Standard",10/25/2007 ,"The toy is an orange and yellow boat that squirts water. Cartoon character Diego is in the driver's seat. Fisher Price, product number K3413, and a date code between 137-7HF and 223-7HF are marked on the toys.",08048,https://www.cpsc.gov/Recalls/2008/Fisher-Price-Recalls-Go-Diego-Go-Boat-Toys-Due-to-Violation-of-Lead-Paint-Standard
"Bathtub Toys Recalled by Munchkin Due to Risk of Injury",10/18/2010 ,"This recall involves battery-operated bathtub submarine toys. The toy is yellow, has a smiling face, turquoise windows, an orange propeller and an orange periscope that turns the toy on and off. The intake valve has a water pump that sucks in water to propel the submarine. The toy is intended for use by children during bath time.",11012,https://www.cpsc.gov/Recalls/2010/Bathtub-Toys-Recalled-by-Munchkin-Due-to-Risk-of-Injury
"Bath Toys Voluntary Recalled to Remove Squirting Fish",12/28/2000 ,"Bath Toys Voluntary Recalled to Remove Squirting Fish NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued December 28, 2000, Revised May 4, 2007 Release # 01-062 Firm Contact Number: (800) 323-6336 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic, (301) 504-7058 Note: Telephone Number Change. CPSC, Sassy Announce Voluntary Recall to Remove Squirting Fish from Bath Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Sassy Inc., of Kentwood, Mich., is voluntarily replacing about 370,000 squirting fish in the Scoop Pour 'N Squirt and Bath Time Pals bath toys. The fish's size, texture, shape and easy compressibility make it possible for an infant to compress the toy and place it in his or her mouth. If the toy reaches the back of the mouth and expands, it may block the child's airway. CPSC and Sassy are aware of one report of an infant who put the toy fish in his mouth gagged and vomited and two other reports of infants who put the toy fish in their mouths and started to choke. Sassy is working cooperatively with the CPSC in taking action to correct this problem. The Scoop Pour 'N Squirt bath toy set has a large, colorful plastic fish-shaped scoop with a green textured handle and a spout for pouring water. This set comes with two small plastic squirting fish. The Bath Time Pals bath toy set comes with one squirting frog, two squirting pearls and two squirting fish. The toys comply with toy safety regulations. Mass merchandise stores and toy stores sold these toys nationwide from February 1999 to December 2000 for about $5. Consumers should immediately take these squirting fish away from young children and throw them away. For additional information or to receive replacement squirt toys contact Sassy at (800) 323-6336.",01062,https://www.cpsc.gov/Recalls/2001/CPSC-Sassy-Announce-Voluntary-Recall-to-Remove-Squirting-Fish-from-Bath-Toys
"Toy Power, Inc. Recalls Two Toys Because Of Potential Aspiration And Choking Hazards",6/11/1992 ,"June 11, 1992 Release # 92-096 Toy Power, Inc. Recalls Two Toys Because Of Potential Aspiration And Choking Hazards PRODUCT: The Kiddy Phone Wind-Up Educational Toy and the Tub Pets, Fantastic Bath Toy distributed by Toy Power, Inc. The Kiddy Phone is a yellow plastic phone with moving eyes and a push-button nose. The Tub Pets is a blue dolphin or a green turtle with a baby pink turtle on its back. Both pets squirt water from their mouth. PROBLEM: Components on these toys can separate, presenting a choking or aspiration hazard to young children. WHAT TO DO: Consumers should take these toys away from young children and return them to the store where purchased for a full refund. For more information, call Toy Power, Inc. at 1-213-622-4625. WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Toy Power, Inc. of Los Angeles, CA is voluntarily recalling two toys because small components separate from the toys, presenting a choking or aspiration hazard to young children. The Kiddy Phone Wind-Up Educational Toy (model #888) is a yellow plastic telephone with two moving eyes on the front of the cradle, a red push-button nose in the center of the rotary dial, three push buttons (red, white and blue) on its base, a small square drawing board inside the base, a red stylus, and a phone receiver with a mirror and a puzzle. A bell rings when either the blue or white button is pushed or when a wind-up key on the side of the phone is wound. The phone also serves as a bank with a coin slot in the cradle. The embossed label underneath the phone reads in part: . . . MADE IN HONG KONG NO. 888. Approximately 180 Kiddy Phones were sold in the Los Angeles area at various stores from August 1991 through December 1991. The phones sold for a retail price of $2.50 each. The wind- up key separated from the telephone and presents a choking hazard to young children. The Tub Pets, Fantastic Bath Toy (model #31-062) is a blue dolphin or a green turtle. When the dolphin's top pink fin is pressed down, the back fins move and water squirts out of the dolphin's mouth. The green turtle has a pink baby turtle on the top of its shell. When the pink turtle is pressed down, the big turtle's feet move and water squirts out of the big turtle's mouth. The label underneath the Tub Pets reads: MADE IN CHINA. Approximately 200 Tub Pets were sold in the Los Angeles area at various retail stores from January 1990 through December 1991. The Tub Pets sold for a retail price of $0.99. The small plastic and styrofoam pieces separate from the dolphin and turtle and present an aspiration hazard to young children. Consumers are urged to take the toys away from young children immediately and return them to the store where purchased for a full refund of the purchase price. For more information about this recall, consumers may contact Toy Power, Inc. at 1-213-622-4625. Neither CPSC nor the company is aware of any injuries involving these products. This voluntary recall is being conducted to prevent the possibility of injury. CPSC is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.5 million injuries and 21,600 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",92096,https://www.cpsc.gov/Recalls/1992/Toy-Power-Inc-Recalls-Two-Toys-Because-Of-Potential-Aspiration-And-Choking-Hazards
"Toys R Us, Inc. Recalls Press'n Roll Boat Because Of Potential Choking Hazard",3/29/1990 ,"March 29, 1990 Release # 90-061 Toys R Us, Inc. Recalls Press'n Roll Boat Because Of Potential Choking Hazard WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Toys R Us of Paramus, New Jersey is recalling approximately 38,000 Press'N Roll Boats because of small parts which may pose a fatal choking hazard to young children. The Press'N Roll Boat is a molded plastic multi-colored bathtub boat with moveable wheels. It is packaged in a multi- colored carton and is identified as Unimax No. 2311 and labeled in part, Pre-School, Bath Toy, Press'N Roll Boat, Runs on Land and Water, Ages 3 and Over, Distr. by Lionel Leisure, Inc., Phila., Pa 19114, Made in China. When the CPSC tested the boats in accordance with the regulations under the Federal Hazardous Substances Act, they broke apart causing small parts to separate from the boats which could be ingested by a child. The Press'N Roll Boats were sold nationwide from 1987 through 1988 at Toys R Us, Inc. stores for approximately $5.99 each. Neither the CPSC nor Toys R Us, Inc. is aware of any injuries involving this product. This voluntary recall is being conducted to prevent the possibility of injury. Consumers having these bathtub boats should take them away from their children immediately and return them to the nearest Toys R Us, Inc. store for a refund. Consumers who have questions about this recall may contact Toys R Us, Inc. at 1-800-548-0364. These potentially hazardous toys were identified during a joint surveillance program conducted between the CPSC and the U.S. Customs Service at the Port of Philadelphia",90061,https://www.cpsc.gov/Recalls/1990/Toys-R-Us-Inc-Recalls-Pressn-Roll-Boat-Because-Of-Potential-Choking-Hazard
"CPSC, Graco Announce Recall to Repair Activity Trays and Bath Sets",8/27/1999 ,"Company Phone Number: (800) 345-4109 August 27, 1999 Graco Contact: Barbara Riggins, (610) 884-8490 Release # 99-162 WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Graco Children's Products Inc., of Elverson, Pa., is recalling about 100,000 activity trays and bath sets with suction cups for repair. The suction cups can detach, presenting a choking hazard to young children. Graco has received four reports of children starting to choke after putting the suction cups in their mouths, including one that required use of the Heimlich maneuver. The activity trays and bath sets being recalled are the Graco® and Children On The Go® brand Stroller Snack and Activity Trays, Bathtime Activity Trays, and Bathtime Toy Netting products. The activity trays attach with suction cups to tiled or smooth surfaces. There are four toys attached to each tray. The tray toys are removable and interchangeable with other Mix 'N MoveTM toys, which are purchased separately. The Stroller Snack and Activity Tray's toys include a toucan, rolling ball, star and dog. The Bathtime Activity Tray's toys include an octopus, u-tube, spinning ball and paddlewheel. Graco or Children On The Go is on the underside of the tray. The Bathtime Toy Netting consists of a clam soapholder and fish washcloth holder that attaches with suction cups to tiled or smooth surfaces. A net, used to store toys, hangs between the clam and fish. Graco is on the back of the clam and fish. Discount, department and juvenile product stores nationwide, including Toys R Us and Sears, sold these activity trays and bath sets from January 1998 until August 1999 for about $10 to $15. Consumers should stop using these products immediately. To receive a free repair kit, consumers should call Graco at (800) 345-4109 anytime or access the company's web site. Consumers also can write to Customer Affairs, Graco Children's Products Inc., P.O. Box 100, Elverson, PA 19520",99162,https://www.cpsc.gov/Recalls/1999/CPSC-Graco-Announce-Recall-to-Repair-Activity-Trays-and-Bath-Sets
"Water Toys Recalled",12/19/1991 ,"DECEMBER 19, 1991 Release # 92-032 WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), The Sail Harbor of Freehold, NJ is voluntarily recalling 2,000 units of its Wind-Up Row n Row Boat, style number 172. The toys may break during use producing small parts, some of which have sharp points. These small parts could be a fatal choking hazard or could cause puncture wounds to young children. These plastic water toys are 5-1/2 inches long and 3-1/2 inches wide with either an alligator or a hippopotamus seated in the center of each boat. The hippopotamus has a green body and a soft rubber head with painted facial features. The hippopotamus is in a boat with yellow oars, a red deck, a white bottom and a blue wind-up key. The alligator has a yellow body and a green soft rubber head with painted facial features. The alligator is in a boat with beige oars, a blue deck, a white bottom and a red wind-up key. Both have stick-on decals that resemble blue water. These water toys were sold nationwide beginning in January 1991 for approximately $3.00 each. Neither the CPSC nor the company is aware of any injuries involving this product. This voluntary recall is being conducted to prevent the possibility of injury. The potentially hazardous toys were identified during a joint surveillance program conducted between the CPSC and the U.S. Customs Service at the Port of Newark. Consumers are urged to take these toys away from young children immediately and return them to the store where purchased for a refund of the purchase price. Consumers with questions about this recall may contact The Sail Harbor at 908-431-3330. The U.S. Consumer Product Safety Commission is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.5 million injuries and 21,600 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",92032,https://www.cpsc.gov/Recalls/1992/Water-Toys-Recalled
"Suave Kids Bath Sets Sold at Wal-Mart Recalled for Choking, Other Hazards",9/27/2006 ,"This recall involves Suave brand bath sets that contain a 2-in-1 shampoo, bath sponge, and various other toy animal and character bath products. The baths sets are packaged in brightly colored vinyl bags with a clear window. Style numbers involved in this recall are: SVK 9498, 9499, 9501, 9506, 9507 and 9508. The style numbers are located on the back and/or bottom right corner of the package, above the UPC code.",06267,https://www.cpsc.gov/Recalls/2006/Suave-Kids-Bath-Sets-Sold-at-Wal-Mart-Recalled-for-Choking-Other-Hazards
"Additional Injuries Prompt JAKKS Pacific to Reannounce Recall of Spa Factory Aromatherapy Kits Due to Explosion and Projectile Hazards",10/15/2010 ,"This recall involves the purple caps on jars in the Spa Factory™ Spa Fantasy Aromatherapy Fountain and the Bath Benefits™ Kit toys. The jars are used to make Bath Bombs/Balls and Bath Fizzies. The following models are included in this recall. The item number is located on the bottom of the product's packaging. Model Item Number Spa Factory™ Bath Benefits™ Kit 37836 Spa Factory™ Deluxe Spa Fantasy Aromatherapy Fountain 37908 Spa Factory™ Spa Fantasy Aromatherapy Fountain 37837 Spa Factory™ Spa Fantasy Aromatherapy Fountain 54892 Spa Factory™ Spa Fantasy Aromatherapy Fountain 54857",11011,https://www.cpsc.gov/Recalls/2010/Additional-Injuries-Prompt-JAKKS-Pacific-to-Reannounce-Recall-of-Spa-Factory
