Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Small World Toys Recalls Two Toy Necklaces",12/1/1994 ,"December 1, 1994 Release # 95-040 WASHINGTON, D.C. - CPSC, Small World Toys of Culver City, Calif., is voluntarily recalling about 28,000 toy necklaces.The toys were identified during a joint CPSC and U.S. Customs surveillance at the port of Long Beach, Calif. CPSC testing found that the toy necklaces contained small parts that present potential choking hazards to young children.The unlabeled toy necklaces were sold individually from cardboard display containers at retail toy stores. The first toy necklace, Item #8008, is a 20-inch plastic beaded necklace with 14 various colored shaped hearts, telephones, airplanes, rabbits, and other similar items attached. The necklaces were sold from a display container labeled, in part,  3 in 1 Mini Charmy Jewels *** Made in China.The second toy necklace, Item #48901, is a 18-inch plastic beaded necklace consisting of 14 various colored elongated circular beads each placed between four oval shaped glow-in-the-dark beads. The necklaces were sold from a display container labeled in part,  Glow in the Dark Jewelry ***.The toy necklaces were imported from China and sold nationwide from November 1993 to November 1994 at Imaginarium stores and approximately 200 other retail stores for 40 cents. Imaginarium stores sold only the glow-in-the-dark necklace, item #48901.The toy necklaces should be taken away from children under 3 years of age immediately and returned to the store where purchased for a full refund. For more information about this recall, call Small World Toys at (800) 421-4153 or write the company at P.O. Box 3620, Culver City, CA. 90231-3620.Neither CPSC nor Small World Toys is aware of any injuries involving these toys; this recall is being conducted to prevent the possibility of injury",95040,https://www.cpsc.gov/Recalls/1995/Small-World-Toys-Recalls-Two-Toy-Necklaces
"CPSC Announces Recall of Metal Toy Jewelry Sold in Vending Machines Firms agree to stop importation until hazard is eliminated",7/8/2004 ,"This toy jewelry recall involves various styles of rings, necklaces, and bracelets. The rings are gold- or silver-colored with different designs and paint finishes with various shaped center stones. The necklaces have black cord or rope or gold- or silver-colored chains. The necklaces have pendants, crosses or various geometrical designs or shapes, and can include gemstones. The various styles of bracelets include charm bracelets, bracelets with medallion links, and bracelets with faux stones.",04174,https://www.cpsc.gov/Recalls/2004/CPSC-Announces-Recall-of-Metal-Toy-Jewelry-Sold-in-Vending-Machines-Firms-agree-to-stop-importation-until-hazard-is-eliminated-
"Children's Toy Jewelry Sets Recalled by Playmates Toys; Charms Violate the Total Lead Standard",2/2/2010 ,"This recall involves charms sold with the Tiny Tink and Friends toy jewelry sets. The charm is attached to a cord using a metal ring and cylinder and included with the sets as a separate accessory that children can attach to the toy necklace, bracelet or key chain. The toy jewelry sets containing the charm accessory were sold in a variety of styles: Item # UPC # Description 74634 0 43377 74634 8 Tinker Bell's Lil' Tinker Bracelet 74641 0 43377 74641 6 Tinker Bell's Lil' Tinker Bracelet 74631 0 43377 74631 7 Rosetta's Rosebud Key Chain 74632 0 43377 74632 4 Silvermist's Water Lily Necklace Charms that have plastic tabs instead of metal rings and cylinders are not included in this recall.",10131,https://www.cpsc.gov/Recalls/2010/Childrens-Toy-Jewelry-Sets-Recalled-by-Playmates-Toys-Charms-Violate-the-Total-Lead-Standard
"Children's Toy Jewelry Recall",10/7/1997 ,"Children's Toy Jewelry Recall NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued October 7, 1997, Revised July 9, 2001 Release # 98-004 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 Note: Phone number change. CPSC, Multiple Firms Announce Recall of Children's Toy Jewelry WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission(CPSC), three firms are voluntarily recalling nearly 42,000 sets of children's toy jewelry. The necklaces and bracelets involved in this recall can break, releasing small beads that pose a choking and aspiration hazard to children under three years of age. CPSC and the firms involved in the recall are not aware of any injuries involving the toy jewelry. This recall is being conducted to prevent the possibility of injury. A. A. of America Inc. of East Brunswick, N.J., is recalling more than 5,300 sets of 12 bracelets packaged as party favors. The bracelets' beads are in various shapes, including disks, hearts and flowers, and are strung on elastic string. The label on the cardboard header reads in part FUN TIME PARTY FAVORS, MADE IN CHINA. In a purple box on the left side of the cardboard header is an illustration of children sitting around a table for a party. Almar Sales Co. Inc. of New York, N.Y., is recalling more than 8,600 matching children's necklace and bracelet sets with plastic beads strung on elastic string. The beads are in various shapes, including balls, hearts, smiley faces and teddy bears. The mostly white hang tag has outlines of different-colored flowers. Expressions BY ALMAR is written in pink on the tag, and FUNWEAR JEWELRY is written in blue. A set will bear one of the following item numbers: NB110, NB112, NB124, NB129 or NB137. Mermaid International Inc. of New York, N.Y., is recalling about 28,000 matching toy necklace and bracelet sets. The three sets include pastel beads with hearts, multicolored beads and silver disks with bows, and beads with fish and cubes. All beads and shapes are strung on elastic string. The sets are held together by a cardboard wrapper that reads in part, ... MERMAID ... Kiddie Necklace Bracelet Set. Each set bears the item number NB2490, NB2491, NB2492 or NB2493. All these toys were sold in children's, dollar-type and discount stores nationwide through March 5, 1997 for about $1. Consumers should take the toy jewelry sets away from young children immediately and return them to the store where purchased for a full refund. For more information about this recall, consumers should call A. A. of America Inc. at (732) 613-8555 (collect), Almar Sales Co. Inc. at (800) 251-2522 and Mermaid International Inc. at (800) 876-7581 between 9 a.m. and 5 p.m. EDT Monday through Friday.",98004,https://www.cpsc.gov/Recalls/1998/CPSC-Multiple-Firms-Announce-Recall-of-Childrens-Toy-Jewelry
"Dillon Importing Company Recalls Toy Jewelry",1/31/1994 ,"January 31, 1994 Release # 94-035 PRODUCT: Toy charm necklaces and bracelet, imported by Dillon Importing Company from China. The necklaces and bracelet are plastic colored figures or plastic square pieces with charms attached, strung on a piece of thin elastic. The jewelry was sold in retail chains, discount stores, catalog outlets, toy stores, and other outlets in 24 states from August 1992 through July 1993. The jewelry was sold without packaging, usually hanging from a store display rod or placed in open bins or baskets. The jewelry sold for about $1.00 each. PROBLEM: When tested, CPSC found that small parts separated when the elastic band broke, presenting a potential choking hazard to young children. WHAT TO DO: Consumers are urged to take the toy jewelry away from young children immediately and return the jewelry to the place were purchased for a full refund. Consumers with questions may contact Dillon Importing Company at 1- 800-654-3696. WASHINGTON, DC -- CPSC, Dillon Importing Company (Division of M G Novelty Co., Inc.), Oklahoma City, OK is voluntarily recalling two charm necklaces and one stretch bracelet. CPSC tested the jewelry and found that small parts separated when the elastic band broke, presenting a potential choking hazard to young children. The 18-inch plastic necklaces (#16-791 and #16-1135) consist of small figures (bear, duck, butterfly, fish, cross, child, rabbit, dog, star, clown, flower) in assorted colors separated by white beads strung on a piece of thin elastic. The necklaces were sold without packaging, usually hanging from store display rods, or placed in open bins or buckets. The 6-inch plastic stretch bracelet (#16-1133) consists of six square assorted pieces separated by two white beads with one colored charm attached to each square. The charms include a heart, cross, rabbit, and fish. The bracelet was also sold without packaging, usually hanging from store display rods or placed in open bins or buckets. Only the bracelets carries a label that reads, MGNOV MADE IN CHINA. The toy jewelry was imported by Dillon Importing Company from China and distributed in 24 states (Ohio, California, Nevada, Oregon, Utah, New Jersey, Massachusetts, New York, Pennsylvania, Florida, Tennessee, Oklahoma, Texas, Minnesota, Illinois, Colorado, Louisiana, Wisconsin, Washington, Indiana, Iowa, North Carolina, Virginia and Maryland) through retail chains, discount stores, catalog outlets, party stores, toy stores, flea markets, fund raisers, and premium offers. Approximately 32,000 pieces of toy jewelry were distributed from August 1992 through July 1993 for approximately $1.00 each. Consumers are urged to take the toy jewelry away from young children immediately and return the jewelry to the place where purchased for a full refund. Consumers who have questions about this recall may contact Dillon Importing Company toll-free at 1-800-654-3696. Neither CPSC nor Dillon Importing Company is aware of any injuries involving these toys. This voluntary recall is being conducted to prevent the possibility of injury. CPSC is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.6 million injuries and 21,700 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",94035,https://www.cpsc.gov/Recalls/1994/Dillon-Importing-Company-Recalls-Toy-Jewelry
"CPSC, L.M. Becker & Co. Inc. Announce Recall of Toy Necklaces",9/10/2003 ,"Originally issued September, 10, 2003Revised October, 25, 2010Release #03-178 CPSC Consumer Hotline: (800) 638-2772CPSC Media Contact: (301) 504-7908 Note: The firm is no longer in business. Consumers should throw the jewelry away. CPSC, L.M. Becker and Co. Inc. Announce Recall of Toy Necklaces WASHINGTON, D.C. - The U.S. Consumer Product Safety Commission announces the following recall in voluntary cooperation with the firm below. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of product: Toy Necklaces Units: 1.4 millionManufacturer: L.M. Becker and Co. Inc., of Kimberly, Wis.Hazard: The necklace's pendant contains high levels of lead, posing a risk of poisoning to young children.Incidents/Injuries: The firm received one report of a child who swallowed the necklace's pendant, which reportedly resulted in high blood lead levels.Description: The necklaces consist of a 10-inch black cord with a 7/8- inch-diameter gray metal pendant. The metal pendant has assorted symbols on one side. Sold from: Vending machines in malls, discount department and grocery stores nationwide from March 2002 through April 2003 for about 50 cents.Manufactured in: IndiaRemedy: The firm is no longer in business and a remedy is no longer available. Consumers should throw the jewelry away",03178,https://www.cpsc.gov/Recalls/2003/CPSC-LM-Becker--Co-Inc-Announce-Recall-of-Toy-Necklaces-
"CPSC And M. Pressner & Co. Recall Toy Necklace",12/19/1994 ,"December 19, 1994 Release # 95-048 WASHINGTON, D.C. -- CPSC, M. Pressner and Co. Inc., Brooklyn, N.Y., is voluntarily recalling about 1,000 toy necklaces (12 in a bag), model number 8847, with small bead parts.CPSC testing found that the beads can come off the necklaces, which could result in young children inhaling the beads into their lungs. To date, neither M. Pressner nor CPSC has received reports of accidents or injuries associated with the necklaces.The 12 necklaces each have one large pink heart, 18 pink, green, orange, and yellow smaller heart shapes that are separated by 19 alternating black beads. The hearts and beads are strung together on a white elastic cord, which makes the necklaces easy to slip on-and-off.M. Pressner distributed the recalled necklaces from July 1992 through June 1994. The necklaces, which cost under $1, were sold in the eastern part of the United States at Party Warehouse, 99 Cent Stores, and the Center of Town stores. Consumers should take the necklaces away from young children immediately and return them to the store where they were purchased for a refund. Consumers with any questions can call M. Pressner at (800) 451-3592 for more information",95048,https://www.cpsc.gov/Recalls/1995/CPSC-And-M-Pressner--Co-Recall-Toy-Necklace
"Celebrate Express Inc. Recalls Gigantic Gemstone Ring Party Favors Due to Lead Poisoning Hazard",12/19/2006 ,"The recalled children's Gigantic Gemstone Ring toy is a silver-colored metallic ring with a large plastic gemstone. The gemstone colors include: blue, red, purple, green and clear. The rings were sold individually and as part of various party favor, costume and heirloom sets.",07513,https://www.cpsc.gov/Recalls/2007/Celebrate-Express-Inc-Recalls-Gigantic-Gemstone-Ring-Party-Favors-Due-to-Lead-Poisoning-Hazard
"Toy Jewelry Sets Recalled by Creative Products",7/10/1997 ,"Toy Jewelry Sets Recalled by Creative Products NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE CONTACT: Nychelle White July 10, 1997 (301) 504-7063 Release # 97-155 CPSC, Creative Products Inc. Announce Recall of Toy Jewelry Sets WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Creative Products Inc. of Skokie, Ill., is voluntarily recalling about 28,000 toy jewelry sets. The necklaces and bracelets of two different sets can break, releasing small beads. The earring clasps of a third set can come off. Young children can choke on the earring clasps and inhale the beads into their lungs which could lead to death. CPSC and Creative Products Inc. are not aware of any injuries involving these toy jewelry sets. This recall is being conducted to prevent the possibility of injury. There are three different jewelry assortments involved in this recall. One set contains a 16-inch brown bead necklace and 4 brown hair combs. The beads are grouped in threes and are separated by black and white discs. Another set contains a brown 8-inch bead bracelet that matches a brown 18-inch bead necklace. The beads are separated by bamboo- shaped pieces. At the center of each necklace and bracelet are several black and brown triangle-shaped ornaments. The third set contains earrings along with a matching multi- colored 18-inch bead necklace and 6-inch bead bracelet. An orange sunburst ornament with a face embossed in the center is attached to the yellow earring clasps, three sunbursts are attached to the necklace, and one sunburst is attached to the bracelet. Dollar-type and discount stores in the East, Midwest, and South sold the jewelry sets from August 1995 through November 1995 for about $1. Consumers should take the jewelry sets away from young children immediately and return them to the store where purchased for a full refund. For more information about this recall, consumers should call Creative Products Inc. at (800) 366-6686.",97155,https://www.cpsc.gov/Recalls/1997/CPSC-Creative-Products-Inc-Announce-Recall-of-Toy-Jewelry-Sets
