Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.,
Title,Date,Summary,Recall Number,Recall URL
Plan Toys Inc. Recalls Toy Penguins Due to Laceration Hazard,3/25/2008,"The wood penguin-shaped toy has a black head with rubber fins, a yellow nose and a white body with red on the base. The toy is round-shaped and creates a soft bell jingle when spun. The toy measures about 3 ¾ inches in height and about 3 inches in diameter. PLAN TOYS and UPC number 084543521109 or EAN number 8854740052117 are printed on the outside of the packaging of the toy.",8230,https://www.cpsc.gov/Recalls/2008/Plan-Toys-Inc-Recalls-Toy-Penguins-Due-to-Laceration-Hazard
Old Navy Recalls Stuffed Toys; Button Eyes Can Detach and Pose a Choking Hazard to Young Children,2/19/2009,"The stuffed animal and creature toys are made out of cotton and have plastic button eyes. They come in a variety of styles, such as a rabbit, penguin and reindeer. The recalled toys and style numbers are listed below: Type of Stuffed Toy Style Number Brown Plaid Creature (Stubby Stuberson) 612756 Pink Striped Dove 600571 Gray Dog 600572 Hot Pink Creature (Lucy Toothy) 612800 White Dog (Dr. Poopsie) 612738 Brown Penguin 612672 Light Pink Rabbit 612671 Brown Reindeer 612728 Dark Pink Rabbit (Honey O'Bunny) 612806 The style number is located on a white label sewn into the side seam of the toy.",9134,https://www.cpsc.gov/Recalls/2009/Old-Navy-Recalls-Stuffed-Toys-Button-Eyes-Can-Detach-and-Pose-a-Choking-Hazard-to-Young-Children
DSI Toys Recall of Toy Kittens,7/10/2001,"DSI Toys Recall of Toy Kittens NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Firm is out of business. Do not use the product. Please discard or destroy the product. FOR IMMEDIATE RELEASE Originally issued July 10, 2001, Revised March 10, 2004 Release # 01-191 DSI Toys Recall Hotline: (800) 628-8882 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic, (301) 504-7058 CPSC, DSI Toys, Inc. Announce Recall of Toy Kittens WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), DSI Toys, Inc., of Houston, Texas, voluntarily recalled about 238,000 stuffed toy kittens. These toys contain contaminated water that, if contacted, could cause illness to children. CPSC and DSI Toys had not received any reports of illness resulting from contacting contaminated water from these toys. This voluntary recall was conducted as a precaution. The Kitty Kitty Kittens are about 12-inches long. The kitten toys make a purring noise when they are petted on the head. They come in six styles: Buttons, Tiger, Calico, Mittens, Tawny and Fluffy. The kitten's name and item number, 16400, are printed on a hangtag attached to its ear. A tag attached to the toy reads, DSI TOYS, INC. and MADE IN CHINA. The water in the kitten toy is intended to make it feel more lifelike. Discount, specialty, and toy stores nationwide sold the kitten toys from September 2000 through May 2001 for between $10 and $13. Parents and caregivers should take these kitten toys away from children immediately, and discard or destroy them. The firm is out of business so a replacement toy is no longer available.",1191,https://www.cpsc.gov/Recalls/2001/CPSC-DSI-Toys-Inc-Announce-Recall-of-Toy-Kittens
Manley Toy Direct Zapper Toy Recall,11/28/2001,"Manley Toy Direct Zapper Toy Recall NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE November 28, 2001 Release # 02-049 Zapper Recall Hotline: (800) 767-9998 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic, (301) 504-7058 CPSC, Manley Toy Direct Announce the Recall of Zapper Toys WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Manley Toy Direct, of Indianola, Iowa, is voluntarily recalling about 15,800 Zapper toys. The balloon tongues and the cylinders holding the tongues on these toys can detach, posing a choking and aspiration hazard to young children. The Promotional Resources Group of Companies Inc., of Topeka, Kan., previously recalled about 105,000 Bug Zapper toys on June 6, 2000. That company received a report of a 3-year-old boy who inhaled a balloon tongue that detached from a Zapper toy into his sinus cavity. He required medical treatment to remove the part from his nose. Additionally, eight firms recalled about 835,000 Zapper toys on March 19, 2001. The vinyl Zapper toys are about 2- to 3-inches long, and come in the shape of various animals including frogs, dinosaurs and snakes. When the toy is squeezed, the balloon tongue attached to its mouth inflates or rolls out. CHINA or MADE IN CHINA is molded into the toy. Arcades, amusement parks and carnivals sold and distributed these toys from January 2000 through August 2001. They were sold for about $1. Consumers should immediately take these toys away from young children and return the toy to the place of purchase for a refund, or throw them away. For more information, contact Manley Toy Direct at (800) 767-9998 between 9 a.m. and 5 p.m. CT Monday to Friday.",2049,https://www.cpsc.gov/Recalls/2002/CPSC-Manley-Toy-Direct-Announce-the-Recall-of-Zapper-Toys
Jet Fighter & Animal Squeak Toys Recalled by In-Mar Trading,7/9/1998,"Jet Fighter & Animal Squeak Toys Recalled by In-Mar Trading NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 9, 1998 Release # 98-140 Company Phone Number: (787) 796-1560 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, In-Mar Trading Inc. Announce Recall of Jet Fighter Toy and Various Squeak Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), In-Mar Trading Inc., of Dorado, Puerto Rico, is recalling more than 10,000 various plastic toys. The squeeze toys that are part of this recall each contain a squeaker, and the jet fighter toy contains small parts, all of which can become separated from the toy. These small parts present a choking hazard to young children, and in some cases, an aspiration hazard which could result in death. CPSC and In-Mar are not aware of any injuries involving these toys. This recall is being conducted to prevent the possibility of injury. The six different squeeze toys involved in this recall are each approximately 4 inches in height, made of pliable plastic and contain a squeaker element located at the base of each toy. Each squeeze toy depicts a different animal including a gopher, penguin, rabbit, tiger, bear and mouse. The squeaker toys are sold packaged in a clear plastic bag with cardboard header reading: ANIMAL TOYS With Sound***828-6***MADE IN CHINA. The jet fighter toy is nearly 8 inches long, is mostly black with a green tail, and the driver wears a blue helmet. Writing on the jet's labels include, Marlboro***USAF- 28***DL. The jet is packaged in a clear plastic bag with a cardboard header that reads, TOYS***MADE IN CHINA***Ages 3 And Up. The toys were sold in various discount stores in Puerto Rico. The squeeze toys were sold from January 1997 through June 1998, and the jet fighter toys were sold from December 1996 through June 1998. All the toys sold for about $1. Consumers should take these toys away from young children immediately and return the toy to the store where purchased for a refund. For more information about this recall, consumers should call In-Mar at (787) 796-1560 between 9:00 a.m. and 5 p.m. Monday through Friday. The firm will accept collect calls from consumers calling outside the Dorado area. Inquiries in Spanish can be directed to Jésus Chaírez, CPSC, at (214) 827-6239.",98140,https://www.cpsc.gov/Recalls/1998/CPSC-In-Mar-Trading-Inc-Announce-Recall-of-Jet-Fighter-Toy-and-Various-Squeak-Toys
Bug Zapper Toys Recalled by Promotional Resources Group,6/6/2000,"Bug Zapper Toys Recalled by Promotional Resources Group NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE June 6, 2000 Release # 00-120 Bug Toy Recall Hotline: (800) 467-4712 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Yolanda Fultz-Morris, (301) 504-7066 CPSC, Promotional Resources Group Announce Recall of Bug Zapper Toys Sold With Children's Meals WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), The Promotional Resources Group of Companies Inc., of Topeka, Kan., is voluntarily recalling about 105,000 Bug Zapper toys. The balloon tongue on this toy can detach, posing a choking and aspiration hazard to young children. The Promotional Resources Group has received one report of the balloon tongue detaching from the toy. A 3-year-old boy reportedly removed the balloon tongue, placed it in his nose and inhaled it into his sinus cavity. He required medical treatment to remove the part from his nose. The Bug Zapper toy comes in two different styles: a frog and a lizard. When the toy is squeezed, the balloon tongue of the toy rolls out from the mouth about 2 inches. They toys were mainly orange, green and purple. CHINA is molded into the toy. Fast food, drive-in and small franchise restaurants distributed these toys with children's meal from November 1998 through April 2000. Consumers should immediately take these toys from young children, and return the toy to the restaurant where the children's meal was purchased for a free replacement toy. Consumers also can receive a free replacement toy directly from the company. For more information, contact The Promotional Resources Group at (800) 467-4712 between 8 a.m. and 5 p.m. CT Monday through Friday. Consumers also can e-mail for a free replacement at info@kidstuffnet.com.",120,https://www.cpsc.gov/Recalls/2000/CPSC-Promotional-Resources-Group-Announce-Recall-of-Bug-Zapper-Toys-Sold-With-Childrens-Meals
Splash & Stack Bluebird Toys Recalled by Fisher-Price,7/26/1984,"Splash & Stack Bluebird Toys Recalled by Fisher-Price NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Phone number change. FOR IMMEDIATE RELEASE Originally issued July 26, 1984; Revised December 2, 2005 Release # 84-048 Fisher-Price Splash & Stack Bluebird Toy Part Recalled Washington, D.C. -- In cooperation with the U.S. Consumer Product Safety Commission, Fisher-Price, a Division of the Quaker Oats Company, East Aurora, New York, today announced a voluntary recall and replacement of the Fisher-Price brand Splash & Stack Bluebird toy, Model #167 due to a potential suffocation hazard associated with the cup-shape head of the toy. The Company will replace the head portion of the toy. The Commission and Fisher-Price have investigated 3 incidents in which the head of the bluebird toy became stuck over the noses and mouths of young children's faces by suction. The toy heads were forcibly removed from the children's faces by parents. The Splash & Stack Bluebird is a 5-piece stacking toy, the head of which is blue in color with an orange beak. When stacked the toy resembles a bird sitting in a nest. The Model #167 is stamped on the bottom of the toy. Approximately 278,000 toys were shipped by Fisher-Price between March and December, 1983. The bluebird sells at retail for approximately $5.20. In December, 1983, Fisher-Price redesigned the head of the toy by adding ridges to the inside of the beak of the bird head which should eliminate any potential suffocation hazard associated with the toy head. The head of the toy without ridges in the beak is the only portion of the toy which is being recalled by Fisher-Price. Consumers should take the recalled Bluebird toy away from children and call Fisher-Price for service at 1-800-233-4000. Additional information may also be obtained by calling the Consumer Product Safety Commission's toll free Hotline at 1-800-638-CPSC. A teletypewriter number for the hearing-impaired is (301) 595-7054.",84048,https://www.cpsc.gov/Recalls/1984/Fisher-Price-Splash--Stack-Bluebird-Toy-Part-Recalled
CPSC And The Bazaar Inc. Announce Recall Of Vinyl Squeeze Toys,3/22/1995,"March 22, 1995 Release # 95-094 Washington, D.C. - CPSC, The Bazaar Inc., of River Grove, Ill., is voluntarily recalling about 57,000 vinyl squeeze toys. The squeak mechanism, a small white plastic button, can separate from the toy, presenting a serious choking hazard to small children. CPSC warns that these toys should be taken away from small children immediately.The squeeze toys come in a variety of shapes, including balls, Santa Claus, a shoe, a foot, and 15 different animals. Each toy has the words Malaysia or Made in Malaysia embossed near the squeaker. The toys are packaged in clear plastic with a large yellow label with red lettering that reads in part  STA VINYL TOY *** SQUEEZE TOYS *** MADE IN MALAYSIA with a girl's face on one side and a crawling baby on the other side.The toy was identified during joint CPSC and U.S. Customs surveillance at the port in Chicago. The toys were imported from Malaysia and sold nationwide from April 1992 to April 1994 at retail stores including Dollar Stores for $1.95.The squeeze toys can be returned to the store where purchased for a full refund. For more information about this recall, call The Bazaar Inc. at (708) 583-1800 or write the company at 1900 North 5th Avenue, River Grove, IL 60171.CPSC and Bazaar Inc. are not aware of any injuries involving this toy. This recall is being conducted to prevent the possibility of injury",95094,https://www.cpsc.gov/Recalls/1995/CPSC-And-The-Bazaar-Inc-Announce-Recall-Of-Vinyl-Squeeze-Toys
Importer Recalls Water Toys; Toy Snake,7/14/1988,"July 14, 1988 Release # 88-051 Importer Recalls Water Toys; Toy Snake WASHINGTON, DC - Beachcombers International Inc. of Fort Myers, Florida is voluntarily recalling water toys and a squeaking toy snake because they may pose choking and lead poisoning hazards to young children. The imported toys recalled by Beachcombers International are: - Big Mouth Fish, Hippo, and Frog, plastic wind-up water toys labeled MASUDAYA 1976 Made in Hong Kong; some 8,000 toys were sold nationally for about $2 each. - Devil Fish, an eight-inch wind-up toy in the shape of a fish which was imported from Hong Kong and sold for $2 in New Jersey and Virginia. - Lively Squeaking Snake, a plastic cobra snake some 21 inches long from China which sold nationally for $1. Consumers should immediately take the toys away from children and return them to the retail store for a refund of the purchase price. The U.S. Consumer Product Safety Commission said both water toys have small parts, which may present a choking hazard to young children; the toy snake contains an excessive amount of lead in the surface coating. The violations were discovered by U.S. Customs' agents and CPSC inspectors during routine import surveillance at the Port of Miami. Consumers desiring additional information may call Beachcombers International at 1-813-731-2111",88051,https://www.cpsc.gov/Recalls/1988/Importer-Recalls-Water-Toys-Toy-Snake-
