Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"The Berton Company Recalls Infant Toy Roll-Back Toy",12/1/1994 ,"December 1, 1994 Release # 95-035 WASHINGTON, D.C. - CPSC, The Berton Company of Commerce, Calif., is voluntarily recalling about 14,000 roll-back toys.The toy was identified during a joint CPSC and U.S. Customs surveillance at the port of Long Beach, Calif. CPSC testing found that the toy contained small parts that present a potential choking hazards to young children.The roll-back toy is a multi-colored plastic wheel with a weighted plastic bear suspended on a rubber band axle within. The bear pivots and swings as the ball is rolled forward, causing the rubber band axle to twist and force the ball to roll back once forward motion stops. The toy is packaged in clear plastic with a cardboard header labeled in part, Kidentails Roll-back Toy...Item No. K2539...MADE IN CHINA. The toy was imported from China and sold nationwide from December 1992 to November 1994 at Walgreen, Ralphs, Longs, Luckys, Food 4 Less, and other independent toy retail stores for $3.69.The toy should be taken away from young children immediately and returned to the store where purchased for a full refund. For more information about this recall, call The Berton Company toll-free from Arizona, Colorado, California, and Nevada at (800) 227-0522 or write the company at 7101 East Slauson Avenue, Commerce, CA. 90040-9971.Neither CPSC nor The Berton Company is aware of any injuries involving these toys; this recall is being conducted to prevent the possibility of injury",95035,https://www.cpsc.gov/Recalls/1995/The-Berton-Company-Recalls-Infant-Toy-Roll-Back-Toy
"Clacker Ball Toys Seized By Marshal",12/10/1985 ,"Clacker Ball Toys Seized By Marshal NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE December 10, 1985 Release # 85-065 Dangerous Toys Seized By U.S. Marshal In Phoenix The United States Consumer Product Safety Commission announced that on December 6, the United States Marshal's Office in Phoenix, Arizona seized almost 4,600 banned clacker ball toys. The toys, labeled KER-BANGERS, are a hand-held novelty item consisting of two plastic balls connected by a cord to a plastic handle. When the hand is raised and lowered, the balls clack or bang against each other in an arc. Despite the claim on the package that the KER-BANGERS are SHATTERPROOF, when the Consumer Product Safety Commission tested these toys, the balls either shattered or cracked. In addition, many of the handles broke. Consumers who have KER-BANGERS should promptly throw them away. The toys were the seized at the premises of a wholesaler, Empire Novelty & Concession Supply, Inc. 2213 East Indian School Road, Phoenix, Arizona. Empire Novelty is voluntarily recalling the toys from its customers, who are retailers. The KER-BANGERS were shipped from California and, according to the label, were manufactured by Chuck Howard Toy Co. of Inglewood, California. The manufacturer is no longer in business. Clacker balls were a popular toy in the early 1970's. To prevent injuries from fragmentation of the balls or from propulsion of the parts upon sudden disassembly during use, they are subject to a regulation enforced by the Consumer Product Safety Commission, which requires them to pass specific durability tests.",85065,https://www.cpsc.gov/Recalls/1985/Dangerous-Toys-Seized-By-US-Marshal-In-Phoenix
"Wooden Toys Recalled by Kendamaspot Due to Violation of Lead Paint Ban",12/30/2009 ,"This recall involves Oozora and Shin-Fuji Kendama Japanese wooden skill toys. The toys have a ball connected by a string to a handle with three cups and spike on top. A Japanese Kendama Association sticker is affixed to the toy. The red and green balls on the Oozora and only the red balls on the Shin Fuji are included in the recall.",10095,https://www.cpsc.gov/Recalls/2010/Wooden-Toys-Recalled-by-Kendamaspot-Due-to-Violation-of-Lead-Paint-Ban
"Eco-Novelty Recalls Jumbo Size and Jumbo Multipurpose Cosmo Beads Toys Due to Serious Ingestion Hazard",9/10/2013 ,"Cosmo Beads Jumbo Size Colorful Water Balls and Jumbo Multipurpose Colorful Water Balls toys are being recalled. The toys are water absorbing beads that when placed in water will hydrate up to the size of a racquetball. On the front of the toy packages it states Cosmo Beads ™ Colorful Water Balls, Just Add Water, Biodegradable, Non-toxic and Colorfast. The packages have yellow and black color on the upper left corner and red in the lower right corner. The beads can be seen through an oval, cellophane window near the bottom of the package. Cosmo Beads Jumbo Size were sold as single packets of beads in various colors: clear, green, purple, red and mixed colors. Each packet contains a variety of bead sizes. The front of the Jumbo Size package has a picture of a hand holding two water balls and the words Grows up to 600X (1.5) Size. Cosmo Beads Jumbo Multipurpose came in three packets per set. Each packet contains beads in one size and comes in clear, dark purple and orange colors. The front of the Jumbo Multipurpose packet has a picture of flowers in a glass vase and the words Deco Centerpiece: Toys-Games: Plant-Vacation watering.",13278,https://www.cpsc.gov/Recalls/2013/Eco-Novelty-Recalls-Jumbo-Size-and-Jumbo-Multipurpose-Cosmo-Beads-Toys
"CPSC, Chicco USA Inc. Announce Recall of Preschool Toys",7/2/2001 ,"Originally issued July 2, 2001, Revised July 29, 2003 Release # 01-182 Ccompany Phone Number: (877) 424-4226 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 Chicco Contact: Elizabeth Orlowsky, (866) 242-0643 Note: telephone number change. CPSC, Chicco USA Inc. Announce Recall of Preschool Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Chicco USA Inc., of Bound Brook, N.J., is voluntarily recalling about 6,000 Build-A-Ball preschool toys. The Build-A-Ball toy consists of five multi-colored and various-sized plastic balls that can be taken apart to be stacked on top of each other or placed inside each other. Some of the larger-sized ball halves can become stuck on a young child's face, covering the nose and mouth, and causing suffocation.CPSC received a report of a 2-year-old boy who had a ball-half stuck on his face, covering his nose and mouth. A nearby adult was able to pull the toy from his face. No injury to the child was reported. The five balls in the toy set range in size from about 2-inches to 4-inches in diameter. One-half of the balls are white, green, blue, red or yellow, and the other half is clear. chicco is written inside the balls. The balls are packaged in a box labeled chicco, Build-a-Ball, Cod. 66167, and Made in China. The packaging also indicated the toy is for children ages 1-3 years or 1-4 years. The text on the packaging is written in 11 languages.Amazon.com, Army and Air Force Exchanges and other toy stores nationwide sold these toys from January 1999 through April 2001 for about $6.Parents and caregivers should take these balls away from young children immediately and return the toys to the store where purchased for a refund. For more information, consumers should call Chicco USA Inc., toll-free at (877) 424-4226 between 8:30 a.m. and 5:30 p.m. ET Monday through Friday, or visit the company's web site www.chiccousa.com. Conumers can also view a video clip (transcript) about this recall. This is in streaming video format",01182,https://www.cpsc.gov/Recalls/2001/CPSC-Chicco-USA-Inc-Announce-Recall-of-Preschool-Toys
"Bathtub Baby Doll Sets Recalled by Toys R Us",8/3/1999 ,"Bathtub Baby Doll Sets Recalled by Toys R Us NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE August 3, 1999 Release # 99-151 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Toys R Us Announce Recall of Bathtub Baby Doll Sets WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Toys R Us, of Paramus, N.J., is recalling 71,000 Bathtub Baby doll sets. These doll sets come with a small ball, which poses a serious choking hazard to children under 3 years old. CPSC and Toys R Us are not aware of any injuries involving these doll sets. This recall is being conducted to prevent the possibility of injuries. The Bathtub Baby doll set includes a blue, plastic bathtub; a 5.5 inch soft vinyl doll wearing a blue diaper; a pink, fish-shaped strainer; and a pink ball about 1.25 inches in diameter. The set is packaged in a clear plastic bag with a hangtag. Writing on the hangtag includes, BATHTUB BABY, WHAT A DOLL! FISHEL and MADE IN CHINA. Toys R Us stores nationwide sold these doll set from October 1998 through July 1999 for about $2. Consumers are urged to take the doll sets away from young children immediately and return them to the stores where purchased for a full refund. For more information, consumers should call their local Toys R Us store, or visit the Toys R Us web site at www.toysrus.com/recalls/index.cfm. This recall was the result of an inspection conducted by the CPSC staff.",99151,https://www.cpsc.gov/Recalls/1999/CPSC-Toys-R-Us-Announce-Recall-of-Bathtub-Baby-Doll-Sets
"Quaker Halts Sales Of Cap'n Crunch Cereal Containing Popper Promotional Toy Because Of Eye Injuries",4/29/1993 ,"April 29, 1993 Release # 93-065 PRODUCT: Popper promotional toy in Quaker's Cap'n Crunch, Crunchberries and Peanut Butter Crunch cereals. The popper toy is packed in 8.3 million cereal packages distributed nationwide. PROBLEM: Thirty-six injuries, such as bruised or bloodshot eyes, when children used the toy by applying it to the face or eye, which creates suction. WHAT TO DO: Discard the popper toy immediately. The cereal can still be eaten. WASHINGTON, DC -- The Quaker Oats Company, CPSC, voluntarily stopped the sale of 15 and 16-ounce packages of Cap'n Crunch, Crunchberries and Peanut Butter Crunch cereals containing a popper toy as a premium following reports of eye injuries to children. The company received 36 reports in recent days involving injuries to children, such as bruised or bloodshot eyes. In all cases, children used the toy in a manner not intended by applying it to the face or eye, which creates suction. The company reported these incidents to CPSC. Consumers who purchased Cap'n Crunch cereal containing the popper premium should discard the toy as a safety precaution. Consumers with questions may contact Quaker Oats at 1-800-258-5400. The popper is a two-inch half-sphere which gets its name by popping back to its original shape after being inverted and placed on a flat surface. The popper premium was packed in 8.3 million boxes of Cap'n Crunch, of which approximately 6.8 million are in customer warehouses, on store shelves or in consumers' homes. The company informed retailers nationwide to remove from store shelves packages containing the popper premium. A company spokesman said that the cereal itself is safe to eat. Media inquiries for Quaker Oats can be directed to Ronald Bottrell at 312-222-7388",93065,https://www.cpsc.gov/Recalls/1993/Quaker-Halts-Sales-Of-Capn-Crunch-Cereal-Containing-Popper-Promotional-Toy-Because-Of-Eye-Injuries
"Be Amazing! Toys Recalls Monster Science and Super Star Science Colossal Water Balls Due to Serious Ingestion Hazard",7/31/2013 ,"This recall involves marble-sized toys that absorb water and grow up to 400 times their original size. They were sold as Monster Science Colossal Water Balls (model #7255) and Super Star Science! Colossal Water Balls (model #7704). Monster Science packages contain eight balls and Growth Powder. Super Star Science! packages contain five balls. The balls were sold in an assortment of blue, green, orange, purple, red, yellow or clear colors. The Be Amazing! Toys star logo, Ages 8+, the name of the toy, Colossal Water Balls and a warning not to use without adult supervision are on the front of each product's packaging. Model numbers are printed on the back of the packaging.",13254,https://www.cpsc.gov/Recalls/2013/Be-Amazing-Toys-Recalls-Monster-Science-and-Super-Star-Science-Colossal-Water-Balls
"Be Amazing! Toys Recalls Monster Science Growing Spiders Due to Serious Ingestion Hazard",9/10/2013 ,"This recall involves Monster Science Growing Spider toy sets, model number 7280. The sets contain marble-sized polymer ball spider eggs that can absorb from 300 to 800 times their weight in water and can grow up to eight times their original size. The sets consist of one polymer spider and three spider eggs. The Be Amazing! Toys star logo and the words Monster Science Growing Spider, Ages 8+, Just drop in water, Grow Giant Spider Eggs and Eggs Grow Up to 8X Original Size are printed on the front of the packaging. The model number is on the bottom of the back of the packaging. The front and back of the packaging have warnings not to use the toy without adult supervision.",13279,https://www.cpsc.gov/Recalls/2013/Be-Amazing-Toys-Recalls-Monster-Science-Growing-Spiders
