Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Toy Bars Recalled by Maya",9/25/2000 ,"Toy Bars Recalled by Maya NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE September 25, 2000 Release # 00-186 Maya Recall Hotline: (888) 521-2202 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 Maya Media Contact: Oded Ben-Ezer, (714) 898-0807 Ext. 101 CPSC, The Maya Group Inc. Announce Recall of Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), The Maya Group Inc., of Garden Grove, Calif., is voluntarily recalling about 20,000 toy bars for repair. The toy bar attaches to car seats and strollers and has removable toys. One of the toys, a car, can break during use resulting in a small plastic part that poses a choking hazard to young children. The Maya Group Inc. has received six reports of toy cars breaking. There have been no reports of injuries. The toy bars being recalled are the Tiny Love Super Car-Bar, made of multicolor fabric. Three toys attach by Velcro fasteners onto the toy bar. The car that can break moves back and forth on a yellow track. The toy car was made between August 1999 (0899) and January 2000 (0100). The manufacturing date follows a two letter code and is written as month, year on a white tag attached to a Velcro fastener. A TINYLOVE label is attached to the side of the car and to the Velcro fastener. The toy was made in China. A toy steering wheel with musical key and a traffic light are also on the toy bar. Catalogs and specialty stores nationwide sold the toys from August 1999 though August 2000 for about $30. Consumers should remove the toy car from the toy bar immediately and call Maya for a free replacement toy at (888) 521-2202 anytime. Consumers also can write to Customer Affairs, The Maya Group Inc./Tiny Love, 12622 Monarch Street, Garden Grove, CA 92841.",00186,https://www.cpsc.gov/Recalls/2000/CPSC-The-Maya-Group-Inc-Announce-Recall-of-Toys
"CPSC, Magic Cabin Announce Recall of Wooden Toy Cars",10/9/2003 ,"The Sonato Smiling Mini-Car Toy is wood with four solid- colored wheels painted orange, blue, yellow and green. A smiling face is painted on the front. On the top of the toy is a red button that squeaks when pushed. The toy car was sold individually and as a part of the Wooden Baby Toys Set of 5. The toy car sold separately is item # 828143 and with the set # 828144.",04503,https://www.cpsc.gov/Recalls/2004/CPSC-Magic-Cabin-Announce-Recall-of-Wooden-Toy-Cars
"CPSC, International Playthings Inc. Announce Recall of Viking Chubbies Toy Cars",11/22/2005 ,"This recall involves Viking Chubbies 10-inch toy sedans sold with two figurines. The multi-colored toys are made of plastic. The toy figurines measure about 3 inches tall. Viking Toys, Sweden and Made in Thailand are printed on the bottom of the car.",06033,https://www.cpsc.gov/Recalls/2006/CPSC-International-Playthings-Inc-Announce-Recall-of-Viking-Chubbies-Toy-Cars
"CPSC, Small World Toys Announce Toy Bracelet, Vehicle Recall",9/21/1995 ,"September 21, 1995 Release # 95-169 WASHINGTON, D.C. - CPSC, Small World Toys of Culver City, Calif., is voluntarily recalling about 16,000 toy bracelets and 3,500 plastic cars, trucks, and locomotive engines. These toys contain small parts that present potential choking hazards to young children.The unlabeled toy bracelets were sold individually from cardboard display containers labeled in part, Mini Charmy Bracelets *** Made in China. Item #4008 is a 6-inch bracelet with colored plastic fish, bears, ducks, and lady bugs and white and purple beads on an elastic band. Item #BD100 is a 6-inch bracelet with colored plastic sea shells and beads on a white elastic band. The nine assorted plastic cars and trucks include a tow truck, police car, ice cream truck, travel van, power crane truck, fire department car, and two kinds of fire trucks. They were sold in red, yellow, blue, and white with either blue or red wheels. The toys measure approximately 4 inches long, 2.75 inches wide, and 3 inches high. Golden Bell 9371-79 ***Made in China is embossed on the bottom of the toys. To activate the toys' wind-up engines, the toy is pulled backwards and released.The yellow plastic locomotive has a red stack, purple front, and red wheels with blue wheel drivers. It has stickers with the word LOCO on both sides and back, and Made in China on the bottom. The word Supertoys is embossed on the bottom. The toy can be wound by rotating the locomotive's stack.The toy bracelets sold nationwide from November 1993 to April 1995 at approximately 200 retail stores for 50 cents each. The vehicles were sold nationwide from May 1993 to April 1995 at toy stores and gift shops for between $3 and $5. The unwrapped toys were sold individually from bulk retail containers.Consumers should take these toys away from young children immediately and return the toy to the store where purchased for a full refund. For more information about this recall, consumers should call Small World Toys at (800) 421-4153, or write to the company at P.O Box 3620, Culver City, CA 90230-6515.CPSC and Small World Toys are not aware of any injuries involving these toys. This recall is being conducted to prevent the possibility of injury",95169,https://www.cpsc.gov/Recalls/1995/CPSC-Small-World-Toys-Announce-Toy-Bracelet-Vehicle-Recall
"CPSC, Pamela Drake Inc. Announce Recall of Wooden Push Toys",5/12/2005 ,"The recall includes six different multi-colored, solid wooden push toys, including an airplane, tractor, dump truck, fire truck, and a two-piece circus train with train cars and a tow truck with family van. The vehicles are constructed with a bendable flap that allows the toys to wiggle back and forth. The dump truck, circus train with train cars and tow truck with family van have white magnets on the front and back to hold the push toys together. All the toys have rubber rings on the tires. The recalled push toys are intended for children 12 months and older. There is no writing on the push toys.",05172,https://www.cpsc.gov/Recalls/2005/CPSC-Pamela-Drake-Inc-Announce-Recall-of-Wooden-Push-Toys-
"Road Racing Sets & Power Pack Toy Transformers Recalled by Strombecker",5/11/1977 ,"Road Racing Sets & Power Pack Toy Transformers Recalled by Strombecker NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE April 11, 1977 Release # 77-033 CPSC Announces Toy Recall WASHINGTON, D.C. (Apr. 11) -- The U.S. Consumer Product Safety Commission (CPSC) today announced the recall of three electric toy road racing sets and certain power pack transformers sold separately. These items fail to comply with Federal regulations for electrically-operated toys and are, therefore, banned from sale. The recalled items, all distributed by Strombecker Corporation, Chicago, Illinois, are ROAD AMERICA RACE SET - Model #9900, MONZA ROAD RACE SET - Model #9902, CAN AM ROAD RACE SET - Model #9924 and replacement power pack toy transformer Model #9703-G. Road Race Set Model numbers 9900, 9902 and 9924 contain power pack toy transformers which fail to comply with certain requirements of the Federal Hazardous Substances Act (FHSA) and pose a potential electrical shock hazard to the user. No injuries associated with these toys have been reported to the Commission. The power pack toy transformers are colored blue-gold or blue-yellow with a black base, the casing is labeled in part, Power Pack Toy Transformer near two rivets on either side of the on-off switch and hole in the base. The toys were distributed nationwide to hobby and toy stores. Electric toys are subject to regulation under the FHSA which requires banned toys to be repurchased or replaced by the manufacturer, distributor and dealer. Strombecker Corporation, in compliance with the FHSA regulations, is asking consumers to return the toy to place of purchase or directly to the manufacturer-- Strombecker Corporation, 66 North Pulaski Road, Chicago, Illinois 60624, telephone (312)638-1000 -- for a full refund including tax and reasonably necessary transportation costs or replacement if the consumer agrees to it. The Commission learned of this product as a result of a nationwide electric toy survey it conducted late last year. The Commission's Chicago Area 3ffice is monitoring the recall.",77033,https://www.cpsc.gov/Recalls/1977/httpwwwcpscgovcpscpubprerelprhtml7777033html
"Wooden Toy Cars Recall by Etna Products",4/17/1997 ,"Wooden Toy Cars Recall by Etna Products NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE CONTACT: Nychelle White April 17, 1997 (301) 504-7063 Release # 97-105 CPSC, Etna Products Inc. Announce Recall of Wooden Toy Cars WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Etna Products Inc. of New York, N.Y., is recalling about 13,200 wooden toy cars. The glue holding the toy together deteriorates causing the hub caps, headlights, and blocks to separate. Young children could choke on the headlights and blocks or inhale the hub caps into their lungs, which could lead to death. CPSC and Etna Products are not aware of any injuries involving these toys. This recall is being conducted to prevent the possibility of injury. The wooden toy car is painted red, yellow, green, and blue. The sides of the car hold 26 wooden blocks painted with letters of the alphabet and pictures appropriate for each letter and two heart-shaped red blocks. The car also comes with a 12-inch white pull cord. The toy is packaged in a cardboard box labeled in part, Solid Wood Hand-Painted Old Time Learning Car...28 Blocks - One Side Displays Letter, Other Side Displays Picture With Name. There is a picture of the toy car on the box. The toys were sold nationwide by Benton-Kirby and Walter Drake & Sons mail order catalogues. The toys were also sold by Boardman's (Small Wonders, Something Special, Small Delights), Odd-Job Trading stores, J.D. Yeatts Imports, and Burton Distributors. The toys were sold from 1994 through March 1997 for about $5. Consumers should take the recalled toys away from children immediately and return them to the store where purchased for a full refund. For more information about this recall or for questions concerning mail order purchases, consumers should call Etna at (800) 841-1007.",97105,https://www.cpsc.gov/Recalls/1997/CPSC-Etna-Products-Inc-Announce-Recall-of-Wooden-Toy-Cars
"Mattel Recalls Sarge Die Cast Toy Cars Due To Violation of Lead Safety Standard",8/14/2007 ,"The recall involves die-cast Sarge 2 ½ inch toy cars. The toy looks like a military jeep and measures about 2 ½ inches long by 1 inch high by 1 inch wide. The recalled toy has the markings 7EA and China on the bottom. The Sarge toy car is sold alone or in a package of two, and may have the product number M1253 (for single cars) and K5925 (for cars sold as a set) printed on the packaging. The cars marked Thailand are not included in this recall.",07270,https://www.cpsc.gov/Recalls/2007/Mattel-Recalls-Sarge-Die-Cast-Toy-Cars-Due-To-Violation-of-Lead-Safety-Standard-
"Tara Toy Corporation Recalls Sesame Street Push Power Toys",4/6/1992 ,"April 6, 1992 Release # 92-072 Tara Toy Corporation Recalls Sesame Street Push Power Toys PRODUCT: Tara Toy Corporation's Sesame Street Push Power action figures, item # 75110. They are Big Bird driving a red fire engine, Ernie riding on an airplane, and Cookie Monster sitting on a scooter carrying chocolate chip cookies on his back. PROBLEM: Toys may break, releasing small pieces of plastic and screws, and exposing sharp points and edges. This may pose a potential choking, laceration or puncture wound hazard to young children. Neither CPSC nor the company is aware of any injuries involving these products. WHAT TO DO: Consumers are urged to take the toys away from young children immediately and return them to the store where purchased for a refund of the purchase price. Consumers with questions may call Tara Toy Corporation at (516) 273-8810. WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Tara Toy Corporation of Hauppauge, NY is voluntarily recalling approximately 44,000 Sesame Street Push Power action figures, Item #75110. There are three different models of these colorful plastic toys. They are: Big Bird driving a red fire engine, Ernie riding on an airplane, and Cookie Monster sitting on a scooter with a clear plastic carrier on the back that contains chocolate chip cookies. None of the characters can be removed from their vehicles. All three models have the same item number, 75110. Embossed on the under-carriage of each vehicle is the following: CTW JHP, INC. TARA TOY CORP. MADE IN CHINA. Neither CPSC nor the company is aware of any injuries involving these products. This voluntary recall is being conducted to prevent the possibility of injury. After CPSC testing, the vehicles broke, releasing small pieces of plastic and screws, exposing sharp points and edges. The wheels also separated. This violates the small parts requirements under the Federal Hazardous Substances Act. These hazards may pose potential choking, laceration and puncture injuries to young children. These toy vehicles were sold nationwide from June 1991 to January 1992. Each toy sold for approximately $3.99 each. The firm reports that some of the distributors of these toys include, Boscov's, Long Island Consortium, Marbal Drug Corp., Ocean State Jobbers, Rose's Store, Shepher Distributing, Super Dollar Discount, Thrift Drug, Toys 'R Us, F.W. Woolworth, Pike Distributors, and Marc Glassman, Inc. The potentially hazardous toys were identified during a joint surveillance program conducted by CPSC and the U.S. Customs Service at the Ports of Cleveland, Ohio and Newark, New Jersey. Consumers are urged to take the Sesame Street Push Power action figures away from young children immediately and return them to the store where purchased for a refund of the purchase price. Consumers with questions about this recall may contact the Tara Toy Corporation at (516) 273-8810. The U.S. Consumer Product Safety Commission is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products",92072,https://www.cpsc.gov/Recalls/1992/Tara-Toy-Corporation-Recalls-Sesame-Street-Push-Power-Toys
