Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"CPSC, Pottery Barn Kids Announce Recall of Toy Chests",6/29/2005 ,"This recall includes the Cameron toy chest in model numbers 4825378 (Honey), 6252852 (Espresso) and 4825386 (White). The product name and model number is located on a label affixed to the back of the toy chest. Inside the lid of the toy chest is a blackboard and an extra storage shelf. The toy chests are made of American hardwood frame with veneer panels and measure 40 x 18 x 20 high.",05211,https://www.cpsc.gov/Recalls/2005/CPSC-Pottery-Barn-Kids-Announce-Recall-of-Toy-Chests-
"Raymond Oak Inc. Recall of Toy Chests",3/21/2003 ,"Raymond Oak Inc. Recall of Toy Chests Recall Alert U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 March 21, 2003 Alert #03-530 CPSC, Raymond Oak Inc. Announce Recall of Toy Chests PRODUCT: Toy Chests - Raymond Oak Inc., of Fountain Valley, Calif., is voluntarily recalling about 200 toy chests. The toy chests are wooden and were manufactured with a natural birch or oak finish. The chests measure 36-inches in length, 20-inches in width and 21-inches in height. A sticker on the toy chests reads MADE IN CHINA and SC51CT-MP. Furniture stores nationwide sold the recalled toy chests from May 2000 through January 2002 for about $99. PROBLEM: The toy chest's lid support hinges can fail, allowing the lid to fall onto a child's head, neck, fingers or hands. In addition, spaces at the end of the hinge on the lid can cause pinch, crush or laceration injuries to children's fingers. INCIDENTS/INJURIES: CPSC and Raymond Oak Inc. have received one report of a 7-year-old girl whose finger was bruised after the toy chest lid slammed down on her left index finger. WHAT TO DO: Consumers should stop children from using the recalled toy chests immediately and contact the firm to receive a $79 refund. Consumers can contact Raymond Oak Inc. at (866) 614-1281 between 9 a.m. and 5 p.m. PT Monday through Friday. Raymond Oak Inc. has contacted all known purchasers by phone or mail. All but 20 of the toy chests have been returned.",03530,https://www.cpsc.gov/Recalls/2003/CPSC-Raymond-Oak-Inc-Announce-Recall-of-Toy-Chests
"Southern Wood Products Recall of Children's Toy Box",5/31/2002 ,"Southern Wood Products Recall of Children's Toy Box Recall Alert U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 May 31, 2002 Alert #02-543 CPSC, Southern Wood Products Announce Recall of Children's Toy Box PRODUCT: Children's toy box -Southern Wood Products of Sparta, Tenn., is voluntarily recalling about 600 toy boxes that measure 24 inches by 16 inches by 35 inches. The toy boxes were sold in the following colors: oak, white, cherry, and natural. The recalled toy boxes have manufacture date codes of 8502-021502A and 8502-030702A on a sticker located on the back or bottom of unit. The sticker also has the company's name and address. JC Penney sold the toy box through its catalogue from Feb 2002 until March 2002. The toy box was manufactured in the USA. PROBLEM: The middle lid support hinge can collapse suddenly and cause an injury to a child's head, neck, fingers, or hands; or can become an entrapment hazard to young children. INCIDENTS/INJURIES: None reported. WHAT TO DO: Consumers who purchased the toy box should stop using the toy box immediately and contact Southern Wood Products to receive a free replacement hinge. For more information, call Southern Wood Products at (800) 624-4129, Monday through Friday CST 7:30 am to 4:00pm. Consumers can contact JC Penney customer service at (888) 333-6063 or www.jcpenney.com Purchasers were sent direct mail notification of this recall. Replacement hinge",02543,https://www.cpsc.gov/Recalls/2002/CPSC-Southern-Wood-Products-Announce-Recall-of-Childrens-Toy-Box
"Cars Toy Chests Sold at Toys R Us Recalled by Delta Enterprise Due to Lead Poisoning Hazard",11/9/2006 ,"The wooden toy storage box is decorated with graphics from the animated movie Cars. It has three removable cloth toy bins. Delta and the PO# are printed on the side panel. Only toy boxes with PO#FJ505192 or PO#FJ605042 marked on the side panel are included in this recall.",07029,https://www.cpsc.gov/Recalls/2007/Cars-Toy-Chests-Sold-at-Toys-R-Us-Recalled-by-Delta-Enterprise-Due-to-Lead-Poisoning-Hazard
"Playskool Toy Chests Sold at Target Recalled by XL Machine Ltd.",9/4/2002 ,"Playskool Toy Chests Sold at Target Recalled by XL Machine Ltd. NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE September 4, 2002 Release # 02-243 XL Machine Recall Hotline: (866) 746-8097 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic, (301) 504-7058 CPSC, XL Machine Ltd. Announce Recall of Playskool Toy Chests Sold at Target WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), XL Machine Ltd., of Eden Prairie, Minn., is voluntarily recalling about 3,300 toy chests. Screws in the chests' lid support hinges can loosen over time, and come out from the base of the toy chests. If this happens, the lids of the toy chests can collapse suddenly, possibly causing injuries to children's head, neck, fingers or hands. CPSC and XL have received one report of screws in the lid support hinge of a toy chest coming out, resulting in one injury, a bruise to the neck. These blue toy chests measure 18.5-inches by 12-inches by 12- inches, and were sold under the Playskool brand name. On the toy chest lid top are depictions of Mr. and Mrs. Potato Head characters and the PLAYSKOOL logo. The front panel has a Glow Worm figure and a dog. The bottom of the toy chests contains DISTRIBUTED BY: XL MACHINE LTD, MINNEAPOLIS, MN 55347. The chests were made in China. Target stores sold the toy chest nationwide from October 2001 through December 2001 for about $50. Consumers should take these toy chests away from young children immediately and return them to the Target store where it was purchased for a refund or store credit. For more information, contact XL Machine toll-free at (866) 746-8097 anytime, or go to Target's web site at www.target.com",02243,https://www.cpsc.gov/Recalls/2002/CPSC-XL-Machine-Ltd-Announce-Recall-of-Playskool-Toy-Chests-Sold-at-Target-
"Toy Chests Repair/Recall by Crate & Barrel",7/22/1998 ,"Toy Chests Repair/Recall by Crate & Barrel NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 22, 1998 Release # 98-146 Company Phone Number: (800) 352-0688 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Crate & Barrel Announce Recall to Repair Toy Chests WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Crate & Barrel of Northbrook, Ill., is recalling about 7,000 toy chests for in-home repair of their lids. The toy chest's lid support can fail, allowing the lid to fall onto a child's head or neck. A child could become entrapped at the neck and strangle. CPSC and Crate & Barrel have received two reports of lids falling. In one instance, a lid fell onto a woman's head, causing her chin to strike the front edge of the chest. Through their retail stores, Crate & Barrel has received about 116 consumer requests for replacement lid supports. The Crate & Barrel toy chests also function as benches. The seat of the bench, which is the toy chest's lid, lifts up to store toys inside. The toy chests, measuring 29 inches long, 18 inches wide and 18 inches deep, are made of maple, birch or beech wood. A 2-inch high railing encompasses the sides and the back of the chest, along with spindle-type rails on the sides. These toy chests have either one or two metal lid supports. Crate & Barrel stores and catalogues sold the toy chests nationwide from September 1994 through March 1998 for about $130. Consumers should immediately stop young children from using the toy chests, and call Crate & Barrel at (800) 352-0688 between 8 a.m. and 5 p.m. CDT Monday through Friday. Crate & Barrel will provide a new lid support, free of charge, to stop the lid from falling to prevent a child from being injured or fatally trapped. Consumers can make this repair easily using a regular screwdriver.",98146,https://www.cpsc.gov/Recalls/1998/CPSC-Crate--Barrel-Announce-Recall-to-Repair-Toy-Chests
"Palliser Furniture Ltd. Recalls Toy Boxes",10/11/2001 ,"Palliser Furniture Ltd. Recalls Toy Boxes NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued October 11, 2001, Revised April 27, 2007 Release # 02-014 Company Phone Number: (204) 988-5600 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 Company Media Contact: Mary Ann Stewart, (204) 988-3398 Note: Telephone number change. CPSC, Palliser Furniture Ltd. Announce Recall of Toy Boxes WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Palliser Furniture Ltd., of Winnipeg, Manitoba, Canada, is voluntarily recalling about 4,500 toy boxes. The toy box's lid can fall suddenly, posing entrapment and strangulation hazards to young children. In addition, spaces at the end of the hinge on the lid can cause pinched, crushed and lacerated fingers. The toy chest voluntary standard requires toy boxes or chests with hinged lids to have lid supports that keep the lid from falling suddenly onto the head of a child, preventing an entrapment and strangulation hazard. The hinges also must minimize any spaces that could allow a child's finger to be pinched, crushed or lacerated. CPSC and Palliser Furniture Ltd. have not received any reports of injuries or incidents involving these toy boxes. This recall is being conducted to prevent the possibility of injuries. All the toy boxes have a manufacturer's label inside or on the back with Palliser and the model number written on it. The model numbers are: 580-283, 581-283, 582-283, 583-283, 584-283, 589-283 and 598-283. The toy boxes measure about 36-inches long by 19-inches wide and 21-inches high. They have the following finishes: white with small color inserts in the knobs or with large color inserts on the front panel; natural maple or natural maple with white, denim or green front panels; and natural cherry. Furniture stores nationwide and in Canada sold these toy boxes from July 1999 through August 2001 for about $150 (about $200 CAD). Consumers should stop children from using these toy boxes immediately, and contact Palliser for a free replacement toy box or a $50 refund. For more information, consumers should call Palliser at (204) 988-5600 anytime or visit Palliser's recall web site at www.toyboxnews.com.",02014,https://www.cpsc.gov/Recalls/2002/CPSC-Palliser-Furniture-Ltd-Announce-Recall-of-Toy-Boxes
"Toy Chests Recalled by Thornwood Furniture",2/3/2000 ,"The lids on these toy chests could fall onto a child's head or neck. An investigator for the Georgia Office of Consumer Affairs discovered the problem with the toy chest while conducting retail surveillance for CPSC.",00061a,https://www.cpsc.gov/Recalls/2000/Toy-Chests-Recalled-by-Thornwood-Furniture
"CPSC, Stork Craft Manufacturing Inc. Announce Recall of Toy Boxes",8/19/2005 ,"The recall includes toy boxes with manufacture date codes between November 2002 and July 2004 and the following model numbers and colors: 01520-331 - white, 01520-334 - cherry, 01520-33C - cognac, 01520-33L - oak, and 01520-33N - natural. The manufacture date codes, model numbers, and colors are located on a label underneath the toy boxes. The toy boxes measure 27 inches long by 18 inches wide and 17 inches high. The boxes are constructed of pine.",05248,https://www.cpsc.gov/Recalls/2005/CPSC-Stork-Craft-Manufacturing-Inc-Announce-Recall-of-Toy-Boxes-
