Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Playskool Voluntarily Recalls Toy Tool Benches after the Death of Two Toddlers",9/22/2006 ,"The Team Talkin' Tool Bench™ is a 20-inch-tall plastic toy tool bench with an animated red toy saw, a yellow toy drill and a blue toy vice. The toy talks and makes various sound effects, including tool sounds. The product also includes a toy hammer, screwdriver, two 2¼-inch plastic screws, two 3-inch plastic nails and pieces to build a small toy plane. The red Playskool logo is on the front of the brown surface of the tool bench.",06266,https://www.cpsc.gov/Recalls/2006/Playskool-Voluntarily-Recalls-Toy-Tool-Benches-after-the-Death-of-Two-Toddlers
"KB Toys Recall of Activity Gym Toys",6/14/2001 ,"KB Toys Recall of Activity Gym Toys NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: telephone number change FOR IMMEDIATE RELEASE Originally issued June 14, 2001, Revised February 26, 2004 Release # 01-174 Company Phone Number: (413) 496-3000 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, KB Toys Announce Recall of Activity Gym Toys WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), KB Toys, of Pittsfield, Mass., is voluntarily recalling about 115,000 Electronic Light N' Learn activity gyms. Five detachable hanging rattle toys have small round pegs at the top of the toys that can break off, posing a choking hazard to young children. CPSC and KB Toys have received six reports of the pegs breaking off, including two reports of a 6- month-old-boy and a 14-month-old-boy beginning to choke off of a broken piece of the rattle attachment. The Electronic Light N' Learn activity gym is a multi-colored toy that converts into three different toys, including a crib toy, a floor gym and a musical keyboard. The gyms' main console has five buttons with numbers that make music when pressed and automatically light up when the continuous song play option is selected. Five detachable rattles in the shape of a bear, snail, star, half-moon and horse hang from the bottom of the console. A label under the handle on the gyms' main console reads in part ELECTRONIC LIGHT N' LEARN ACTIVITY GYM MODEL: 8735, MADE IN CHINA. KB Toy store, KB Toy Works, KB Toy Outlet, Big Lots, Odd Lots, Pic N Save and MacFrugals nationwide sold the toys from September 2000 through January 2001 for between $20 and $30. The toys also were sold online at KBKids.com. Consumers should take these toys away from young children immediately and return the toy to the store where purchased for a refund. Consumers who purchased the toy online, should return the toy to the closest KB Toy store or contact KB Toys for return information. For additional information, contact KB Toys at (413) 496-3000.",01174,https://www.cpsc.gov/Recalls/2001/CPSC-KB-Toys-Announce-Recall-of-Activity-Gym-Toys
"Toy Kitchen Is Recalled; Parts May Cause Choking",2/2/1989 ,"Toy Kitchen Is Recalled; Parts May Cause Choking NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE February 2, 1989 Release # 89-009 Toy Kitchen Is Recalled; Parts May Cause Choking WASHINGTON -- Amloid Company of Saddle Brook, NJ, is voluntarily recalling some 75,000 Cook N Clean Kitchen toys because small plastic parts may come off the toy and could pose a choking hazard to young children. Packaged in a yellow plastic, fold-up carrying case, Cook N Clean Kitchen is a toy kitchen for pre-school children. The toy kitchen includes a stove, sink, cupboard, pots, pans, utensils and placemats made of blue, red and yellow plastic. The temperature control knob on the stove and small red pegs on the back of the toy may come off and could present a choking hazard. Imported from Mexico, the toys were sold nationwide since April 1987 for about $6 to $8. Consumers should immediately take the toy away from young children and return it to the store where purchased for a refund of the full purchase price. The U.S. Customs Service identified the potentially hazardous toy at the Port of Laredo, Texas during Operation Toyland, a joint surveillance program with the U.S. Consumer Product Safety Commission.",89009,https://www.cpsc.gov/Recalls/1989/Toy-Kitchen-Is-Recalled-Parts-May-Cause-Choking
"Manhattan Toy Recalls Table Top Toys Due to Choking Hazard",3/31/2016 ,"Busy Loops table top toys have orange, green, blue and purple plastic tubing with plastic beads threaded on the tubing that can slide up and down. The tubes sit on a blue plastic base with an orange plastic suction cup. The toy is about 4.5 W x 4.5 L x 7 H. The model number 700470 and lot code FH are printed on the bottom of the blue base.",16129,https://www.cpsc.gov/Recalls/2016/Manhattan-Toy-Recalls-Table-Top-Toys
"Toys R Us Recalls Elite Operations Toy Sets Due to Lead and Laceration Hazards",3/13/2007 ,"This recall involves three styles of Elite Operations brand toy sets. The military-style play sets contain light and sound vehicles, action figures and accessories. Models included in this recall are: Super Rigs Transport Vehicle (Item # 087286), Command Patrol Center (Item # 920625) and Troop Carrier (Item # 773967). The item numbers are located on the back of the packaging above the barcode. Toy sets sold prior to January 2006 are not included in this recall. No other Elite Operations brand toys are affected by this recall.",07127,https://www.cpsc.gov/Recalls/2007/Toys-R-Us-Recalls-Elite-Operations-Toy-Sets-Due-to-Lead-and-Laceration-Hazards
"Toys R Us Recalls Imaginarium Activity Center Due to Choking Hazard",5/30/2012 ,"This recall involves the Imaginarium 5-Sided Activity Center. The multi-sided center has two triangle-shaped ends with a wooden multi-colored xylophone on one and a mirror on the other. The three sides are square-shaped and include moveable block letters, rotating gears and sliding shapes. The name Imaginarium appears in a blue, oval-shaped logo underneath the mirror on one end. The second 'i' in the logo is dotted with a shooting star. The recalled product has model number 46284; Toys R Us item number 295909; and has the barcode number 000799985462841. The model number is printed on the back of the box, directly above the bar code. These numerical markings do not appear on the actual product.",12188,https://www.cpsc.gov/Recalls/2012/Toys-R-Us-Recalls-Imaginarium-Activity-Center-Due-to-Choking-Hazard
"Toys R Us Recalls Imaginarium Activity Walker Due to Choking Hazard",3/13/2013 ,"The recalled Imaginarium Activity Walkers have a round wooden push handle on the top of a curved triangle-shaped wooden walker base with four wheels. There is a multi-colored metal xylophone with 2 triangle mallets, 1 multi-colored abacus and 1 scratch noise maker on the front of the walker. The walkers have multi-colored wooden, disc-shaped wheels. The walkers measure about 19 inches tall and about 13 inches wide. The recalled walkers have model number Toys 'R' Us 5F5E972 printed on the bottom of the activity walkers. Barcode number 3700217300319 is printed on the bottom of the activity walker box.",13139,https://www.cpsc.gov/Recalls/2013/Toys-R-Us-Recalls-Imaginarium-Activity-Walker
"Spin Around Playhouse Recalled by Illco",7/26/1989 ,"Spin Around Playhouse Recalled by Illco NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 26, 1989 Release # 89-073 Illco Toy Company Recalls Spin Around Playhouse WASHINGTON, DC -- Illco, Toy Company (U.S.A.) Inc., New York, New York is voluntarily recalling its Model No. 8634 Disney Babies Spin Around Playhouse. Components of this toy may separate and the resulting small parts may present a choking, aspiration or ingestion hazard. This toy consists of a house which spins around on a Lazy Susan with four different color doors, two on the front and two on the back. There are three Disney figures on top of the house. The box is labeled, Spin Around House Disney Babies Activity Toy and lists Illco's name. A total of 6,708 of these toys were sold nationwide in retail stores for approximately $14.00 from 1987 to 1988. Consumers should remove the product from their children's reach and return it-to the store where purchased for an exchange or refund. They may also return it to Illco Toy Co., Inc., 200 Fifth Avenue, New York, New York 10010.",89073,https://www.cpsc.gov/Recalls/1989/Illco-Toy-Company-Recalls-Spin-Around-Playhouse
"Toy Sundae Sets Sold at Target Recalled by Battat Inc. Due to Choking Hazard",3/13/2008 ,"The recalled wooden sundae set toy includes six wooden scoops of ice cream, three cherries that attach to the top of the ice cream scoops, banana slices, a spoon and bowl. The ice cream scoops are green, pink, brown, yellow and purple. The sundae set pieces attach to each other with Velcro. Model number DPCI-204-12-0526 is included in this recall and is located on the packaging.",08220,https://www.cpsc.gov/Recalls/2008/Toy-Sundae-Sets-Sold-at-Target-Recalled-by-Battat-Inc-Due-to-Choking-Hazard
