Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Toy Golf Clubs Recalled by H-G Toys",11/29/1977 ,"Toy Golf Clubs Recalled by H-G Toys NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE November 29, 1977 Release # 77-117 Toy Golf Clubs Recalled WASHINGTON, DC (Nov. 29) --The U.S. Consumer Product Safety Commission, in cooperation with H-G Toys of Long Beach, N.Y., today warned consumers of a possible defect in Par-Golf Toy Golf Clubs, model numbers 721 and 723. Because of faulty staple assembly, the club's metal rod may separate from its handle when swung and thus be propelled into anyone who may be standing in the rod's path. The models in question were shipped into commerce before May 1, 1977. Ghey bear a single staple which fastens the club rod to the handle. Consumers who have purchased the model 721 or 723 toy golf clubs are urged to carefully examine them to make sure the rod is securely attached to the handle. If the connection is weak, consumers are instructed to discontinue use and may return the clubs to their retailer for refund or replacement. The toy golf clubs are packaged in pairs along with two golf balls on a cardboard backing labeled Par Golf and H-G Toys. No identifying markings appear on the clubs or balls themselves. The model 721 and 723 clubs were distributed nationwide and retail from about $1.50 to $2.50 in specialty and variety stores. It is currently not known how many of the toy clubs are still available for purchase by consumers since the products were marketed primarily for sale during the summer season. Consumers who desire additional information should write to H-G Toys, Inc., 750 Park Place, Long Beach, N.Y. 11561.",77117,https://www.cpsc.gov/Recalls/1977/Toy-Golf-Clubs-Recalled
"Squeeze Toys Recalled by Cutoy",9/25/1984 ,"Squeeze Toys Recalled by Cutoy NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE September 25, 1984 Release # 84-055 Squeeze Toy Recalled Because Of Potential Choking Hazard WASHINGTON, D.C. -- In cooperation with the Consumer Product Safety Commission, Cutoy Cooperative Association, Burlington, North Carolina, today announced a voluntary recall of the #CT569 Baseball Bat Squeeze Toy which the CPSC believes may cause choking and/or suffocation because the handle is small enough to lodge in an infant's throat and obstruct the airway. Although, this squeeze toy has not been involved in any choking incidents, the CPSC believes that the item is similar in shape and size to products that have been involved in such incidents. In the last two years Cutoy Cooperative Association distributed on a nationwide basis less than three hundred of the Baseball Bat Squeeze Toy. This baseball bat shaped toy is made of soft, easily compressed material with a face on the batting end, and is packaged with a label bearing the following information GROW TIME SQUEEZE and SQUEAK, Item #CT569. This Baseball Bat Squeeze Toy which is available in several colors including green, yellow and red, has a bulbous handle 1 l/16 in diameter and is 7 3/4 long. Consumers should remove this product from use immediately and return it to the retailer where purchased for a full refund. If desired, the consumer may return the Squeeze Toy to Cutoy Cooperative Association, P.O. Box 2197, Burlington, North Carolina 27215, for a full refund or contact Cutoy at its toll-free number, 800-334-5321. Retailers should remove the Squeeze Toy from sale immediately and return it to Cutoy Cooperative Association for a full refund. Anyone wishing additional information may contact CPSC's toll-free Hotline at 800-638-CPSC. A teletypewriter number for the hearing-impaired is (301) 595-7054.",84055,https://www.cpsc.gov/Recalls/1984/Squeeze-Toy-Recalled-Because-Of-Potential-Choking-Hazard
"CPSC, Toy Manufacturers Announce Recall to Replace Toy Basketball Nets",12/22/1998 ,"The toy basketball sets with nets that need to be replaced come in a variety of colors and include a nylon net and plastic hoop attached to a plastic pole. The pole is set in a plastic base and adjusts from 3.5 to 6 feet high. The manufacturer's name and model are located on the backboard or base of each toy. The manufacturers will help consumers determine if the nets need to be replaced.",99036,https://www.cpsc.gov/Recalls/1999/CPSC-Toy-Manufacturers-Announce-Recall-to-Replace-Toy-Basketball-Nets
"Recall to Replace Toy and YouthBasketball Nets",12/1/1999 ,"Recall to Replace Toy and Youth Basketball Nets NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued December 1, 1999, Revised July 9, 2001 Release # 00-022 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Yolanda Fultz-Morris, (301) 504-7066 Note: Phone number change. CPSC, Manufacturers Announce Recall to Replace Toy and Youth Basketball Nets WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Franklin Sports, Huffy Sports and Lifetime Products are announcing a voluntary recall to replace the nets on 900,000 toy and youth basketball sets. Children could strangle on loops or openings in nets that come unhooked from the rim or have knots that slide. If children put their heads into these openings, the net can get tangled around their necks. Franklin Sports has received one report of a 3-year-old boy getting his head and neck caught in a basketball net. Huffy Sports and Lifetime Products have received no incident reports. No injuries have been reported. In December 1998, Fisher Price, Little Tikes, Ohio Art and Today's Kids recalled 10.1 million toy basketball sets to replace their nets. This recall followed 20 reports of children under 5 getting their heads and necks caught in the nets, including the death of an 18-month-old child. Consumers should immediately inspect their basketball sets for nets that can unhook from the rim or have knots that slide. The basketball sets with nets that need to be replaced come in a variety of colors and include a nylon net and plastic or metal hoop attached to a plastic, youth-sized pole. The pole is set in a plastic base and adjusts from 3 to 6 feet high. Franklin Sports recalled basketball sets are called Slam Dunk Youth Basketball Set. Huffy Sports recalled basketball sets are called Youth One-On-One. Lifetime Products recalled basketball sets are called Shoot Case. The manufacturer's name is on the backboard, base or hoop of each toy. The manufacturers will help consumers determine if the nets need to be replaced.  Toy, sporting goods, mass merchandise and discount department stores nationwide sold the basketball sets since 1993 for $13 to $40. Basketball sets sold in stores today, by the participating manufacturers, have nets that are attached securely to the rim and are not involved in this recall. In addition, nets on full-sized portable or in-ground sets over 6 feet high are not recalled. Consumers should remove and throw away nets that can unhook or have knots that slide. Manufacturers will send consumers new nets that securely attach to the rim and do not have sliding knots. The basketball set can be used without a net until the new net arrives. Consumers should not return the product to stores. Manufacturer Brand Quantity/Dates Sold Toll-Free Number/Web Address Franklin Sports Stoughton, Mass. Slam Dunk Youth Basketball Set 580,000 sold between 1996 and 1999 (800) 225-8647 x. 274 Huffy Sports Sussex, Wis. Youth One-On-One 180,000 sold between 1994 and 1999 (800) 558-5234 www.huffysports.com Lifetime Products Clearfield, Utah Shoot Case 140,000 sold between 1993 and 1997 (800) 242-3865 www.lifetime.com Today's announcement is the result of reports to CPSC following the December 1998 recalls. The press release about those recalls also contains a video clip showing the hazard.",00022,https://www.cpsc.gov/Recalls/2000/CPSC-Manufacturers-Announce-Recall-to-Replace-Toy-and-Youth-Basketball-Nets-
"Batting Tee Game Recalled By Rawlings Sporting Goods",2/6/1992 ,"FEBRUARY 6, 1992 Release # 92-052 Batting Tee Game Recalled By Rawlings Sporting Goods WASHINGTON, DC -- Rawlings Sporting Goods Company of St. Louis, MO in cooperation with the U.S. Consumer Product Safety Commission (CPSC) is voluntarily recalling a children's sports toy called the Batting Tee. The Batting Tee is a practice batting stand marketed for children and has a tethered ball anchored to the ground by a metal stake. The stake may pull out of the ground and strike the head or body of the players. These types of staked balls used as part of batting tee games for children have been involved in three injuries reported to CPSC by consumers. One incident involved a child who suffered a skull fracture from the metal stake of an earlier recalled batting tee, not a Rawlings tee. Approximately 16,000 Rawlings batting tee games, Model number TBK-2, have been sold by retail stores nationwide from 1987 to the present. Consumers can identify the toys by the Rawlings name imprinted in red on the white plastic home plate stand included in the game. Rawlings asks consumers to stop using the batting tee and return the metal-staked ball, cord, and tee to the retailer where purchased for a free, redesigned batting tee game. If consumers have questions about the recall, they may call Rawlings Sporting Goods at 1-800-367-3455. The U.S. Consumer Product Safety Commission is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.5 million injuries and 21,600 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",92052,https://www.cpsc.gov/Recalls/1992/Batting-Tee-Game-Recalled-By-Rawlings-Sporting-Goods
"Basketball Sets Recalled by Fisher-Price",5/10/2001 ,"Basketball Sets Recalled by Fisher-Price NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued May 10, 2001, Revised November 19, 2002 Release # 01-149 Fisher-Price Recall Hotline (800) 247-9395 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 Fisher-Price Media Contact: Laurie Oravec, (716) 687-3395 Note: Web site change. CPSC, Fisher-Price Announce Recall of Basketball Sets WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Fisher-Price, of East Aurora, N.Y., is recalling about 55,000 basketball sets to replace the nets. Some of the nets have enlarged openings. If children put their heads into these enlarged openings, the net can get tangled around their necks and they could strangle. Fisher-Price has not received any reports of injuries. This recall is being conducted to prevent the possibility of injuries. The recalled Grow-to-Pro Basketball set has a black pole that adjusts from 3 to 6 feet. A nylon net with an orange plastic hoop is attached to the pole, along with a gray backboard. The Fisher-Price logo is on the front of the backboard; and the model number, 72408, along with the words, Made in U.S.A. are on the other side of the backboard. Toy, mass merchandise and discount stores sold these toys nationwide from January 2001 through May 2001 for about $30. Consumers should stop using the basketball set immediately. Consumers should call Fisher-Price toll-free at (800) 247-9395 anytime to order a free replacement net. Fisher-Price will help consumers determine if their basketball nets have enlarged openings. Consumers can also visit the company's website at http://www.service.mattel.com/us/recall.asp.",01149,https://www.cpsc.gov/Recalls/2001/CPSC-Fisher-Price-Announce-Recall-of-Basketball-Sets
"Sportcraft And Wilson Batting Tee Games Recalled",8/22/1991 ,"August 22, 1991 Release # 91-113 Sportcraft And Wilson Batting Tee Games Recalled WASHINGTON, DC -- General Sportcraft Company Ltd. and Foremost, both of Bergenfield, NJ, are recalling a children's baseball practice game called the Batting Tee. The General Sportcraft product was sold under the Sportcraft name, and the Foremost model was sold under the Wilson name. This recall is being conducted in cooperation with the U.S. Consumer Product Safety Commission (CPSC). The Batting Tee being recalled consists of a ball tethered to an elastic cord that is anchored to the ground with the U- shaped metal stake. The stake may come out of the ground and hit the player's body or head. A separate stand holds the ball during use. Injuries occur when children pull on the ball or cord and the stake suddenly pulls out of the ground and toward the child. Units with a 1 1/4-inch common washer anchoring the ball directly to the base are not being recalled. The CPSC has confirmed one report that a child received a skull fracture after being struck by a stake from a Batting Tee. These sets were sold nationwide. The firm estimates that 150,000 sets were sold under the Sportcraft label since 1980, and 70,000 Foremost sets were sold under the Wilson label since 1986. Consumers can identify these products by the names Sportcraft or Wilson which appear on the base of the five sided stand. Recalled units have a U-shaped stake. Sportcraft and Foremost advise consumers to discontinue use of the product and return it to the retailer where purchased for a cash refund. Consumers may also return the product to: Batting Tee RecallGeneral Sportcraft/Foremost140 Woodbine StreetBergenfield, NJ 07621 The U.S. Consumer Product Safety Commission is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to help reduce the estimated 28.5 million injuries and 21,600 deaths that occur each year with 15,000 different types of consumer products within CPSC's jurisdiction",91113,https://www.cpsc.gov/Recalls/1991/Sportcraft-And-Wilson-Batting-Tee-Games-Recalled
"CPSC, Come Play Products Announce Basketball Net Recall",12/13/1995 ,"December 13, 1995 Release # 96-039 WASHINGTON, D.C.- CPSC Come Play Products Company of Worcester, Mass., is announcing a recall of approximately 70,000 white nets included in its Junior Pro Basketball Sets, model 2800, sold in 1992 and 1993. If the basketball set's adjustable post is placed upside down, contrary to the instructions, a child under three can become entangled in the net and strangle.CPSC is aware of one incident in which a child under three years old became entangled in the net and nearly strangled.The Model 2800 Jr. Pro Basketball Set includes a black plastic base, black cardboard back board that reads HOOP SHOT, and a white mesh net with a yellow plastic rim. The set's silver cardboard pole can be adjusted to stand up to 5.25 feet high. Kay Bee Toy and Hobby Shops sold the Jr. Pro Basketball Set nationwide between October 1992 and May 1993 for about $9.99. The toy basketball sets came unassembled in a box labeled in part, COME PLAY ... JR. PRO BASKETBALL SET ... FOR AGES 3 UP. Since May 1993, Come Play distributed only pink nets with smaller holes which do not pose a strangulation hazard. These pink nets are not subject to this recall. This recall involves only Jr. Pro Basketball sets with white nets.Consumers should remove the white net and return it to Come Play Products Company, 44 Suffolk Street, Worcester, MA 01604. Come Play Products Company will mail consumers a neon pink replacement net and reimburse postage costs. For more information, consumers should call Come Play Products Company at (800) 528-3328 from 9 a.m. to 5 p.m. EST",96039,https://www.cpsc.gov/Recalls/1996/CPSC-Come-Play-Products-Announce-Basketball-Net-Recall
"Aviva Sports, Inc. Voluntarily Recalls Sound Swing Bat",7/1/1992 ,"July 1, 1992 Release # 92-111 Aviva Sports, Inc. Voluntarily Recalls Sound Swing Bat PRODUCT: Aviva Sports' 27-inch Sound Swing baseball bat. The bat is lightweight with a foam exterior, and mimics the cracking sound of hitting a home run when swung properly. PROBLEM: The plastic end cap and sound maker inside the end cap may separate from the bat during use and strike a bystander. WHAT TO DO: Discontinue use immediately and return Sound Swing bat to place of purchase for a full refund. Consumers may also return bat by mail. Call 1-800-524-0571 for more information. WASHINGTON, DC -- Aviva Sports, Inc. of San Francisco, CA, in cooperation with the U.S. Consumer Product Safety Commission (CPSC), is voluntarily recalling its Sound Swing Bat, model No. 31500. The plastic end cap and internal noisemaker may separate from the bat during use and strike a bystander. The Sound Swing 27-inch baseball bat mimics the cracking sound of hitting a home run when swung properly. The bat is lightweight and has a foam exterior. The bats are sold with and designed for use with an Aviva foam rubber ball. The sound is produced by a noisemaker (located in the end of the bat) that strikes against the plastic end cap when swung properly. With repeated use, the cap and noisemaker may separate from the bat, posing a possible projectile hazard. CPSC was informed of this potential hazard by Aviva Sports as a result of 14 reported incidents with no injuries. Although no product failures were found in standard safety testing conducted by an independent certified laboratory, Aviva Sports is taking this action because of its concern for potential injury. Approximately 125,000 Sound Swing Bats have been sold nationwide since the product's introduction this year. The bat and attached ball sell for approximately $13.00 each. Owners of all Sound Swing bats should stop use immediately and return them to the place of purchase for a full refund. Consumers may also mail the bat back to Aviva Sports for a full refund plus reimbursement for postage. If the bat is returned by mail, in addition to the full refund and postage reimbursement, Aviva is offering a $2.00 discount coupon toward the purchase of any Aviva product. Consumers may return the bats to: Nancy Nelson, Aviva Sports, Inc., 15930 E. Valley Blvd., City of Industry, CA 91744. For further information about this voluntary recall, consumers may call Aviva Sports toll free at: 1-800-524-0571. The U.S. Consumer Product Safety Commission is joining Aviva Sports in announcing this recall as part of its mission to protect the public from possible injury",92111,https://www.cpsc.gov/Recalls/1992/Aviva-Sports-Inc-Voluntarily-Recalls-Sound-Swing-Bat
