Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Discovery Toys Children's Toy Phone Recall",10/23/2001 ,"Discovery Toys Children's Toy Phone Recall Recall Alert U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 October 23, 2001 Alert #02-502 CPSC, Discovery Toys Announce Recall of Children's Toy Phones PRODUCT: Children's Toy Telephone - Discovery Toys Inc. of Livermore, Calif., is voluntarily recalling about 57,000 Hello Baby toy phones, model #1077. The battery-operated, multicolored toy flip phone is red, blue and yellow with green, blue, yellow and orange dial buttons. Each button has its own sound: a ring, a beeping dialing tune, a busy signal and a hello. The toy phone has a blue hard-plastic antenna with a ball-shaped tip that makes a clickity-clack sound. The toy phones were sold nationwide through Discovery Toys sales network. They were sold in the U.S. and Canada from May 1999 through November 2000 for about $10 and have since been discontinued. PROBLEM: The blue, hard plastic antenna ball can break off of the toy phone, posing a choking hazard to young children. INCIDENTS/INJURIES: Discovery Toys received eight reports of the antenna ball breaking off of the toy phones. No injuries have been reported. WHAT TO DO: Consumers should stop using the toy phone immediately and call Discovery Toys at 800-341-TOYS (1-800-341-8697) Monday through Friday 7:00 AM - 3:30 PM (PT) for a free repair kit. Consumers also can request a free repair kit by sending an email to productsupport@discoverytoys.net. Purchasers were sent direct mail notification of this recall.",02502,https://www.cpsc.gov/Recalls/2002/CPSC-Discovery-Toys-Announce-Recall-of-Childrens-Toy-Phones
"Kids Station Toys Recalls Little Tikes Toy Cell Phones Due to Choking Hazard",5/28/2008 ,"The Little Tikes brand Chit 'N Chat Toy Cell Phone resembles a flip-phone style cell phone and has a 10-key numeric button pad and three buttons with pictures of animals. All of the buttons make a sound when pressed. The toy phones are multi-colored and have a sticker on the back with model number KSL4010 (sold separately) or KSL8032, KSL8033, or KSL8051 (sold with other items). Designed and Licensed by Kids Station Toys International Ltd. is printed on the back of the toy phones. Toy phones with a screw visible on the hinge cover are not subject to the recall.",08290,https://www.cpsc.gov/Recalls/2008/Kids-Station-Toys-Recalls-Little-Tikes-Toy-Cell-Phones-Due-to-Choking-Hazard
"Pop Up Phone Recalled; Antenna Is Choking Hazard",11/17/1988 ,"November 17, 1988 Release # 88-099 Pop Up Phone Recalled; Antenna Is Choking Hazard WASHINGTON, DC - Pop Up Answer Phone model #1808-0, a Larami pre-school toy, is being recalled by the manufacturer because an antenna piece may separate from the toy telephone receiver and cause a potential choking hazard for young children. Larami Corporation, of Philadelphia, PA is recalling 20,000 of the toy telephones sold nationwide in 1987 for about $10. The plastic Pop Up Answer Phone consists of a six-by-eight-inch red and white base and a blue receiver. Adhesive labels on both the base and receiver identify the toy as Pop Up Answer Phone. The model number 1808-0 appears on the package but not on the toy itself.An inch-and-a-half long plastic antenna projects from the top of the telephone receivers. Twelve red push buttons are located on the base of the toy; when the buttons are pushed, small cards pop up through slots on the base. A roller directory is found at the top of the base. The same toy phone manufactured by Larami but identified with an adhesive red dot on the telephone receiver and on the front of the package is not affected by this recall.Parents having model #1808-0 Pop Up Answer Phone not marked with a red dot should immediately take the toy away from young children and return it to the store where purchased for a refund of the full purchase price, or mail the toy to Larami Corporation, 340 North 12th Street, Philadelphia, Pa. 19107. OSPIRG, the Oregon State Public Interest Research Group brought this toy to the attention of the U.S. Consumer Product Safety Commission (CPSC)",88099,https://www.cpsc.gov/Recalls/1988/Pop-Up-Phone-Recalled-Antenna-Is-Choking-Hazard
"TDT Toy Company Recalls Plastic Telephones Because Of Potential Choking Hazards",5/30/1991 ,"May 30, 1991 Release # 91-079 TDT Toy Company Recalls Plastic Telephones Because Of Potential Choking Hazards WASHINGTON, DC -- TDT Toy Company of Los Angeles, CA is voluntarily recalling its toy Bear Ringing Phone #821, Clown Ringing Phone #824, and Panda Ringing Phone #825 because these toys may pose a fatal choking hazard for young children due to small parts. The plastic toy telephones, sold nationwide prior to August 1990, failed use and abuse testing conducted by the U.S. Consumer Product Safety Commission (CPSC). Approximately 2,454 affected Bear, Clown, and Panda telephones were sold. This recall is being conducted in cooperation with the CPSC. The battery operated toy phones consist of a colorful bear, clown, or panda shaped plastic figure in which a square telephone-like push button pad is mounted. Each figure has its right hand and arm extended to hold a bright red handset which is connected by a plastic cord to the base of the toy. The head of the figure moves up and down and the eyes light up when the buttons are pushed and a ringing sound is generated. Each of the figures has a bow tie as part of the head/neck design. These telephones were imported from Taiwan and distributed by TDT. The phones sold for under $7.00 each. Neither the CPSC nor the company is aware of any injuries involving these toy phones. This voluntary recall is being conducted to prevent the possibility of injury. Consumers are urged to take these toys away from young children and return them to the store where purchased for a refund of the purchase price. Consumers with questions about this recall may contact the TDT Toy Company at (213) 687-3547 or write TDT Toy Company, 310 Boyd Street, Los Angeles, CA 90013. The potentially hazardous toys were identified during an inspection of the firm conducted as a result of previous violations. The CPSC's mission is to protect the public from unreasonable risks of injury and death associated with consumer products. The CPSC is the Federal agency responsible for consumer product safety. Some 15,000 different types of products fall within the Commission's jurisdiction and each year these products are involved in an estimated 29 million injuries and 22,000 deaths",91079,https://www.cpsc.gov/Recalls/1991/TDT-Toy-Company-Recalls-Plastic-Telephones-Because-Of-Potential-Choking-Hazards
"Toy Telephones Recalled by Durham",10/1/1979 ,"Toy Telephones Recalled by Durham NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE October 1, 1979 Release # 79-054 Cords On Toy Telephones Recalled WASHINGTON, D.C. (Oct. 1) -- Durham Industries, Inc., of New York City is recalling the detachable connector cords sold with approximately 97,000 toy telephone sets, the U.S. Consumer Product Safety Commission announced today. The cord connects two battery-operated toy telephones, enabling children to talk to each other. The two-prong plugs at each end of the cord so closely resemble genuine electrical plugs that children may try to force them into household sockets, thereby receiving severe shocks or burns, according to CPSC staff. An 8-year-old girl was burned earlier this year when she was able to force one of the plugs into a wall electrical outlet. The connector cord is sold as part of the model 7028 Holly Hobbie dial/intercom toy telephone set. Available in pink and blue, the toy phones are equipped with functional intercoms, signal lights and buzzers. The words Holly Hobbie are printed on the center dial of each toy phone. The set has been sold exclusively by the K-Mart Corporation for approximately $9.95. Durham has imported the toy from Yugoslavia since 1977. Parents should return the cords to Durham Industries, Inc., 41 Madison Avenue, New York, N.Y. 10010, to receive free replacement cords which have been redesigned.",79054,https://www.cpsc.gov/Recalls/1979/Cords-On-Toy-Telephones-Recalled
"Coynes, Inc. Recalls Musical Cordless Toy Telephone",5/5/1993 ,"May 5, 1993 Release # 93-067 PRODUCT: Approximately 7,000 Coynes, Incorporated's musical cordless toy telephones called Cordless Phone Organ, sold nationwide between June 1991 and January 1993. PROBLEM: During routine testing by CPSC the antenna separated from the body of the toy telephone. The State of Kentucky's Product Safety Branch reported to CPSC an incident of a two-year-old child who removed buttons from the phone and placed them into her mouth. The telephone presents a choking hazard to young children. WHAT TO DO: Consumers are urged to take the recalled toy telephones away from young children and return them to the stores where purchased for a full refund. WASHINGTON, DC -- CPSC, Coynes, Inc., Minneapolis, MN is voluntarily recalling approximately 7,000 musical cordless toy telephones called Cordless Phone Organ, sold between June 1991 and January 1993. Testing of the toy telephones by CPSC found the antenna separates from the body of the toy telephone and presents a choking hazard to young children. The State of Kentucky's Product Safety Branch reported to CPSC an incident of a two-year- old child who removed buttons from the phone and placed them into her mouth. The plastic toy telephone is either blue or pink and measures five by 1-5/8 by 1-1/2 inches with a two-inch black antenna. The keys on the telephone play musical notes when pushed. The recalled toy telephones were sold in retail stores nationwide for $2.00 to $3.00 each. The toy telephones were packaged in clear plastic sleeves with a cardboard header labeled in part ...Cordless Phone Organ...DO RE ME...Made in Taiwan ...Model number D-6138.... Consumers are urged to take the recalled toy telephones away from young children immediately and return them to the stores where purchased for a full refund. For more information about this recall, consumers may call Coynes, Inc. at 1-800-336-8666 or write to the company at 7400 Boone Ave. North Minneapolis, MN 55428. Neither CPSC nor Coynes, Inc. is aware of any injuries involving these toy telephones; this recall is being conducted to prevent the possibility of injury. CPSC is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.6 million injuries and 21,700 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",93067,https://www.cpsc.gov/Recalls/1993/Coynes-Inc-Recalls-Musical-Cordless-Toy-Telephone
"Toy Baby Phone Recalled by Vtech",6/22/2000 ,"Toy Baby Phone Recalled by Vtech NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE June 22, 2000 Release # 00-127 Vtech Recall Hotline: (800) 521-2010 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Vtech Industries Announce Recall of Toy Baby Phone WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Vtech Industries LLC, of Wheeling, Ill. is recalling about 34,000 toy baby phones. The toy phones have a ball-shaped antenna which can detach, presenting a choking hazard to young children. CPSC and Vtech Industries have received nine reports of the plastic ball detaching from these phones. One child reportedly started to choke on one of these plastic balls. The toy is called Little Smart Soft Songs Baby Phone. The cordless baby phone has a mirror, four colorful talking musical buttons, a ringing light-up phone button and a red on/off button. The phone is yellow with a blue padded border and a yellow ball-shaped antenna. A label on these toys reads Soft Songs Baby Phone 39100. Writing on the phone includes VTECH and Little Smart Soft Songs Baby Phone. Wal-mart stores nationwide sold the toy phones from January 2000 through May 2000 for about $10. Consumers should immediately take these toy phones away from children. For more information, contact VTech at (800) 521-2010 between 9:00 a.m. and 5:00 p.m. CT Monday through Friday FOR A REPLACEMENT PHONE or visit their web site at www.vtechkids.com/html2/recall.html.",00127,https://www.cpsc.gov/Recalls/2000/CPSC-Vtech-Industries-Announce-Recall-of-Toy-Baby-Phone
"Toy Phones Recalled for Choking Hazard",5/2/2006 ,"The recalled toy phone is made of wood. It has push buttons with black numbers, and has a black rubber antenna. The toy phone sits in a wooden caddy. The caddy has TELEPHONE printed on it.",06152,https://www.cpsc.gov/Recalls/2006/Toy-Phones-Recalled-for-Choking-Hazard
"Evenflo Recalls Telephone Toys Due to Choking Hazard",7/16/2009 ,"The recall involves Evenflo Switch-A-Roo telephone toys made between October 2008 and June 2009. The model number is 6391911.",09275,https://www.cpsc.gov/Recalls/2009/Evenflo-Recalls-Telephone-Toys-Due-to-Choking-Hazard
"Toy Telephone Sets Recalled by Montgomery Ward",1/9/1979 ,"Toy Telephone Sets Recalled by Montgomery Ward NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE November 9, 1979 Release # 79-064 Montgomery Ward Recalls 20,000 Toy Telephone Sets WASHINGTON, D.C. (Nov. 9) -- Montgomery Ward is recalling approximately 20,000 toy telephone sets offered for sale through its mail-order catalog, the U.S. Consumer Product Safety Commission today announced. The phone sets were imported from Yugoslavia and are very similar to the toy telephones recalled last month by another U.S. firm. The sets include two battery-operated toy telephones connected by means of a detachable cord. The two-prong plugs at each end of the cord so closely resemble genuine electrical plugs that children may try to force them into household sockets, thereby receiving severe shocks or burns. While Montgomery Ward has received no consumer complaints of injuries from the cords, CPSC staff reports that an 8-year-old girl was burned earlier this year when she forced a plug from a similar phone set (which was distributed by another company) into a wall electrical outlet. The sets are ivory in color, and are equipped with functional intercoms, signal lights and buzzers. The name Mehanotehnika is printed on the bottom of each phone. The sets have been sold through Ward's catalogs since 1975. They are advertised in the current Christmas catalog as a Desk Phone Set, number 48T20192, at a retail price of $9.96. Consumers ordering the toy phones are being informed that such orders are not being filled until the company can equip the phone sets with cords and plugs which are safe. Consumers should return the toy to any Montgomery Ward catalog store for a full refund.",79064,https://www.cpsc.gov/Recalls/1979/Montgomery-Ward-Recalls-20000-Toy-Telephone-Sets
"Kid's Phone Beeper Combo Recalled by Dolgencorp",11/13/1996 ,"Kid's Phone Beeper Combo Recalled by Dolgencorp NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Firm is out of business. FOR IMMEDIATE RELEASE CONTACT: Nychelle White Originally issued November 13, 1996; Revised July 10, 2001 (301) 504-7063 Release # 97-021 CPSC, Dolgencorp Inc. Announce Recall of Toy Telephones WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), the Dolgencorp Inc. of Scottsville, Ky., is recalling 73,300 Kid's Phone Beeper Combo toys. The toy's telephone antenna and pieces of plastic from around the base of the antenna can break off, presenting a choking hazard to children under age 3. CPSC and Dolgencorp Inc. are not aware of any injuries involving these toy telephones. The recall is being conducted to prevent the possibility of injury. The toy (item number 63305/7-S) consists of a plastic cellular telephone and a beeper packaged together. The telephone, measuring 6 inches high by 2.5 inches wide, is made of yellow and white plastic with a red colored plastic flip-down bottom and blue trim. The beeper, made of white plastic with yellow, red, and blue trim, measures 3.5 inches by 2.5 inches. Push buttons on both cause flashing lights, making either telephone or beeper sounds. The toy telephone and beeper are packaged together in a cardboard box labeled in part, KID'S PHONE BEEPER COMBO...ITEM NO. 63305/7-S. Dolgencorp distributed the toys in Dollar General stores in the central part of the country from mid-August to mid-September 1996 for $5 retail. Consumers should take the toy telephones away from young children immediately and discard or destroy them, or if possible, return them to their nearest Dollar General store for a full refund. However, the firm, Dolgencorp Inc., is out of business and cannot be contacted. CPSC learned of this problem during joint surveillance with the U.S. Customs Service.",97021,https://www.cpsc.gov/Recalls/1997/CPSC-Dolgencorp-Inc-Announce-Recall-of-Toy-Telephones
"Toy Public Telephone Recalled By Goldwell International",5/9/1990 ,"May 9, 1990 Release # 90-094 Toy Public Telephone Recalled By Goldwell International WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Goldwell International, Inc., Los Angeles, CA is voluntarily recalling 13,583 Public Telephone toys because of small parts (coins and push buttons) that could pose a fatal choking hazard to young children. The plastic toy telephone, Model #WM-3922, is constructed to resemble a coin-operated pay telephone with a gold dial on the front and a receiver on the side. A coin return lever is located on the front left side. A cord is attached to the top so that the unit can be hung on a wall. In the middle of the dial is a picture of a telephone receiver and the word HELLO. There are three coin slots at the top indicating 25, 10 and 5 cents. There are three multi-colored push buttons located in the lower front which activate a squeaker. The toy comes with plastic coins in a variety of sizes and colors. Embossed on the back of the unit are the words MADE IN KOREA. The Public Telephones were sold nationwide since March 1989 for $9.99. The box was age labeled for children under three years. Neither the CPSC nor the company is aware of any injuries involving this product. This voluntary recall is being conducted to prevent the possibility of injury. Consumers are urged to take these toys away from young children immediately and return them to the store where purchased for a refund of the purchase price. Consumers may also mail the product to Goldwell International, Inc., 2433 Hunter Street, Los Angeles, CA 90021 for a refund of the purchase price plus postage. Consumers with additional questions about this recall may contact Goldwell International, Inc. at (213) 622-3734",90094,https://www.cpsc.gov/Recalls/1990/Toy-Public-Telephone-Recalled-By-Goldwell-International
"Toy Mobile Phones Recalled for Choking Hazard",2/28/2006 ,"My First Mobile phone is a red and blue flip style mobile phone with a yellow bear on the cover and a yellow hard plastic antenna. Inside the flip phone are five round orange numeric buttons, as well as a sun button. The phone sounds with various ring tones when the buttons are depressed. On the inside top cover on the phone is a mirror and a spinning star with a lady bug button. Made in China is printed on the back of the battery cover.",06099,https://www.cpsc.gov/Recalls/2006/Toy-Mobile-Phones-Recalled-for-Choking-Hazard
"Handi-Craft Company Recalls Three Toys",11/16/1992 ,"NOVEMBER 16, 1992 Release # 93-018 PRODUCT: Three toy telephones distributed by Handi-Craft Co. : - Thin Line Play Phone, Model 985, sold from August 1991 through April 1992; - Talking Touch Tinkle Phone, Model 3235, sold from January 1992 through April 1992; and - 911 Emergency Phone Center, Model 3675, sold from June 1991 through April 1992. PROBLEM: Small components separated from the toys during CPSC testing, presenting a potential aspiration and choking hazard for young children. WHAT TO DO: Return the toy to place of purchase (for a replacement with a Handi-Craft toy telephone of equal value). For more information about this recall, consumers may call Handi-Craft (collect) at (314) 773-2979; consumers should ask for Norm Stewart. WASHINGTON, DC -- CPSC, Handi-Craft Company of St. Louis, MO, is voluntarily recalling a limited number of Thin Line Play Phones, Talking Touch Tinkle Phones, and 911 Emergency Phone Centers because small components separated from the toys during CPSC testing, presenting a potential aspiration and choking hazard for young children. The Thin Line Play Phones Model 985, which are subject to this recall, were sold from August 1991 through April 1992. These 51,000 phones were sold in retail stores nationwide for $5.00 to $10.00 each. The Thin Line Play Phone has 12 push buttons in the receiver. When the buttons are pushed, a bell rings. The phone comes in three colors: red, yellow and green, and measures 2-1/2 inches wide, eight inches long and two inches high. The phone also has a safety breakaway cord that comes apart when pulled. The label on the package reads, in part: Thin Line Phone, Handi-Craft Company, St. Louis, MO 63116 ... MADE IN THE U.S.A. Some plastic posts used to secure the cardboard bottom to the base of the phone came off during CPSC testing. These components present a potential aspiration hazard to young children. Thin Line Play Phones Model 985A, sold after April 1992, have not been recalled and present no such potential hazard. The Talking Touch Tinkle Phones, Model 3235, which are subject to this recall, were sold from January 1992 through April 1992. These 36,865 phones were sold in retail stores nationwide for $5.00 to $10.00 each. The Talking Touch Tinkle Phone is a talking battery-operated phone that measures eight inches long, 3-1/2 inches wide, and three inches high. The features of the phone include: 10 push buttons on the face of the phone that ring a bell when pushed, a safety breakaway cord that comes apart when pulled, and a receiver button that causes one of 10 different recorded messages to play when pushed. The label on the package reads in part: Touch Tinkle Talking Play Phone, 10 Recorded Messages . . . MADE IN THE U.S.A. Some plastic posts used to secure the plastic bottom to the base of the phone, as well as the push buttons came off during CPSC testing. These components present a potential aspiration and choking hazard to young children. Talking Touch Tinkle Phones Model 3235A, sold after April 1992, have not been recalled and present no such potential hazard. The 911 Emergency Phone Centers, Model 3675, which are subject to this recall, were sold from June 1991 through April 1992. These 3,600 phones were sold in retail stores nationwide for $10.00 to $15.00 each. This is a battery-operated talking phone emergency center with three vehicles, an ambulance, fire truck, and police car. On three sides of the center are push button release doors that are labeled with the names of each stored vehicle. The center measures 8-3/4 inches long, 6-1/4 inches high, and five inches wide. The center consists of a red roof, 12 push buttons and a yellow phone receiver with a safety breakaway cord that comes apart when pulled. When any of the buttons are pushed, one of 10 different recorded messages play. The label on each package reads in part: 911 Emergency Phone Center, Handi-Craft Company, St. Louis, MO . . . 10 recorded messages. 3 emergency vehicles included. Some hinge pins and latches used to secure and close the vehicle doors came off during CPSC testing. These components present a potential aspiration and choking hazard to young children. The 911 Emergency Phone Centers Model 3675A, sold after April 1992, have not been recalled and present no such potential hazard. Consumers are urged to take these recalled toys away from young children immediately and return them to the store where purchased for a replacement with a Handi-Craft toy telephone of equal value. For more information about this recall, consumers may call Handi-Craft collect at (314) 773-2979 and ask for Norm Stewart. Neither CPSC nor Handi-Craft is aware of any injuries involving these toys. The potentially hazardous toys were identified by CPSC during an inspection of the firm. CPSC is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.5 million injuries and 21,600 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",93018,https://www.cpsc.gov/Recalls/1993/Handi-Craft-Company-Recalls-Three-Toys
"Battat Inc. Recalls Parents Magazine Toy Cell Phones for Choking Hazard",5/3/2007 ,"The toy cell phone plays different songs, sound effects and user recorded messages. They were sold in polka dot, swirl, floral and stripe patterns, and the Parents® logo is visible inside the flip-top and on the battery compartment cover. Only items bearing date codes 090106 through 101206 are involved in this recall. The date code can be located on the bottom of the product packaging and in the battery compartment.",07178,https://www.cpsc.gov/Recalls/2007/Battat-Inc-Recalls-Parents-Magazine-Toy-Cell-Phones-for-Choking-Hazard
