Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Fisher-Price Recalls Geo Trax Locomotive Toys Due To Violation of Lead Paint Standard",9/4/2007 ,"The recall involves the Geo Trax Freightway Transport and Geo Trax Special Track Pack locomotive toys. These toys are red with yellow paint on the ladder and horn details. The recalled models were manufactured between July 31, 2006 and August 20, 2007 and have a date code between 212-6CK and 325-6CK or 001-7CK and 232-7CK, marked on the bottom of the product. The packaging on the Freightway Transport model is marked H5705 and the packaging on the Special Track Pack model is marked K3013.",07302,https://www.cpsc.gov/Recalls/2007/Fisher-Price-Recalls-Geo-Trax-Locomotive-Toys-Due-To-Violation-of-Lead-Paint-Standard
"Toy Train Recalled By Merchandisers Association",7/13/1988 ,"Toy Train Recalled By Merchandisers Association NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 13, 1988 Release # 88-53 Toy Train Recalled WASHINGTON, D.C. See-Thru Loco a toy engine whose small parts may break off and present a choking hazard, is being voluntarily recalled Consumer Product Safety Commission and Merchandisers Association Inc. Neither CPSC nor the manufacturer is aware of any injuries or complaints associated with the See Thru Loco. The engine, 11 inches long and 8 inches high, is cover by a clear plastic housing which contains yellow, green, and orange gears. The following information is found on the bottom of the toy: 1982 PLAYWORLD TOYS LTD. *** MADE IN HONG KONG *** NO. 7980. Approximately 1800 of the toys were sold in 1987 in New York, Maryland, North Carolina and Pennsylvania. Consumers should immediately remove store where purchased for a full refund or exchange. The See-Thru Loco was identified in port of Newark during Operation Toyland, a cooperative program between U.S. Customs and the CPSC to inspect imported toys for potential safety problems. Even though the box the toy comes in is labeled Ages three and up, the CPSC has determined that this toy is intended for children under three years of age and must not have small parts.",88053,https://www.cpsc.gov/Recalls/1988/Toy-Train-Recalled
"Toy Train & Music Box Recalled by Enesco Imports",3/24/1987 ,"Toy Train & Music Box Recalled by Enesco Imports NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE March 24, 1987 Release # 87-020 Toy Train & Music Box Recalled because of Lead in the Paint WASHINGTON, DC -- In cooperation with the Consumer Product Safety Commission, Enesco Imports Corporation, Elk Grove Village, Illinois today announced the recall of a Wood Toy Train and Toy Chest Music Box because of excess lead in the paint on these items. The wood Toy Train and Toy Chest Music Box were tested for lead in the paint by the State of Ohio Department of Public Health as part of a cooperative program with the Consumer Product Safety Commission. Testing indicated that the paint on the Wood Toy Train contained 1.5% lead, and the paint on the Toy Chest Music Box contained 3.0% lead. CPSC safety requirements limit the amount of lead in paint to no more than 0.06%. The Wood Train, Item #300403, consists of a locomotive and two cars. The train is approximately 10 l/2 long and is painted green, blue, red, yellow, gold and white and is sold in a red box labeled in part ENESCO Wood Toy Train, Taiwan, R.O.C. . The Toy Chest Music Box, Item A315427, is a music box with a drum shaped base with a boy on top opening a toy chest. The unit is approximately 6 in diameter and 6 high and is painted various colors. It is sold in a red box labeled in part ENESCO, Boy Opening Toy Box Action Musical, Taiwan, R.O.C. Approximately 900 of the Wood Trains and 900 of the Toy Chest. Music Boxes have been sold nationwide since 1986. Neither the Consumer Product Safety Commission nor Enesco have received any reports of lead poisoning from either of these toys. Consumers should stop using these items and discard them or return them to the retailer where purchased for a full refund. Retailers should remove both items from sale immediately and return them to Enesco Imports Corporation, One Enesco Plaza, Elk Grove Village, Illinois 60007. Anyone wishing additional information may contact Enesco Imports Corporation at 312-640-5200.",87020,https://www.cpsc.gov/Recalls/1987/Toy-Train--Music-Box-Recalled-because-of-Lead-in-the-Paint
"Crib Toys Recalled by Durham Industries",7/13/1983 ,"Crib Toys Recalled by Durham Industries NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 13, 1983 Release # 83-042 Durham Industries Mickey Mouse Musical Crib Train Toy Recalled Washington, D.C. -- In cooperation with the Consumer Product Safety Commission, Durham Industries, Inc. New York, NY, today announced a voluntary recall of approximately 6,200 Mickey Mouse Musical Crib Train Toys, Model 5340/5342, because small parts may break off this toy if it is dropped. These small parts may present a choking, aspiration, or swallowing hazard. CPSC safety standards specify that toys for children under three (3) must not have such small parts. Since June, 1982, approximately 6,200 of these toys have been sold through Toys-R-Us Stores in the East Coast, West Coast, Midwest, and Florida, for $13 to $15 each. The CPSC is not aware of any reports of injuries involving this toy. The toy is a pink plastic train engine with blue wheels and smokestack. It is 7 l/2 inches long by 3 l/2 inches wide by 7 l/2 inches high. There is a Mickey Mouse face on the front of the train. The toy is designed to be fastened on to the rail of a baby crib. When the smokestack is 'wound up' ,the train moves along the crib rail and plays music. The train may also be used as a floor toy. The following label is molded on the right side of the train engine: DURHAM INDUSTRIES, INC., MCMLXXXII NEW YORK, N.Y. 10010, ITEM NO. 5340/5342 MADE IN HONG KONG. Consumers should remove these toys from use immediately and return them to the retailer where purchased for a full refund. For further information, consumers may call Durham Industries (212-679-2222), or the Consumer Product Safety Commission's toll-free Hotline on 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",83042,https://www.cpsc.gov/Recalls/1983/Durham-Industries-Mickey-Mouse-Musical-Crib-Train-Toy-Recalled
"Toy Trains Recalled by Janex",11/18/1983 ,"Toy Trains Recalled by Janex NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE November 18, 1983 Release # 83-058 Janex Toy Train Engine Presents Hazards To Infants And Small Children Washington, D.C.--The U.S. Consumer Product Safety Commission and Janex Corporation, 19 Wardell Circle, Oceanport, New Jersey, today announced that a musical action crib and pull toy, the Musical Rock-A- Bye Railroad, No. 2010, distributed by the firm, may present choking, aspiration and ingestion hazards because of small parts which can break off. Janex has agreed to provide redesigned toys to consumers as replacements for the No. 2010, to provide a credit for retailers and wholesalers who destroy the product, and to give notice of the hazards. The agreement settles an administrative complaint filed against the firm on August 31, 1983. This toy is a plastic train engine which can be clamped on the rail of the crib or used as a pull toy outside the crib. When the 'smokestack' is wound up, the toy plays music and the rear wheels turn. The train engine is made of blue plastic with pink and white wheels, a red and white smokestack, and a yellow bell. Yellow decals with red printing on each side of the train engine say Musical ROCK-A-BYE RAILROAD. The toy train engine is approximately 7 l/2 inches high by 7 l/2 inches long and 3 3/4 inches wide. When the Commission tested this toy according to safety requirements for toys, several components including the ball broke off. The Commission staff believes this is a violation of the CPSC Small Parts Requirement which bans small parts in toys intended for children under three years of age. The staff believes the components are small enough to be choking, aspiration, and ingestion hazards to infants and young children. These particular toys have not been involved in any incidents known to the CPSC. The Janex Corporation distributed 50,000 of these toys from April through October 1982. The Rock-A-Bye Railroad sold for approximately $9.97. Consumers should remove these toys from use immediately and contact the company or the retail store where they purchased the toy to obtain a replacement. Retailers and distributors should contact the company as soon as possible to arrange for the destruction of and a credit for products on hand and returned. Only Model.2010 with the yellow bell is involved in this action. Model 2010-A, without the bell, has been redesigned and should not be returned. For further information, consumers may call Janex Corporation at 201-229-8482, or the CPSC's toll-free Hotline at 800-638-CPSC. The teletypewriter number for the hearing impaired is (301) 595-7054.",83058,https://www.cpsc.gov/Recalls/1983/Janex-Toy-Train-Engine-Presents-Hazards-To-Infants-And-Small-Children
"Chadwick-Miller, Inc. Recalls Toy Train Due To Choking Hazard",3/18/1991 ,"March 18, 1991 Release # 91-047 WASHINGTON, DC -- Chadwick-Miller, Inc. of Canton, MA voluntarily recalled approximately 14,000 Toy Soldier Train toys #96774 because various wooden components separate from the toy and are a fatal choking hazard to young children. This recall was conducted in cooperation with the U.S. Consumer Product Safety Commission (CPSC). The wooden train toy is a set of 30 two and one-quarter- inch painted soldiers, one unpainted steam locomotive with four red wheels, a twenty-eight inch blue pull cord, three unpainted flat bed cars with twelve pegs each for mounting the soldiers, and six blocks with multiplication signs painted in red. The set is contained in a brown cardboard box labeled, Chadwick Set of 30 Wooden Toy Soldiers with train...Made in China. The toys were distributed nationwide from 1986 to 1989. The retail price ranged from $9.98 to $12.98 each. Neither the CPSC nor the company is aware of any injuries involving this product. This voluntary recall is being conducted to prevent any possibility of injury. Consumers are urged to take these toys away from young children and destroy the product. As the firm is out of business, a remedy is no longer available.The hazardous toys were discovered by a CPSC employee who received gift catalogs in the mail",91047,https://www.cpsc.gov/Recalls/1991/Chadwick-Miller-Inc-Recalls-Toy-Train-Due-To-Choking-Hazard
"Electric Toy Train Transformers Recalled by Reeves",3/4/1977 ,"Electric Toy Train Transformers Recalled by Reeves NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE March 4, 1977 Release # 77-019 CPSC Announces Toy Recall WASHINGTON, D.C. (Mar. 4) -- The U.S. Consumer Product Safety Commission (CPSC) today announced the recall of three electric toy train transformers which fail to comply with Federal regulations for electrically-operated toys and are, therefore, banned from sale. The recalled items, all distributed by Reeves International, Pequannock, New Jersey, are Marklin Mini-Club Transformer Model #6727, Marklin Transformer - Model #6153, and Marklin Transformer - Model #6667. Model numbers 6727 and 6153 contain improperly soldered connections and model number 6667 fail the appropriate impact test required by the Federal Hazardous Substances Act (FHSA). No injuries associated with these toys have been reported to the Commission. All three transformers are constructed of blue plastic; model #6727 has a metal plate reading in part Warklin Mini-Club in red letters; model #6153 is labeled in red letters Marklin; and model #6667 contains a metal plate reading Toy Transformer #6667 Marklin. Model numbers 6153 and 6667 are packaged in a blue cardboard box labeled Warklin -- Caution Electric Toy. Model #6727 is packaged in a brown wood grain cardboard box labeled Marklin Mini-Club. The toys were distributed nationwide to hobby and toy stores. Model #6727 retailed for $51.95, model #6153 retailed for $53.95, and model #6667 for $39.95. In total, 435 units are being recalled. Electric toys are subject to regulation under the PHSA which requires banned products to be repurchased by the manufacturer, distributor and dealer. Reeves International, in compliance with the PI-ISA regulations, is asking consumers to return the toy to the place of purchase or directly to the distributor -- Reeves International, 14 Industrial Park, Pequannock, New Jersey 07440, telephone 201/694-5006 -- for a full refund. The Commission learned of this product as the result of a nationwide electric toy survey it conducted late last year. The Commission's New York Area Office is monitoring the recall.",77019,https://www.cpsc.gov/Recalls/1977/CPSC-Announces-Toy-Recall
"Smurf Musical Crib Train Toys Recalled by Durham",2/3/1984 ,"Smurf Musical Crib Train Toys Recalled by Durham NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE February 3, 1984 Release # 84-009 Durham Industries Smurf Musical Crib Train Toy Recalled Because Of Choking Hazard. Washington, DC-- In cooperation with the U.S. Consumer Product Safety Commission, Durham Industries, Inc., New York, New York, today announced a voluntary recall of approximately 4,300 Smurf Musical Crib Train toys, Model 5340/5342, because small parts may break off this toy if it is dropped. These small parts may present a choking, aspiration, or swallowing hazard. CPSC safety standards specify that toys for children under three (3) must not have such small parts. Since 1982, approximately 4,300 of these toys have been sold through Toys-R-Us stores in the East Coast, Midwest, West Coast, and Florida for $13 to $15 each. The CPSC has received one report of an infant choking on a small parts from this toy. The child was not injured and required no medical attention. The toy is a light blue plastic train engine with yellow wheels and smokestack. It is 7 l/2 inches long by 3 l/2 inches wide by 7 l/2 inches high. There is a Smurf face on the front of the train. This toy is designed to be fastened on to the rail of a baby crib. When the smokestack is 'wound up', the train moves along the crib rail and plays music. The train may also be used as a floor toy. The following label is molded on the right side of the train engine: DURHAM INDUSTRIES, INC., MCMLXXXII NEW YORK, N.Y. 10010, ITEN NO. 5340/5342 MADE IN HONG KONG. Consumers should remove these products from use immediately and return them to the retailer where purchased for a full refund. For further information, consumers may call Durham Industries, 212-679-2282, or the CPSC toll-free Hotline at 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",84009,https://www.cpsc.gov/Recalls/1984/Durham-Industries-Smurf-Musical-Crib-Train-Toy-Recalled-Because-Of-Choking-Hazard
"Lionel Leisure, Inc. Recalling Snoopy Wind-Up Train Because Of Small Parts",5/16/1989 ,"May 16, 1989 Release # 89-039 Lionel Leisure, Inc. Recalling Snoopy Wind-Up Train Because Of Small Parts WASHINGTON, D.C. -- Snoopy Wind-Up Train toy is being recalled by Lionel Leisure, Inc., Philadelphia, PA. because the toy breaks apart on impact, creating small parts which could cause choking in young children.The recalled toy, Model No. 711, is a 12-inch-long red and white plastic wind-up train with decorative Snoopy figures. Neither the U.S. Consumer Product Safety Commission nor Lionel Leisure, Inc. is aware of any injuries associated with this product.Consumers should take the toy away from young children immediately and return it to the store where purchased for a refund or exchange.Consumers who have any questions about this recall should call Lionel Leisure directly at 215-671-3800",89039,https://www.cpsc.gov/Recalls/1989/Lionel-Leisure-Inc-Recalling-Snoopy-Wind-Up-Train-Because-Of-Small-Parts
