Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Toy Vehicles Recalled by Supreme Toys",2/8/2001 ,"Toy Vehicles Recalled by Supreme Toys NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE February 8, 2001 Release # 01-080 Supreme Toys Recall Hotline: (800) 567-1774 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Ken Giles, (301) 504-7052 CPSC, Supreme Toys Announce Recall of Toy Vehicles WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Supreme Toys (H.K) Ltd., of Hong Kong, is recalling about 290,000 toy vehicles. Small parts can break off of the toy vehicles, posing a choking hazard to young children. Supreme Toys has not received any reports of small parts breaking off the toy vehicles. The recalled vehicles are airplanes, cars, dump trucks, trains and fire engines sold under the PLAYGO brand name. They are made of multicolored plastic with red, blue, green and yellow parts. Each vehicle has a battery-operated, detachable remote control with a 40-inch cord. Enclosed in the cab of each vehicle are small multicolor balls about 1/4 inch in diameter. A label on the vehicles and the remote reads PLAYGO. The words, PLAYGO LTD (HONG KONG) MADE IN CHINA are imprinted on the bottom of each toy. Drug, grocery, variety stores, and discount department stores, including Wal-Mart, sold these toys from June 1995 through December 1998 for about $5. Consumers should take these toy vehicles away from children immediately. Consumers should cut the remote control cord off the toy, discard the vehicle, and mail just the cord to Supreme at 8348 C, Olive Road, St. Louis, MO 63132 for a $5 refund plus the cost of postage. For more information, call Supreme Toys toll free at (800) 567-1774 Monday through Friday between 9 a.m. and 5 p.m. CT.",01080,https://www.cpsc.gov/Recalls/2001/CPSC-Supreme-Toys-Announce-Recall-of-Toy-Vehicles
"CPSC, FAO Schwarz Inc. Announce Recall of Fire Engine Pull-Along Toys",3/4/2004 ,"These fire engine pull-along toys are red with a yellow ladder, and are made of wood. They are about 18 inches long and come with six toy firemen. Fire Dept. is written on the sides of the toy.",04095,https://www.cpsc.gov/Recalls/2004/CPSC-FAO-Schwarz-Inc-Announce-Recall-of-Fire-Engine-Pull-Along-Toys-
"Fire Company Toy Recalled by Larami Fire Company",7/27/1989 ,"Fire Company Toy Recalled by Larami Fire Company NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 27, 1989 Release # 89-074 Commission Announces Larami Fire Company Recall WASHINGTON, DC -- The Consumer Product Safety Commission warns consumers of a hazardous toy called Fire Company, Item No. 1134-0 imported by Larami Corporation of Philadelphia, Pennsylvania.- The toy contains small parts that present a choking hazard to small children. The firm imported approximately 24,000 of these toys from September 1987 to September 1988. The Fire Company toy consists of a small red plastic fire truck, a red hook and ladder truck with a moveable white ladder, two plastic firemen dressed in black and one plastic street railroad sign. These items were mounted on a colorful display card, and were sold at retail for approximately $1 to $2. The words MADE IN HONG KONG appear on the bottom of all the pieces except the street railroad sign. The display card says Fire Company in large red letters at the top, and 11LARAMI11 and the item number in black letters at the bottom. Plastic pieces of the toys, such as the wheels, may come off during ordinary use and could present a choking hazard to young children. Larami has recalled these toys from retailers and has asked retailers to post recall notices to inform purchasers about the recall. Consumers should either throw away these toys, or if they want a refund, they should return the toy to the store where it was purchased. U.S. customs Service identified the potentially hazardous toys at the Port of Philadelphia during the joint surveillance program conducted with the U.S. Consumer Product Safety Commission.",89074,https://www.cpsc.gov/Recalls/1989/Commission-Announces-Larami-Fire-Company-Recall
"Wooden Toy Truck Recall by Division Sales",4/17/1997 ,"Wooden Toy Truck Recall by Division Sales NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE CONTACT: Nychelle White April 17, 1997 (301) 504-7063 Release # 97-104 CPSC and Division Sales Inc. Announce Wooden Toy Truck Recall WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Division Sales Inc. of Itasca, Ill., is recalling about 6,300 wooden toy trucks. The toy trucks have wooden balls and figures in the cab that are a small parts choking hazard to young children. CPSC and Division Sales Inc. are not aware of any injuries involving these toys. This recall is being conducted to prevent the possibility of injury. The natural wood toy truck, measuring 12 inches long and 4 inches high, has six easy moving red wheels, two red headlights, and a 14-inch red pull cord. There are 16 blue, green, red, and yellow alphabet blocks with two green and blue balls in the truck. Two figures sit in the cab of the truck. The toy is packaged in a box labeled in part, WOOD BLOCKS &TRUCK...MADE IN CHINA...FOR JUSTEN PRODUCTS... Dollar-type, discount, hardware, thrift, and drug stores nationwide sold the toys from October 1993 through November 1996 for about $1 to $5. Consumers should take the recalled toys away from young children immediately and return them to the store where purchased for a full refund. For more information, consumers can call Division Sales Inc. at (800) 621-8134.",97104,https://www.cpsc.gov/Recalls/1997/CPSC-and-Division-Sales-Inc-Announce-Wooden-Toy-Truck-Recall
"Wooden Toy Fire Trucks Recalled by Marlon",11/6/1986 ,"Wooden Toy Fire Trucks Recalled by Marlon NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE November 6, 1986 Release # 86-068 Wooden Toy Fire Trucks Recalled Because Of Choking Hazard Washington, DC -- In cooperation with the U.S. Consumer Product Safety Commission, Marlon Creations, Inc., of Long Island City, New York is recalling 430 toy Fire Trucks with Four Firemen-Hardwood Utility Truck Model 5044 imported from West Germany and sold nationwide between May 1986 and July 1986 for approximately $6.00 each. Tests conducted by CPSC showed that the firemen figures, which detach from the truck, are small parts and present a choking hazard. To meet CPSC toy safety requirements, toys intended f or children younger than 3 must not have any small parts. The 5 1/2-inch long wooden fire truck is painted red and has a blue knob on the top of the cab, an unpainted ladder and six red wheels. The two-inch tall firemen are painted blue. The fire truck is package in a clear plastic bag with a cardboard header labeled, Quality Wooden Toys made in West Germany. There is no labeling on the toy. Although the CPSC and Marlon have not received reports of any injuries involving this toy, consumers should take these toys away from children immediately. Consumers may return the toy-for a full refund to the retail store where they were purchased or to Marlon Creations, Inc., 35-01 36th Avenue, Long Island City, New York 11106. Anyone wishing additional information may call Marlon at 718-361-2088 or CPSC's toll-free hotline number at 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",86068,https://www.cpsc.gov/Recalls/1986/Wooden-Toy-Fire-Trucks-Recalled-Because-Of-Choking-Hazard
"Big Save International Corp. Recalls Toy Play Tool Truck",12/1/1994 ,"December 1, 1994 Release # 95-034 WASHINGTON, D.C. - CPSC, Big Save International Corp., of Los Angeles, Calif., is voluntarily recalling about 1,000 toy trucks.The toy truck was identified during a joint CPSC and U.S. Customs surveillance at the port of Long Beach, Calif. CPSC testing found that the toy contained small parts that present a potential choking hazards to young children.The multicolored plastic truck is approximately 8 inches long with a removable drive and passenger seat set. The truck is equipped with a plastic hammer, screw driver, and wrench and plastic screws, bolts, and nails. A decal on each side of the truck reads, Play Tool Truck. The underside of the truck is embossed with No. 3009 and Made in China. The truck is packaged in a cardboard container labeled in part, ... Educational Play Tool Truck... NO. 3009... MADE IN CHINA. The toy was imported from China and sold in Indiana and Alabama from August 1994 to November 1994 at independent toy and retail stores for $3.95. The toy should be taken away from young children immediately and destroyed, discarded, or if possible, returned to the store where purchased for a full refund. However, the firm, Big Save International Corp., is out of business and cannot be contacted.Neither CPSC nor Big Save International Corp. is aware of any injuries involving these toys; this recall is being conducted to prevent the possibility of injury",95034,https://www.cpsc.gov/Recalls/1995/Big-Save-International-Corp-Recalls-Toy-Play-Tool-Truck
"Engineering Truck Recalled by Christmas Tree Shops",8/1/1996 ,"Engineering Truck Recalled by Christmas Tree Shops NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE CONTACT: Nychelle White August 1, 1996 (301) 504-7063 Release # 96-179 CPSC and Christmas Tree Shops Announce Toy Truck Recall WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Christmas Tree Shops Inc. of South Yarmouth, Mass., is voluntarily recalling about 12,000 toy Engineering Trucks. The toys contain small parts, such as the driver figure in the truck's front cab, which may break off during use presenting a potential choking hazard to young children. CPSC is not aware of any injuries involving this toy. This recall is being conducted to prevent the possibility of injury. The State of Connecticut identified the small parts hazard. The wooden Engineering Truck toys (Item 00011-34416) measure approximately 6 inches long and 2 inches wide. Each truck has a front cab section with a small, peg-shaped driver figure which measures approximately 1.5 inches high. The truck's flat bed body features a hauler, a cement mixer, an asphalt roller, a crane, or an extension ladder. The truck has no labeling. The trucks were packaged in small blue and white cardboard boxes featuring photographs of the toys. Labeling on the box reads in part, ENGINEERING TRUCK EDUCATIONAL TOY... MADE IN CHINA. The box also includes the SKU number 000011 34416 2. Christmas Tree Shops in New England sold the Engineering Truck toys from April 1994 through March 1996 for $1 each. Consumers should take the truck away from young children immediately and return the toy either to the store where purchased or the nearest Christmas Tree Shop. For more information about this recall consumers should call Christmas Tree Shop at (800) 876-9677.",96179,https://www.cpsc.gov/Recalls/1996/CPSC-and-Christmas-Tree-Shops-Announce-Toy-Truck-Recall
"CPSC, Nikko America Announce Recall of Radio-Control Toy Trucks",4/13/2004 ,"The recalled toy trucks were manufactured from April 2003 through January 2004. The trucks are 1/10 scale models (approximately 18 inches in length) of the Chevy Avalanche (model 100021A), the Jeep Wrangler Rubicon (model 100022A and 100022B), the Hummer Wagon (model 100023A and 100023B) and the Ford F150 (model 100024A and 100024B). Model numbers can be found on the body of the truck, along with the vehicle make and model names.",04117,https://www.cpsc.gov/Recalls/2004/CPSC-Nikko-America-Announce-Recall-of-Radio-Control-Toy-Trucks-
"Everything's A Dollar, Inc. Recalls Toy Wooden Block Truck Due To Choking Hazard",7/13/1992 ,"July 13, 1992 Release # 92-109 Everything's A Dollar, Inc. Recalls Toy Wooden Block Truck Due To Choking Hazard PRODUCT: Toy Wooden Block Trucks, item GW-25 sold by Everything's A Dollar, Inc. PROBLEM: The wooden head of the driver and a white 5/8-inch diameter cylinder block are a potential choking hazard for young children. WHAT TO DO: Return the toy truck to any Everything's A Dollar store for a full refund. WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Everything's A Dollar, Inc., of Milwaukee, WI is voluntarily recalling 10,944 Toy Wooden Block Trucks, item GW-25. When CPSC tested the Toy Wooden Block Trucks in accordance with regulations under the Federal Hazardous Substances Act, it was determined that the wooden head of the driver and a white 5/8-inch diameter cylinder block posed a potential choking hazard for young children. The Toy Wooden Block Truck is a simple, undetailed wooden truck measuring 4-3/4 inches long, 2-3/4 inches wide, and 2-1/2 inches high. The truck consists of a peg figure glued into the driver's seat and an open-lift bed with three colored removable building blocks. The clear cellophane wrapping in which the toy was sold had a label on it that read, MADE IN CHINA. The Toy Wooden Block Truck was sold on the East Coast and in the Midwest exclusively at 49 Everything's A Dollar retail stores from September 1991 to January 1992. The trucks sold for a retail price of $1.00 each. Consumers are urged to take the trucks away from young children immediately and return them to any Everything's A Dollar store for a full refund. For more information about this recall, consumers may contact Everything's A Dollar, Inc. at 1-414-274-2938. Neither CPSC nor the company is aware of any injuries involving these products. This voluntary recall is being conducted to prevent the possibility of injury. The potentially hazardous toys were identified during CPSC's Central Regional Office's routine examination of Everything's A Dollar retail stores. CPSC is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.5 million injuries and 21,600 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",92109,https://www.cpsc.gov/Recalls/1992/Everythings-A-Dollar-Inc-Recalls-Toy-Wooden-Block-Truck-Due-To-Choking-Hazard
