Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"CPSC, Babies R Us and Playwell Announce Recall of Snail Push Toys",3/30/2004 ,"The brightly colored push toy is made of wood. The snail has moveable parts painted purple, green, yellow, or orange. The wheels have three colored balls (yellow, green and red) attached with string. The handle has a red ball on the end. The yellow and blue tag attached to the toy at point of sale states Imaginarium Baby and recommended for ages 1-3.",04109,https://www.cpsc.gov/Recalls/2004/CPSC-Babies-R-Us-and-Playwell-Announce-Recall-of-Snail-Push-Toys-
"Infantino Recalls Infant Toys Due to Choking Hazard",3/11/2009 ,"The recalled infant toys and their model numbers are listed below. Name of Toy Model Number Infantino Lil' Chef Set 158-201 and 558-201 Infantino Activity Stacker 158-202 Infantino Tag Along Chime Trio 150-3092 The model number is located on a yellow tag on the toy.",09146,https://www.cpsc.gov/Recalls/2009/Infantino-Recalls-Infant-Toys-Due-to-Choking-Hazard
"Imagine Nation Books Recalls Double Dazzler Light Show Toys Due to Burn Hazard",10/31/2012 ,"The recalled product is a silver, plastic, baton-like toy with white plastic tubes at each end that become multi-colored spinning lights when operated. The wand or stick device is 10.5 inches long and has an on button in the center hold area. The battery pack is located at the center handhold location. The package states DOUBLE DAZZLER LIGHT SHOW and Color Changing LEDs / Ages 8+ /Batteries Included.",13023,https://www.cpsc.gov/Recalls/2013/Imagine-Nation-Books-Recalls-Double-Dazzler-Light-Show-Toys-Due-to-Burn-Hazard
"CPSC, Käthe Kruse Doll Co. Announce Recall of Selecta Wooden Toys",12/15/1999 ,"Originally issued December 15, 1999, Revised July 9, 2001 Release # 00-033 Company Phone Number: (518) 273-0726 CPSC, Käthe Kruse Doll Co. Announce Recall of Selecta Wooden Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Käthe Kruse Doll Co., of Troy, N.Y., is recalling about 2,400 Selecta wooden toys. The balls included with these toys are banned because they present a serious risk of choking deaths to young children.The CPSC and Käthe Kruse Doll Co. are not aware of any injuries involving the small balls contained in these toys. This recall is being conducted to prevent possible injuries.The Selecta brand toys being recalled are theQuatrino wooden shape sorter toys, Sorting Box shape sorter toys, Favola shape sorter toys, and Kugelbahn ball chute toys. The Selecta Quatrino wooden shape sorter toy has eight sides. There are shapes cut out of the top of the toy for inserting various wooden shaped pieces, including the two small balls. Four brightly colored doors on the side of the toy slide up to open the storage area for the wooden pieces. A sticker on one side of the toy shows a bee, and with beeswax is written on the sticker it in various languages. The Selecta Sorting Box wooden shape sorter toy has four sides. There are shapes cut out of the top of the toy for inserting various wooden-shaped pieces, including two small balls. A brightly colored door on the top of the toy slides out to open the storage area for the wooden pieces, including the two small balls. A sticker on the toy reads, Selecta Spieizeug, and Made in Germany.The Selecta Favola wooden shape sorter toy resembles a medieval castle with four sides and four cylindrical turrets. There is a wooden panel near the top of the toy that opens horizontally, allowing access to shape cut-outs for inserting various wooden pieces, including two small balls. A sticker on the bottom of the toy shows a bee, and with beeswax is written in various languages. The Selecta Kugelbahn wooden ball chute is a toy consisting of a series of four chutes attached to each other in an angled position designed to allow the two small balls included with the toy to descend and sound a number of bells that are attached to the chutes along the way. The toy includes a wooden painted clown attached to the center of the top chute. The Selecta brand logo appears on the front of the base of the toy.Toy stores and web sites sold these toys from January 1997 through November 1999 for $30 to $80.Consumers should take these toys away from young children immediately, and return them to the store where purchased for a refund. Consumers who purchased the toys from a web site should contact the web site to make arrangements for returning the toys for a refund. For more information, consumers should call Käthe Kruse Doll Co. at (518) 273-0726 between 9 a.m. and 5 p.m. ET Monday through Friday",00033,https://www.cpsc.gov/Recalls/2000/CPSC-Kathe-Kruse-Doll-Co-Announce-Recall-of-Selecta-Wooden-Toys
"Discovery Toys Recall of Children's Toy",4/2/2002 ,"Discovery Toys Recall of Children's Toy Recall Alert U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 April 2, 2002 Alert #02-530 CPSC, Discovery Toys Announce Recall of Children's Toy PRODUCT: Children's maze toy -Discovery Toys of Livermore, Ca., is voluntarily recalling about 21,000 Up, Down & Around toddler maze toys, model #1612. The toy contains four-circuit flexible wires coated in blue, orange, red and yellow plastic tubes, sliding multi-colored shaped beads, and two abacuses that attach to a wooden base. The toy measures 9 1/2 inches by 8 inches by 7 inches. Four suction cups anchor the maze to most non-porous surfaces. Discovery Toys' Educational Consultants sold the recalled toy nationwide from July 2001 to January 2002. PROBLEM: The plastic tubes can break from the wooden base, releasing beads, posing a choking hazard to young children. INCIDENTS/INJURIES: Discovery Toys has received nine reports of the tubes breaking. No injuries have been reported. WHAT TO DO: Consumers should stop using the toy immediately and contact Discovery Toys to receive a free replacement. For more information, call Discovery Toys at (800) 341-8697, Monday through Friday PST 7:00 am to 3:30pm, visit the web site at www.discoverytoysinc.com, email productsupport@discoverytoys.net, or contact an educational consultant. Purchasers were sent direct mail notification of this recall.",02530,https://www.cpsc.gov/Recalls/2002/CPSC-Discovery-Toys-Announce-Recall-of-Childrens-Toy
"Bendable Dinosaur Toys Recalled by Kipp Brothers for Excessive Lead",10/11/2007 ,"The bendable dinosaur toys are about three inches long and come in brown, green or orange/green colors. While the toys were sold in boxes of 36, consumers may have received these products as a giveaway or promotional item from schools, libraries, churches, community groups, etc.",08020,https://www.cpsc.gov/Recalls/2008/Bendable-Dinosaur-Toys-Recalled-by-Kipp-Brothers-for-Excessive-Lead
"Imperial Toy Recall of Toy Feeding Sets",7/10/2001 ,"Imperial Toy Recall of Toy Feeding Sets NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 10, 2001 Release # 01-194 Imperial Toy Recall Hotline: (800) 543-6551 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Mark Ross, (301) 504-7076 CPSC, Imperial Toy Corp. Announce Recall of Toy Feeding Sets WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Imperial Toy Corp., of Los Angeles, Calif., is voluntarily recalling about 100,000 toy feeding sets. The nipple on the toy baby bottle included in these sets could come off, posing a serious choking hazard to small children. CPSC and Imperial Toy Corp. are not aware of any incidents or injuries involving these toys. This recall is being conducted to prevent the possibility of injury or death. The plastic toy feeding set includes a baby bottle, plastic dish, strainer, spoon, juicer, and, in some sets, a funnel. The plastic sets were sold in various colors including blue, yellow, pink and purple. The packaging reads, CUDDLES FEEDING SET or CUDDLES MEAL TIME. The packaging also reads, Imperial, and NO. 8327. Ben Franklin, Revco and other discount stores nationwide sold the toys from October 1995 through May 2001 for about $2. Consumers should take these recalled toys away from young children immediately, and return the toy set to the store where purchased for a refund. For more information about this recall, consumers should call Imperial Toy Corp, at (800) 543-6551 between 9 a.m. and 5 p.m. PT Monday through Friday or write to the company at 2060 E. 7th Street, Los Angeles, CA 90021.",01194,https://www.cpsc.gov/Recalls/2001/CPSC-Imperial-Toy-Corp-Announce-Recall-of-Toy-Feeding-Sets
"Ambi Jack in the Ball Toy Recalled by Five Importers",4/14/1986 ,"Ambi Jack in the Ball Toy Recalled by Five Importers NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE April 14, 1986 Release # 86-24 Five Importers Recall Ambi Jack in the Ball Toy Washington, D.C. -- In cooperation with the Consumer Product Safety Commission, the Firms of Davis-Grabowski, Inc., Miami, Florida; Small World Toys, Culver City, California; U.S. Toy Company Inc., Grandview, Missouri; Childcraft Education Corp., Edison, New Jersey; and Playspaces International, Sudbury, Massachusetts, today announced a voluntary recall of their Jack in the Ball toy. Under use and abuse testing, the button (belly button) which activates the jack could fall out, becoming a potential choking hazard for young children. CPSC safety standards specify that toys for children under three (3) years of age must not have such small parts, because they can be aspirated, choked on, or swallowed. Since January 1985, a total of approximately 20,000 Jack in the Ball toys have been distributed nationwide by the 5 distributors. The toy retails for approximately $10.00. The CPSC is not aware of any reports of injuries involving this toy. The plastic Jack in the Ball is a combination roly-poly toy and jack in the box. It is available in several different color combinations, and measures approximately 4 inches by 5 inches. The toy is packaged in a carton labeled Ambi toys Jack in the Ball E153. The manufacturer is Europlastic, Amsterdam, Holland. Consumers should remove this toy from use immediately and return it to the retailer where purchased for a full refund. Retailers should remove this toy from sale immediately and consult the appropriate importer regarding their account.",86024,https://www.cpsc.gov/Recalls/1986/Five-Importers-Recall-Ambi-Jack-in-the-Ball-Toy
"CPSC, Learning Curve Int'l Inc. Announce Recall of Lamaze Activity Toys",4/4/2003 ,"April 4, 2003Alert #03-532 CPSC, Learning Curve Int'l Inc. Announce Recall of Lamaze Activity Toys PRODUCT: Activity Toys In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Racing Champions Ertl/Learning Curve Int'l., Inc. (RCE/LCI), of Chicago, IL is voluntarily recalling approximately 3,800 children's activity toys. There are two types of activity toys involved in this recall. One toy is a flower shaped toy intended to attach to a stroller, with a green painted metal wire on which plastic beads slide along. The item is the Lamaze Flower Stroller Wrap (SKU #97222). The other toy is a floor-based toy with a foam stuffed base, a blue painted metal wire on which plastic beads and stuffed animal heads slide along. This item is the Lamaze Soft Bead Buddies (SKU #97325). Each item has a sewn-in label with the Lamaze logo on the front. These toys were sold in March 2003 through specialty and toy stores nationwide for around $19.99. PROBLEM: The paint on the metal wires of these toys contains excess levels of lead. Lead poisoning is a serious hazard to children and is associated with behavioral problems, learning disabilities, hearing problems and growth retardation.INCIDENTS/INJURIES: RCE/LCI has not received any reports of incidents or injuries involving these toys. This recall is being conducted to prevent the possibility of injury. WHAT TO DO: Consumers should immediately take these toys away from infants and young children. Consumers should contact RCE/LCI for return and replacement instructions at (800) 704-8697 between 8:00 a.m. and 5:00 p.m. CT, Monday through Friday or visit the company's web site at www.learningcurve.com.",03532,https://www.cpsc.gov/Recalls/2003/CPSC-Learning-Curve-Intl-Inc-Announce-Recall-of-Lamaze-Activity-Toys-
