Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Sassy and Carter's-branded Hug N’ Tug Baby Toys Recalled Due to Choking Hazard",12/20/2012 ,"The recalled toys for infants can be attached to a stroller or car seat using a ring connector on the toy's head. They have arms and legs that can be easily pulled back and forth for play. The toys are approximately 12 inches tall, made of multi-colored fabrics, contain rattle beads inside a clear plastic sphere body and have the face of either a puppy or monkey. Recalled styles include: Sassy Hug N' Tug Puppy, model #80213; Sassy Hug N' Tug Monkey model #80214 and Carter's-branded Hug N' Tug Monkey, models #61083 that were sold on a blue packaging card and #61540 sold on a grey packaging card. Sassy®-branded toys have Sassy® written on the sewn-in label located on the back of the character's head. The Carter's®-branded toys have Carter's® written in red on the blue plastic ring connected to the toy's head and also the sewn-in label located on the back of the character's head.",13079,https://www.cpsc.gov/Recalls/2013/Sassy-and-Carters-branded-Hug-N-Tug-Baby-Toys-Recalled-Due-to-Choking-Hazard
"CPSC, Accoutrements Announce Squeak Toy Recall",12/19/1995 ,"December 19, 1995 Release # 96-047 WASHINGTON, D.C. - CPSC, Accoutrements of Seattle, Washington, is voluntarily recalling 120,960 Squeak Pickle toys and 25,056 Squeak Kangaroo and baby kangaroo toys. During normal use, the squeaker device can separate from the toys, posing a choking hazard for young children.The Squeak Pickles, item S877, were sold individually from bags of 12 labelled in part, *** The Coral Line *** Accoutrements *** Not for children under 3 *** made in China *** . The green rubber pickles each measure 3.5 inches long. The rubber Squeak Kangaroo and baby kangaroo toys, item 9394, were sold as a set in a box labelled in part, *** GREAT MOTHERHOOD *** FOR AGES 3 AND UP *** Squeaking *** Kangaroo *** MADE IN CHINA*** S.D.S. TOYS ***. The grey and black kangaroo measures approximately 5 inches tall. The baby kangaroo measures about 1.5 inches tall and fits in the kangaroo's pouch.Retail, toy, museum, chain and drug stores sold the pickle toys nationwide for approximately 35 cents apiece between August 1991 and November 1995. The same types of stores sold the Kangaroo toys from May 1990 through November 1995 for approximately $2.50. Consumers should immediately take these toys away from children and return the toys to the store where purchased for a full refund. For more information, consumers should call Accoutrements toll free at (800) 886-2221.To date, Accoutrements and CPSC have not received any reports of incidents involving these toys. The toys were brought to CPSC's attention through CPSC's import surveillance program, performed in cooperation with the U.S. Customs Service",96047,https://www.cpsc.gov/Recalls/2012/CPSC-Accoutrements-Announce-Squeak-Toy-Recall
"Zapper Toys Recalled by Eight Firms",3/19/2001 ,"Zapper Toys Recalled by Eight Firms NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE March 19, 2001 Release # 01-110 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Kim Dulic, (301) 504-7058 CPSC, Eight Firms Announce the Recall of Zapper Toys WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), eight firms are voluntarily recalling about 835,000 Zapper toys. The following firms distributed these toys: Bonita Marie International Inc., of Manasquan, N.J.; Dillon Importing Co., of Oklahoma City, Okla.; Oriental Trading Co. Inc., of Omaha, Neb.; Play By Play Toys & Novelties Inc., of San Antonio, Texas; Rhode Island Novelty, of Johnston, R.I.; Sherman Specialty Co. Inc., of Merrick, N.Y.; Toy Investment Inc., of Kent, Wash.; and U.S. Toy Co. Inc., of Grandview, Mo. The balloon tongues and the cylinders holding the tongues on these toys can detach, posing a choking and aspiration hazard to young children. The Promotional Resources Group of Companies Inc., of Topeka, Kan., previously recalled about 105,000 Bug Zapper toys on June 6, 2000. That company received a report of a 3-year-old boy who inhaled a balloon tongue that detached from a Zapper toy into his sinus cavity. He required medical treatment to remove the part from his nose. The vinyl Zapper toys are about 2- to 3-inches long, and come in 12 different styles: smiley face, globe with glasses, troll, bumble bee, lion, bear, tiger, raspberry face, fish, frog, snake, and lizard. When the toy is squeezed, the balloon tongue attached to its mouth inflates or rolls out. CHINA or MADE IN CHINA is molded into the toy. Toy stores, doctor and dentist offices, and carnivals and circuses sold and distributed these toys from October 1998 through March 2001. They were sold for about $1. Consumers should immediately take these toys away from young children and take them back to where they were purchased for a refund, or throw them away. If consumers have questions, call CPSC at (800) 638- 2772 anytime.",01110,https://www.cpsc.gov/Recalls/2001/CPSC-Eight-Firms-Announce-the-Recall-of-Zapper-Toys
"Plastic Toy Figures Recalled by Sells Floto",10/13/1988 ,"Plastic Toy Figures Recalled by Sells Floto NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE October 13, 1988 Release # 88-87 Importer Recalls Toys Sold At Ice Shows WASHINGTON -- Sells Floto, Inc., Washington, D.C. has voluntarily recalled plastic toy figures of Donald Duck, Mickey Mouse and Minnie Mouse, sold at Ringling Brothers production of Walt Disney's World on Ice shows. The arms of the three toys, and also Donald Duck's legs and hat can be pulled off and may present a choking hazard to young children. The three recalled toy figures all have moveable arms, legs, and heads and stand about 5 1/2 inches tall. Product of Hong Kong is imprinted on the back of each figure's head. The toys were sold with a hang tag around the neck, which reads Walt Disney's Magic Kingdom on Ice. Parents should immediately take the toys away from young children, and send them to Sells Floto, Inc., 3201 New Mexico Avenue, Washington, D.C. 20016 for a refund of the full purchase. U.S. Customs Service identified the potentially hazardous toys at the port of Miami during Operation Toyland a joint surveillance program with the U.S. Consumer Product Safety Commission.",88087,https://www.cpsc.gov/Recalls/1988/Importer-Recalls-Toys-Sold-At-Ice-Shows
"CPSC, Arcotoys Announce Disney Play 'N Pop Activity Toy Recall",2/23/1995 ,"February 23, 1995 Release # 95-084 WASHINGTON, D.C. - CPSC, Arcotoys Inc., a Mattel Company in Westbury, N.Y., is voluntarily recalling 200,000 of its portable Disney Play 'N Pop Activity Toys.Arcotoys received 13 consumer reports that the small purple key, shaped like Mickey Mouse's head, broke off from the toy, creating a potential choking hazard for young children. Although no injuries have been reported to Arcotoys, several consumers reported that their children started to choke on the toy pieces. While testing by the company shows that the product complies with CPSC and industry standards, Arcotoys is taking this action to prevent possible future injuries.This activity toy, for children 9 to 36 months of age, has five brightly colored pop-up Disney cartoon figures shaped like Baby Mickey Mouse, Pluto, Donald Duck, Minnie Mouse, and Goofy characters. Children activate the pop-up figures with panel controls that include the Mickey Mouse key.The Disney Play 'N Pop toys were produced in China and Mexico. Only Play 'N Pop toys (No. 66004) produced in China are being recalled. The recalled toys, which sold nation- wide in 1994 for about $13 in toy, department, and specialty stores, can be identified by the word China molded in the bottom of the toys.Consumers should take the toys away from children immediately and return the Disney Play 'N Pop toys with the word China on the bottom by mail to Arcotoys, Attention: Nancy Nelson, 15930 East Valley Boulevard, City of Industry, CA 91744. Consumers will receive a full refund, including postage, and a discount coupon toward the purchase of an other Arcotoys product. Consumers can also call Arcotoys at (800) 442-2664. Some retailers may also provide refunds for the toy",95084,https://www.cpsc.gov/Recalls/1995/CPSC-Arcotoys-Announce-Disney-Play-N-Pop-Activity-Toy-Recall
"Alphabet Pal Educational Pull Toy Recall",12/8/2000 ,"Alphabet Pal Educational Pull Toy Recall NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued December 8, 2000, Revised October 30, 2002 Release # 01-051 Company Phone Number: 877-501-5327 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Ken Giles, (301) 504-7052 LeapFrog Media Contact: Suzy Schuman, (510) 420-5203 from 9 a.m. and 5 p.m. PT Note: phone number change CPSC, LeapFrog Announce Recall to Repair Alphabet Pal Educational Pull Toys WASHINGTON, D.C.- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), LeapFrog, a division of Knowledge Kids Enterprises Inc., of Emeryville, Calif., is voluntarily recalling about 500,000 Alphabet Pal electronic pull toys. The toy has a two-part, red plastic connector on the pull string designed to separate under tension. The plastic pieces can detach from the string when the connector is pulled apart and could pose a choking hazard to young children. LeapFrog has received nine reports of the red plastic connector detaching. No injuries have been reported. Consumers should cut the red plastic string connector off of these toys immediately, or return it to the firm to receive a free replacement toy without a plastic connector. The Alphabet Pal is a green caterpillar pull toy, about 12 inches long, with four wheels. It has 26 plastic legs, one for each letter of the alphabet. When its yellow pull cord is tugged, the toy sings the ABC Song. Other functions include color and letter name identification, and letter sounds. The antennae on the caterpillar's head lights up. Writing on the toy includes, LEAP FROGTM and Made in China. Toy, department and specialty stores nationwide sold these toys from June 1999 through November 2000 for about $20. For more information, call LeapFrog at 877-501-5327 anytime, write to: LeapFrog, 1400 65th Street, Suite 200, Emeryville, CA 94608-1071, or visit the firm's web site at www.leapfrog.com. Toys without plastic connectors on the pull-string are not part of this recall.",01051,https://www.cpsc.gov/Recalls/2001/CPSC-LeapFrog-Announce-Recall-to-Repair-Alphabet-Pal-Educational-Pull-Toys
"Baby's Bucket-Sorting Toys Recalled Due To Potential Choking Hazards",5/17/1994 ,"May 17, 1994 Release # 94-075 PRODUCT: Approximately 5,000 Baby's Bucket-Sorting Toys, model 3848 by Davis Brothers Wholesalers, Inc. The toy is a 17-1/4 inch round bucket with handle and nine different shaped sorting pieces. Four of the nine sorting pieces (square, hexagon, triangle, and circle) have a small animal figure attached to each top. The sorting pieces fit through corresponding cut-out shapes in the bucket's yellow lid. The label on the box in part reads: MADISON LTD., HACKENSACK, NJ, ....MADE IN CHINA. The toy was sold nationwide at discount and toy stores from March 1993 through February 1994. PROBLEM: The small animal figures attached to the top of the square, hexagon, triangle, and circle sorting pieces can come off and choke a young child. WHAT TO DO: Immediately take the toys away from young children and return them to the place of purchase for a refund. Consumers with questions may contact Davis Brothers Wholesalers, Inc. at (201) 845-8600. WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Davis Brothers Wholesalers, Inc., Hackensack, New Jersey, (AKA Madison Ltd) is voluntarily recalling 5,000 Baby's Bucket-Sorting Toys, model number 3848. During routine CPSC testing, small animal figures attached to the top of the square, hexagon, triangle, and circle sorting pieces came off and could choke a young child. The Baby's Bucket-Sorting Toy is a 17-1/4 inch round bucket with handle and nine different shaped sorting pieces. Four of the nine sorting pieces (square, hexagon, triangle, and circle) have small animal figures attached to the tops. The sorting pieces fit through cut-out shapes in the bucket's yellow lid. The label on the box in part reads: MADISON LTD., HACKENSACK, NJ, . . . MADE IN CHINA. The toys were sold nationwide at discount and toy stores from March 1993 through February 1994. The toy ranged in price from $2.00 to $3.00 each. Consumers are urged to immediately take the toys away from young children and return them to the stores where purchased for a refund. Consumers who have questions may contact Davis Brothers Wholesalers, Inc. at (201) 845-8600. Neither CPSC nor Davis Brothers Wholesalers, Inc. is aware of any injuries involving the toy. This voluntary recall is being conducted to prevent the possibility of injury. The potentially hazardous toy was referred to CPSC by the Connecticut Department of Consumer Protection. CPSC is the Federal agency responsible for consumer product safety. Some 15,000 different types of consumer products fall within CPSC's jurisdiction",94075,https://www.cpsc.gov/Recalls/1994/Babys-Bucket-Sorting-Toys-Recalled-Due-To-Potential-Choking-Hazards
"Ambi Mini Racer Recalled by Toy Importers",2/3/1987 ,"Ambi Mini Racer Recalled by Toy Importers NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE February 03, 1987 Release # 87-006 Toy Importers Initiate Limited Recall of An Ambi Mini Racer WASHINGTON, D.C. -- In cooperation with the Consumer Product Safety Commission, Playspaces International, Sudbury, Massachusetts, and U.S. Toy Company Inc., Grandview, Missouri, announced a voluntary limited recall from consumers of the yellow plastic hat from the driver of a toy car called Ambi Mini Racer, Model E666. The hat is a small part which could present a choking hazard to children younger than three. Consumers are offered an incentive of a $1.00 premium to return the hat to the retail store where the Mini Racer was purchased. Since January 1984, Playspaces International has distributed nationwide approximately 6,800 of the mini racers. During the same period U.S. Toy Company has distributed 905 of the Mini Racers sold only through their Catalog or in one of their own U.S. Toy retail outlets in California, Illinois, Kansas and Texas. Mini Racer sells at retail for approximately $12.00. Consumers should remove this hat from the Ambi Mini Racer immediately and return it to the retail store where purchased for the $1.00 premium. The CPSC is not aware of any report of deaths or injuries involving this toy. For further information, consumers may call Playspaces International at 617-443-7146, U.S. Toy Company Inc. at 816-761-5900 or the CPSC toll-free hotline number at 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",87006,https://www.cpsc.gov/Recalls/1987/Toy-Importers-Initiate-Limited-Recall-of-An-Ambi-Mini-Racer
"CPSC And Charpente Announce Pull Toy Recall",12/6/1995 ,"December 6, 1995 Release # 96-036 WASHINGTON, D.C. - CPSC, Charpente Division of Michel and Co., of Culver City, Calif., is voluntarily recalling about 12,000 Classic Winnie the Pooh pull toys. Children can choke on the small wooden ball at the end of the toy's pull cord, or strangle on the toy's pull cord. The five styles of wooden pull toys each feature Winnie the Pooh characters on a wooden cart. The carts' wheels are either natural wood with wooden pegs, or natural wood with pale blue pegs. Each cart has a pull cord at least 12 long, with a wooden ball at the end. A stamp on the bottom of each toy reads in part, Classic POOH ... Charpente Designs... Based on the 'Winnie The Pooh' works...The five styles involved in this recall are Pooh, number 65301, measuring 6.5 long by 4 wide by 11.5 tall; Eeyore, number 65302, measuring 6.5 by 4 by 8.5; Pooh with Honey Pot and Piglet, number 65303, measuring approximately 7.5 by 4.5 by 9.5; Pooh and Piglet in Wagon, number 65304, measuring 8.25 by 4.2 by 8; and Christopher, Pooh and Gang, number 65305, measuring 9 by 4.2 by 8.5.The toys were imported from Taiwan and sold nationwide from early 1994 to the present in department stores, gift shops and upscale specialty shops. The toys were sold individually for $30 to $35.Consumers should take the pull toys away from young children immediately and return the toy to the store where purchased for a full refund. For more information about this recall, consumers should call Michel and Co., Inc. at (800) 533-7263, or write to the company at P.O. Box 3625, Culver City, Calif. 90231-3625.CPSC and Charpente Division, Michel and Co., are not aware of any injuries involving this toy. This recall is being conducted to prevent the possibility of injury",96036,https://www.cpsc.gov/Recalls/1996/CPSC-And-Charpente-Announce-Pull-Toy-Recall
