Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Suarez Toy House Of Puerto Rico (Aka G. Suarez & Son, Inc.) Recalls Toy Helicopter Due To Potential Aspiration And Choking Hazards",6/24/1993 ,"June 24, 1993 Release # 93-083 PRODUCT: My First Push Toy-Funny Copter toy helicopters, imported by Suarez Toy House of Puerto Rico. The helicopters are bright yellow, with multi-colored wheels and propellers. Three colored spinning disks are in front and a multi-colored spinning and rattling drum is in back. Inside the helicopter's clear, plastic dome are colored beads and colored animal figures that spin around as the toy is pushed. An 11-inch cord allows the toy to be pulled and a 17-inch rod is attached to the back for pushing. The firm sold 144 toy helicopters in Puerto Rico from December 8, 1992 through December 21, 1992. PROBLEM: Colored beads inside the helicopter's clear, plastic dome and pieces of the helicopter separated from the toy during routine U.S. Consumer Product Safety Commission testing, presenting a potential aspiration and choking hazard to young children. WHAT TO DO: Consumers are urged to take the toys away from young children immediately and return the toys to the stores where purchased for a free replacement toy of equal value. Consumers who have purchased these toys in Puerto Rico and have since moved elsewhere, and consumers with questions may contact Lucy Pabon at: (809) 760-7070. WASHINGTON, DC -- CPSC, Suarez Toy House of Puerto Rico, Rio Piedras, PR, is voluntarily recalling 144 My First Push Toy-Funny Copter, item number 64120H. During routine CPSC testing, colored beads inside the helicopter and pieces of the helicopter separated, presenting potential aspiration and choking hazards to young children. The My First Push Toy-Funny Copter is a multi-functional push helicopter with a bright yellow body, blue, green or red wheels, and a yellow or red propeller. The toy helicopter has three colored spinning disks in front and a multi-colored spinning and rattling drum in the back. The helicopter has a clear plastic dome. Inside the dome are colored beads and three colored animal figures that spin around as the toy is pushed. The toy has an 11-inch cord on the front for pulling, however the toy's main functon is that of a push toy. A 17-inch rigid rod is attached to the back for easy pushing. A sticker on the right front of the toy reads: 120H. The embossed label underneath the helicopter reads: FI, ITEM NO. 64120, 1989 FRED'S IND. CO. LTD., MADE IN CHINA. The Funny Copters were sold throughout Puerto Rico at various retail stores from December 8, 1992 through December 21, 1992. They sold for $5.44 to $8.60 each. Consumers are urged to take the toys away from young children immediately and return the toys to the stores where purchased for a free replacement toy of equal value. Consumers who purchased these toys in Puerto Rico and have since moved elsewhere, and consumers with questions may contact Lucy Pabon at: (809) 760-7070. Neither CPSC nor the company is aware of any injuries involving the Funny Copters. This voluntary recall is being conducted to prevent the possibility of injury. The potentially hazardous toys were identified at the Port of San Juan, Puerto Rico during a joint CPSC/U.S. Customs surveillance program. CPSC is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.6 million injuries and 21,700 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdicition",93083,https://www.cpsc.gov/Recalls/1993/Suarez-Toy-House-Of-Puerto-Rico-Aka-G-Suarez--Son-Inc-Recalls-Toy-Helicopter-Due-To-Potential-Aspiration-And-Choking-Hazards
"Flying Toy Helicopter Being Recalled",8/19/1986 ,"Flying Toy Helicopter Being Recalled NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR RELEASE August 19, 1986 Release # 86-52 Flying Toy Helicopter Being Recalled Washington, DC -- In cooperation with the U.S. Consumer Product Safety Commission, Go Fly A Kite, Inc., E. Haddam, Connecticut is recalling a flying toy helicopter called Model WL-322 Flying Copter. Approximately 10,000 Flying Copters were distributed by the firm during the past year nationwide. This toy has previously been recalled by other companies who have marketed it. The toy, imported by many firms, has been responsible for eye injuries and facial lacerations. Some of the injuries have resulted in permanent blindness. This toy has previously been recalled by other companies who have marketed it. The toy has been imported by many firms and CPSC is involved in contacting each of these firms as quickly as they can be identified. CPSC has investigated accidents in which this toy has been responsible for serious eye injuries and facial lacerations not only to children but adults as well. The Flying Copter, which retailed for $3.50 is a 7 l/2 inch plastic flying toy helicopter with a hand launching device. The helicopter is mostly white with three red plastic rotor blades. The launching handle is green. Assembly is required before the toy can be flown. It is this assembly which is difficult and if done improperly, could allow the rotor blades to come off and strike the user or bystander. Consumers are urged to discontinue use and to return the toy helicopter to the store where it was purchased for a full refund.",86052,https://www.cpsc.gov/Recalls/1986/Flying-Toy-Helicopter-Being-Recalled
"Flying Toy Helicopter Recalled by Reeves",9/26/1986 ,"Flying Toy Helicopter Recalled by Reeves NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE September 26,1986 Release # 86-057 Flying Toy Helicopter Being Recalled Washington, DC -- In cooperation with the U.S. Consumer Product Safety Commission, Reeves International Inc., Pequannock, New York is voluntarily recalling a flying toy helicopter called Flying Copter. Approximately 8,000 of these toys were distributed by the firm from 1984 to 1986. This toy has previously been recalled by other companies who have marketed it. The toy has been imported by many firms and CPSC is involved in contacting each of these firms as quickly as they can be identified. CPSC has investigated accidents in which this toy has been responsible for serious eye injuries and facial lacerations not only to children but adults as well. The Flying Copter, being recalled by Reeves International Inc., retailed for about $3.00 and is a 7 1/2 inch plastic flying toy helicopter with a hand launching device. The helicopter is mostly white with three red plastic rotor blades. The launching handle is green. Assembly is required before the toy can be flown. It is this assembly which is difficult and if done improperly could allow the rotor blades to come off and strike the user or bystander. Consumers are urged to discontinue use and to return the toy helicopter to the store where it was purchased for a full refund. For further information Consumers can call the CPSC's toll-free hotline at 800-638-CPSC. A teletypewriter number for the hearing impaired is 800-633-8270.",86057,https://www.cpsc.gov/Recalls/1986/Flying-Toy-Helicopter-Being-Recalled2
"Flying Toy Helicopter Recalled International Playthings",7/22/1986 ,"Flying Toy Helicopter Recalled International Playthings NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR RELEASE July 22, 1986 Release # 86-43 Flying Toy Helicopter Being Recalled Washington, DC -- In cooperation with the US Consumer Product Safety Commission, International Playthings Inc., Bloomfield, New Jersey is voluntarily recalling a flying toy helicopter called Flying Copter. Approximately 15,000 Flying Copters were distributed by the firm between March of 1984 and October 1985. This toy has previously been recalled by other companies who have marketed it. The toy has been imported by many firms and CPSC is involved in contacting each of these firms as quickly as they can be identified. CPSC has investigated accidents in which this toy has been responsible for serious eye injuries and facial lacerations not only to children but adults as well. The Flying Copter, being recalled by International Playthings, Inc., retailed for $3.50 and is a 7 l/2 inch plastic flying toy helicopter with a hand launching device. The helicopter is mostly white with three red plastic rotor blades. The launching handle is green. Assembly is required before the toy can be flown. It is this assembly which is difficult and if done improperly could allow the rotor blades to come off and strike the user or bystander. Consumers are urged to discontinue use and to return the toy helicopter to the store where it was purchased for a full refund.",86043,https://www.cpsc.gov/Recalls/1986/Flying-Toy-Helicopter-Being-Recalled
"Official Chopper 9 Flying Toy Helicopter Warning",3/4/1986 ,"Official Chopper 9 Flying Toy Helicopter Warning NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE March 4, 1986 Release # 86-11 Official Chopper 9 Flying Toy Helicopter warned by Whimports Honolulu, Hawaii -- In cooperation with the U.S. Consumer Product Safety Commission, Whimports of Honolulu, Hawaii today warns consumers of a possible hazard associated with the flying of a toy helicopter called Official Chopper 9. Approximately 30,000 Official Chopper 9's were sold between July of 1984 and January 1985 in Hawaii only. The firm and the Commission are aware of four eye and face laceration incidents in which the rotor blades either flew off the toy, striking the user or bystander, or the entire helicopter descended rapidly, striking the person in the face. The incidents happened in October 1984, and Whimports voluntarily stopped sales of the toy in January 1985. The Official Chopper 9, which retailed for approximately $5.00, is a six-inch plastic flying toy helicopter with a hand launching device. The number 9 is prominently displayed on the cabin of the toy. Assembly is required before the toy can be flown. It is this assembly which is difficult and if done improperly could allow the rotor blades to come off and cause possible facial lacerations or serious eye injury. Consumers are urged to discontinue use and to return either the three rotor blades or the entire toy helicopter to Whimports. Whimports will replace the returned blades with a redesigned rotor assembly and if the entire toy helicopter is returned, it will be replaced with a new toy helicopter with a redesigned rotor assembly. Returns should be mailed to: Whimports, 449 Koula Street, Honolulu, Hawaii 96813. Consumers may reach Whimports by calling 537-6079. For further information, they can reach the Consumer Product Safety Commission office in Honolulu, Mr. Donald Ching, 546-7523.",86011,https://www.cpsc.gov/Recalls/1986/Official-Chopper-9-Flying-Toy-Helicopter-warned-by-Whimports
"Flying Toy Helicopter Recalled by M.W. Kasch",12/3/1986 ,"Flying Toy Helicopter Recalled by M.W. Kasch NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR RELEASE December 3, 1986 Release # 86-78 Flying Toy Helicopter Being Recalled Washington, DC -- In cooperation with the U.S. Consumer Product Safety Commission, M.W. Kasch Company, Mequon, Wisconsin is recalling a flying toy helicopter called Model No. WL 322 Flying Copter. Approximately 30,000 Flying Copters were distributed by the firm during the past 2 l/2 years nationwide. This toy has previously been recalled by other companies who have marketed it. The toy, imported by many firms, has been responsible for eye injuries and facial lacerations. Some of the injuries have resulted in permanent blindness in one eye. The Flying Copter which retails for $3.00 to $5.00 is a 7 l/2-inch plastic flying toy helicopter with a hand launching device. The helicopter is mostly white with three red plastic rotor blades. The launching handle is green. Assembly is required before the toy can be flown. It is this assembly which, if done improperly, could allow the rotor blades to come off and strike the user or bystander. Consumers are urged to discontinue use and to return the toy helicopter to the store where it was purchased for a full refund.",86078,https://www.cpsc.gov/Recalls/1986/Flying-Toy-Helicopter-Being-Recalled3
"Imported Toys Recalled by Lil' Mort Sales",12/20/1988 ,"Imported Toys Recalled by Lil' Mort Sales NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE December 20, 1988 Release # 88-114 Choking Hazards Prompt Recall Of Imported Toys WASHINGTON-- Lil Mort Sales of Chicago, Illinois is voluntarily recalling six small wind-up toys and klacker balls because they pose potential hazards to young children consumers. Sold nationwide during the last two years for less than the six wind-up toys include Funny Action planes trains, helicopters, and Busy Animals turtles and frogs. The Stretch Tail Pup brown-and-white plastic dog's tail is attached to the wheels. The dog's tail is attached to a pull-action string which activates the wheels. The dog's ears may separate from the toy and could present a choking hazard pull-action string which activates may separate from the toy young children. The Whistling Funny Action Toys are multi-colored plastic wind-up airplanes, helicopters and train engines measuring three, inches long. The toys are propellers and wind-up key choking hazard to young children. Busy Animals are wind-up frogs and turtles standing five inches tall and made of green, orange and yellow plastic. The arms and wind-up key may dislodge from the frog; the turtle's feet may also break off and present choking hazards to young children. Imported from Taiwan, the Klacker Balls consist of two one-and-one-third-inch, colored, solid plastic balls attached to both ends of a braided cotton-nylon cord. Klacker balls are banned because the balls may separate from the string and could cause injury to users or bystanders. Consumers should immediately take the toys away from children and destroy the toys or return them to the store of purchase for a full refund Sales at 312-545-4141 for Consumers may also call Lil Mort information about the product recall.",88114,https://www.cpsc.gov/Recalls/1988/Choking-Hazards-Prompt-Recall-Of-Imported-Toys
"Remote-Control Helicopter Toys Recalled Due to Burn Hazard",12/18/2006 ,"The recalled toy helicopters are remote-controlled lightweight plastic toy helicopters. The helicopter is sold with a control unit, a charger and rechargeable batteries in the body of the toy. The body of the helicopter measures about 13 inches in length and the rotor diameter is about 10 inches. The helicopter is yellow and red with green rotors. The helicopter has a label on the front that reads Champion HX242 Electric Power Helicopter.",07512,https://www.cpsc.gov/Recalls/2007/Remote-Control-Helicopter-Toys-Recalled-Due-to-Burn-Hazard
"Toys R Us Recalls Remote-Controlled Helicopters Due to Fire and Burn Hazards",7/3/2013 ,"This recall involves the Fast Lane FA-005 Radio Control 3-Channel Helicopter with Gyro Stabilizer and Charger, model number 5F5F2F5. The model number is printed on the front of the product packaging and on the underside of the helicopter. The double-rotor helicopters are blue and white, approximately 9 inches high and have the Fast Lane logo on the top of the helicopter. They were sold with a remote control unit, a battery charger and a carrying case.",13234,https://www.cpsc.gov/Recalls/2013/Toys-R-Us-Recalls-Remote-Controlled-Helicopters
