Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Potential Strangulation Risk Prompts Toys R Us To Recall Crib Toy",2/13/1989 ,"February 13, 1989 Release # 89-013 Potential Strangulation Risk Prompts Toys R Us To Recall Crib Toy WASHINGTON -- Toys R Us of Paramus, N.J., is voluntarily recalling approximately 800 Curiosity Snail crib toys. These toys have a looped cord with a teether attached to its body long enough to fit over an infant's head and present a potential risk of strangulation.When rolled up, the soft, yellow fabric toy is shaped like a snail and may be used as a stuffed animal toy. When unrolled and attached to a crib rail, Curiosity Snail becomes an activity toy with plastic rings, a mirror, a peek-a-boo feature, and the teether. A label attached to the toy reads Softee Learners. Made in China. Care instructions are found on the reverse side of the label.Curiosity Snail was sold nationally for about $14 in Toys R Us stores this year.While no strangulations or injuries have been reported, the company is recalling the toy in cooperation with the U.S. Consumer Product Safety Commission because of the possibility of injury to young children. Consumers should take the toy away from children and return it to the nearest Toys R Us store for a refund of the purchase price",89013,https://www.cpsc.gov/Recalls/1989/Potential-Strangulation-Risk-Prompts-Toys-R-Us-To-Recall-Crib-Toy-
"Musical Computer Toys Recalled by Tiger",5/2/1984 ,"Musical Computer Toys Recalled by Tiger NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE May 2, 1984 Release # 84-029 Tiger Electronics Hippo-Lot-O-Fun Musical Computer Toy May Present Hazard To Infants And Small Children Washington, D.C. -- The Consumer Product Safety Commission today announced that a musical computer crib and toddler toy, the HIPPO-LOT-O-FUN Musical Computer Toy, Model No. 7-511, distributed by Tiger Electronic Toys, Inc., 909 East Orchard, Mundelein, Illinois 60060, may present choking and ingestion hazards because of a small knob which can be pulled off. This toy is battery operated and constructed of plastic in the shape of a hippopotamus, with straps for attachment to a crib or playpen and includes a handle for carrying. When the buttons are pushed, knobs twisted or moved and/or dials turned, the toy plays various tunes, makes noises or lights UP. A blue decal with white lettering on the front of the toy reads Tiger Electronic Toys HIPPO-LOT-O-FUN. The toy is approximately 16 long by 7 high by 1 l/4 thick. When the Commission tested this toy according to safety requirements for toys, a sliding knob pulled off. This is in contradiction of the CPSC Small Parts Requirement which prohibits small parts in toys intended for children under three years of age. CPSC has determined that this knob is small enough to present possible choking and ingestion hazards to children under three years of age. The Commission is aware of one incident involving a 15-month-old child who accidentally ingested the sliding knob from this toy. The mother was able to remove the knob from the back of the child's mouth and medical attention was not required. No other accidental ingestion incident has been reported. Tiger Electronic Toys, Inc., engaged the services of an independent engineering firm to also conduct safety testing. Although the toy failed the Small Parts Requirements, when tested under actual use conditions in a children's nursery, the children tested could not dislodge the sliding knob. Nevertheless, Tiger Electronic Toys, Inc., has elected to cooperate with the Commission to conclude the matter. Tiger distributed approximately 15,000 of these toys nationally from 1980 through 1982. The toys sold for about $20.00. Consumers should remove these toys from use and return them directly to the company. Tiger is prepared to offer in exchange a SELECT-O-FUN Musical Computer Toy, Model No. 7-511. For further information, write Tiger Electronic Toys, Inc., 909 East Orchard, Mundelein, Illinois 60060, or contact them at (312) 949-8100, or the Commission's toll-free hotline at 800-638-CPSC. The teletypewriter number for the hearing impaired is (301) 595-7054.",84029,https://www.cpsc.gov/Recalls/1984/Tiger-Electronics-Hippo-Lot-O-Fun-Musical-Computer-Toy-May-Present-Hazard-To-Infants-And-Small-Children
"Crib/Playpen Infant Toy Recalled by Al-Dan Trading",7/16/1997 ,"Crib/Playpen Infant Toy Recalled by Al-Dan Trading NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Phone number change. FOR IMMEDIATE RELEASE CONTACT:Nychelle White Originally issued July 16, 1997; Revised July 9, 2001 (301) 504-7063 Release # 97-159 CPSC, Al-Dan Trading Inc. Announce Recall of Infant Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Al-Dan Trading Inc. of Miami, Fla., is recalling 747 infant toys. The toy is marketed for use in a crib. The toy presents a risk of strangulation if hung across a crib or playpen. It is not labeled according to the ASTM voluntary standard to warn consumers about the strangulation risk if the toy is attached to a crib or playpen. CPSC and Al-Dan Trading are not aware of any injuries involving the recalled toys. However, the Commission is aware of at least three deaths resulting from the use of similar toys. This recall is being conducted to prevent future deaths and injuries. The recalled toy consists of four plastic balls, measuring 1.5 inches in diameter, along with some plastic animal figures strung on a piece of elastic. The plastic balls and animal figures come in a variety of colors, such as purple, orange, red, blue, green and yellow. A white plastic hook on each end permits the toy to be attached to a stroller, carriage, swing, or infant seat. The toy makes a rattle sound when shaken. Some of the plastic animals are inconspicuously imprinted with the word China. The toys were packaged in a clear plastic bag with a multi-colored cardboard header labeled in part, 7 6964581 715612 BIRTH AND UP Baby Toys ... /!\ WARNING CHOKING HAZARD - SMALL PARTS. NOT FOR CHILDREN UNDER 3 YEARS .... MADE IN CHINA. A picture of a baby in a crib with this toy appears on the header. These toys mainly were sold by Daniel Club Wholesalers and Swamis Trading in Miami, Fla., from to March 1996 to June 1997 for about $1. Consumers should take the recalled toys away from children immediately and return them to the store where purchased for a full refund. Consumers with questions about the recall can call Al-Dan at (305) 624-6623 or write to the company at 5390 NW 161st Street, Miami, FL. 33014.",97159,https://www.cpsc.gov/Recalls/1997/CPSC-Al-Dan-Trading-Inc-Announce-Recall-of-Infant-Toys
"Crib Pals Play Shapes Toy Recalled by Toys R Us",11/1/1989 ,"Crib Pals Play Shapes Toy Recalled by Toys R Us NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE CONTACT: November 1, 1989 (301) 504-7908 Release # 90-005 Toys R Us Inc. Recalls Crib Pals Play Shapes Toy Because Of Potential Choking Hazards WASHINGTON, D.C. -- Toys R Us, Inc. of Paramus, New Jersey is voluntarily recalling 15,000 Crib Pals Play Shapes, sets because they may pose a potential choking hazard to young children because of small pieces. The set being recalled contains four plastic pieces in different shapes and colors consisting of a cone with a whistle, a cube with a mirror, a cylinder and a circle with a ball that rattles. They are packaged in a blister pack with a label Crib Pals Play Shapes, SKN 157198, Ages 1 and up, Lucky Star Enterprises, Made in Taiwan. The product fails to meet the mandatory standard for baby rattles that is intended to prevent choking accidents to young children. These baby toys were sold nationwide during 1988 and 1989 through Toys R Us, Inc. stores for $2.99 per package. While neither the CPSC nor Toys R Us, Inc. is aware of any injuries associated with the toy, this recall is being taken to prevent the possibility. Consumers having these baby toys should take them away from children and return them to the nearest Toys R Us, Inc. store for a full refund of the purchase price. Consumers who have any questions about this recall may contact Toys R Us, Inc. directly at 1-800-548-0364.",90005,https://www.cpsc.gov/Recalls/1990/Toys-R-Us-Inc-Recalls-Crib-Pals-Play-Shapes-Toy-Because-Of-Potential-Choking-Hazards
"Blue Box Crib Toy Recalled",2/23/1989 ,"Blue Box Crib Toy Recalled NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE February 23, 1989 Release # 89-017 Blue Box Crib Toy Recalled WASHINGTON, D.C. Blue Box, New York, N.Y. is voluntarily recalling approximately 30,000 Blue-Box crib gyms because of a potential strangulation hazard to infants. crib toys were sold in Toys R Us stores. The majority of these The Blue-Box Crib Gyn distributed nationally in 1987 and 1988 for about $8, consists of a blue plastic bar approximately 15 inches long with several infant toys suspended from it Yellow straps at each end allow the toy to be attached to a crib or playpen rail. The words Blue-Box and Made in Singapore are molded on the plastic bar. While no strangulations or injuries have been reported, Blue-Box is recalling this toy because consumers may leave the toy in the crib longer than is considered safe. In particular, the package is labeled as appropriate for children ages 3 months and up, but does not caution consumers to remove the product from the crib when the infant begins to push up on hands and knees or reaches five months of age. Also, the package does not contain information about the risk if the toy is not removed. According to the U.S. Consumer Product Safety Commission, five-month-old infants can pull themselves up to a hanging crib toy and may become entangled or fall forward over it, possibly strangling. In addition, because the toy is not labeled to advise consumers that it wi I not fit a standard full-size crib, consumers may attach strings or ribbons to the toy for use in a full-size crib. The addition of strings or ribbons could increase the risk of strangulation. Consumers with the Blue-Box crib gym should return it to the retailer for a refund of the purchase price.",89017,https://www.cpsc.gov/Recalls/1989/Blue-Box-Crib-Toy-Recalled
"Chicco Crib Toy Recalled by Artsana of America",7/13/1988 ,"Chicco Crib Toy Recalled by Artsana of America NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE July 13, 1988 Release # 88-048 Potential Strangulation Hazard Prompts Recall of Chicco Crib Toy WASHINGTON, D.C. -- Some 136,000 Chicco-brand Pram Mobiles imported in 1987 and 1988 from Italy by Artsana of America, Inc., New York, N.Y., are being voluntarily recalled because of a potential strangulation hazard to infants. The majority of the toys were sold in Toys R Us Stores. Artsana said the crib toy retailed for $5-6 and consists of four pastel-colored, hard plastic bird and flower figures separated by three small balls. Two white cords at opposite ends allow the toy to be tied on a crib, carriage, playpen or stroller. While no strangulations or injuries have been reported, Artsana is undertaking this voluntary recall because consumers who read the package instructions may leave the toy in the crib longer than is considered safe. According to the U.S. Consumer Product Safety Commission, the Chicco Pram Mobile II does not warn consumers that the toy should be removed when the child begins to push up on hands and knees, or has attained the age of five months. CPSC said five- month-old infants can pull themselves up to a hanging crib toy and become entangled or fall forward over it, possibly strangling. The toy contains no warning about when to remove it from a crib; moreover, the package recommends its use from birth to 18 months of age. Artsana said the Chicco crib toy is identified as item number 62926 on the package. Once removed from the package, the toy can be identified with words Made in Italy stamped on each of the plastic balls. Consumers who have the Chicco Pram Mobile should return it to the retail store for a refund of the purchase price, or send the toy to Artsana of America, Inc. 200 Fifth Avenue, #910, New York, N.Y. 10010. The firm will refund the purchase price and postage.",88048,https://www.cpsc.gov/Recalls/1988/Potential-Strangulation-Hazard-Prompts-Recall-of-Chicco-Crib-Toy
"Toy Mobiles Recalled by Albert E. Price",8/21/1980 ,"Toy Mobiles Recalled by Albert E. Price NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE August 21, 1980 Release # 80-030 Stuffed Toy Mobiles Recalled Because Of Strangulation Hazard WASHINGTON, D.C. (August 21, 1980) -- Approximately 2,300 stuffed mobile toys which may pose a strangulation hazard to infants are being recalled by their importer, Albert E. Price, Inc., of Bellmawr, New Jersey. The recall is being conducted voluntarily in cooperation with the U.S. Consumer Product Safety Commission. The recall applies to two types of stuffed animal mobiles which are intended to be suspended from ceilings or cribs by a metal spring and two white string cords. Although no deaths or injuries have been associated with these toys, a similar toy imported by another firm was involved last year in the strangulation of an 11-month-old baby girl when she became entangled in the elastic cords suspending it from her crib. Those toys have since been recalled. The Albert Price toys being recalled include a duck, model 9160, and an elephant, model 9161. Both toys are covered with plush fabric. The importer's name is printed on a tag attached to each animal., and the model numbers appear on the boxes in which the toys are sold. Parents immediately should cut off the cords and the spring. To receive a full refund, consumers should return the toy to place of purchase. To verify the model numbers, contact CPSC's toll-free Hotline at 800-638-2772.",80030,https://www.cpsc.gov/Recalls/1980/Stuffed-Toy-Mobiles-Recalled-Because-Of-Strangulation-Hazard
"Baby Buzz Infant Toys Recalled by Division Sales",1/15/1997 ,"Baby Buzz Infant Toys Recalled by Division Sales NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE CONTACT:Ken Giles January 15, 1997 (301) 504-7052 Release # 97-057 CPSC and Division Sales Announce Recall of Baby Buzz Infant Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Division Sales Inc. of Chicago, Ill., is recalling over 26,000 Baby Buzz stretch mobiles. The toy presents a risk of strangulation if hung across a crib or playpen. It is not labeled to warn consumers about the risk and not to attach the toy to a crib or playpen. CPSC and Division Sales are not aware of any injuries involving these toys. This recall is being conducted to prevent the possibility of injury. The recalled toy consists of four plastic balls, measuring 1.5 inches in diameter, along with some plastic animal figures strung on a piece of elastic. The plastic balls and animal figures come in a variety of colors, such as purple, orange, red, blue, green, and yellow. There is a white plastic hook on each end for attaching the toy to a stroller, carriage, swing, or infant seat. The toy makes a rattle sound when shaken, and some of the plastic items are imprinted with the word, China. The toys were packaged in a clear plastic bag with a multi-colored cardboard header labeled, Baby Buzz Baby Stretch Mobile. A picture of a bee holding a rattle also appears on the header. Dollar Value and other discount stores sold the toys nationwide from December 1995 to December 1996 for about $1. Consumers should stop using the recalled toys immediately, and return them to the store where purchased for a full refund. Consumers with questions about the recall can call Division Sales at (800) 621-8134, or write the company at 1311 Meacham Road, Itasca, Ill. 60143.",97057,https://www.cpsc.gov/Recalls/1997/CPSC-and-Division-Sales-Announce-Recall-of-Baby-Buzz-Infant-Toys
"Johnson & Johnson Crib Toys Case Settled",10/23/1986 ,"Johnson & Johnson Crib Toys Case Settled NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE October 23, 1986 Release # 86-065 Johnson & Johnson Crib Toys Case Settled Washington, DC -- The U.S. Consumer Product-Safety Commission and Johnson & Johnson Baby Products Company announced today that the company and the Commission staff had entered into a consent agreement resolving a pending CPSC action relating to three of the company's toys -- Soft Triplets, Piglet Crib Gym, and Triplets marching Band. These toys have a common design consisting of three cloth dolls held together by short pieces of elastic with a plastic ring at each end. In a complaint filed May 30, 1986, the Commission staff alleged that when the toys were used as crib toys, babies could get caught and possibly strangle themselves on the toys or on strings used to hang them across cribs and playpens. The Commission had received reports that the toy or strings used to hang it in a crib had been involved in two deaths, one in October 1984 and one in December 1985. Johnson & Johnson Baby Products Company contended that the toys were safe when used as directed, and that instructions were provided with the toys warning of this risk of strangulation. Today's settlement puts I an end to this litigation. As part of the agreement settling the suit and in accordance with its long-standing policy, Johnson & Johnson Baby Products Company is offering consumers a refund of the purchase price for these toys when returned to the company. To obtain the refund, consumers should either call the company toll free at 1-800-262-2232 or return the toys directly to: Soft Triplets Refund Offer Stratmar Station PO Box 7422 Bridgeport, Connecticut 06650 (Include your name and address) Johnson & Johnson Baby Products Company will be announcing the refund in notices in Parents, American Baby, and Baby Talk magazines in posters sent to pediatricians and retailers, and in letters sent directly to all known mail order customers of the toys. About 1.6 million Soft Triplets toys were distributed from 1979 through March of 1986 nationwide at a cost of about $6.50. Approximately 63,000 Piglet Crib Gyms were sold from 1982 to 1984 and 4,000 Triplets, Marching Band toys were sold 1985 through mid-March L985, both at retail stores for an average of $8.00. For more information on the refund offer, consumers can call Johnson & Johnson Baby Products Company at the number indicated above or the CPSC's toll-free number at 800-638-CPSC. A teletypewriter number for the hearing impaired is (301) 595-7054.",86065,https://www.cpsc.gov/Recalls/1986/Johnson-Johnson-Crib-Toys-Case-Settled
