Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Fisher-Price Recalls Bongo Band Toys Due to Violation of Lead Paint Standard",9/4/2007 ,"The recalled toys have two bongos, including one with a yellow and green plastic drum base with a blue drum surface. The other bongo is yellow and green plastic drum base with an orange drum surface with It's a Big, Big World printed on it. The toys were sold with animal shaped accessories including a monkey, bird, tambourine and drum stick. The toys have product number K9343 inside the orange drum. A date code between 139-7SH and 232-7SH is printed on the drum's orange ring surface. Bongo Band toys included in this recall must have both the product number and date code.",07303,https://www.cpsc.gov/Recalls/2007/Fisher-Price-Recalls-Bongo-Band-Toys-Due-to-Violation-of-Lead-Paint-Standard
"CPSC, Dollar Tree Stores Inc. Announce Recall of Electronic Musical Toys",2/25/2005 ,"The recall includes two styles of battery-operated electronic musical toys. The multi-colored toys come in the shape of a drum and a xylophone, and are sold with a drumstick for playing the musical toy. The recalled toys have a label affixed to the top of the package that reads LIGHT & SOUND MUSICAL TOY and TOY TUNES. A second label affixed to the bottom right of the package reads TRY ME! The label affixed on the back of the package contains, DOLLAR TREE DIST., CHESAPEAKE, VA 23320 and MADE IN CHINA.",05122,https://www.cpsc.gov/Recalls/2005/CPSC-Dollar-Tree-Stores-Inc-Announce-Recall-of-Electronic-Musical-Toys
"BRIO Recall of Toy Trumpet",2/25/2003 ,"BRIO Recall of Toy Trumpet Recall Alert U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 February 25, 2003 Alert #03-524 CPSC, BRIO Corp. Announce Recall of Toy Trumpet PRODUCT: Toy Trumpets - The BRIO Corp., of Germantown, Wis., is voluntarily recalling about 4,000 Ambi Bird Trumpet toys. The red and blue trumpets are about 5-inches long with a yellow bird attached to the top. A yellow knob on the side of the trumpet spins the bird. The words Ambi Toys are engraved on the side of the trumpet. Back to Basics Toys, a mail order catalog, sold the trumpets nationwide from September 2001 through November 2002 for about $13. PROBLEM: A small knob on the side of the trumpet can break off, posing a choking hazard to young children. INCIDENTS/INJURIES: BRIO has not received any reports of injuries or incidents involving these toy trumpets. This recall is being conducted to prevent the possibility of injury. WHAT TO DO: Consumers should take these toy trumpets away from young children immediately and return them to BRIO for a replacement toy trumpet or another toy of equal value. For more information, consumers can contact BRIO toll-free at (888) 274-6869 between 8:30 a.m. and 5 p.m. CT Monday through Friday or visit the firm's web site at www.briotoy.com",03524,https://www.cpsc.gov/Recalls/2003/CPSC-BRIO-Corp-Announce-Recall-of-Toy-Trumpet
"Imaginarium Recalls Toy Fun Music Center",12/1/1994 ,"December 1, 1994 Release # 95-030 WASHINGTON, D.C. - CPSC, Imaginarium of Walnut Creek, Calif., is voluntarily recalling about 500 fun music center toys.The toy was identified during a joint CPSC and U.S. Customs surveillance at the port of Long Beach, Calif. CPSC testing found that the toy contained small parts that present a potential choking hazards to young children.The multicolored toy is battery operated and consists of a keyboard with eight keys, three drum heads, one cymbal, two bells, and two drumsticks. The toy has a decal labeled FUN MUSIC CENTER. The toy is 11 inches long, eight inches wide, and eight inches high. The toy is packaged in a cardboard container labeled in part, FUN MUSIC CENTER...No. 1062...MADE IN CHINA. The toy was imported from China and sold nationwide from February 1994 to November 1994 at Imaginarium retail stores for $22.95.The toy should be taken away from young children immediately and returned to the store where purchased for a full refund. Neither CPSC nor Imaginarium is aware of any injuries involving this toy; this recall is being conducted to prevent the possibility of injury",95030,https://www.cpsc.gov/Recalls/1995/Imaginarium-Recalls-Toy-Fun-Music-Center
"Toy Saxophones Recalled by Arby's",5/7/1998 ,"Toy Saxophones Recalled by Arby's NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE May 7, 1998 Release # 98-106 Company Phone Number: (800) 487-2729 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Arby's Announce Recall of Toy Saxophones WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Arby's Franchise Association of Atlanta, Ga., is voluntarily recalling about 220,000 toy saxophones distributed with Arby's Adventure Meals. The small keys and part of the mouthpiece on the saxophone could separate from the toy, presenting a potential choking hazard to young children. Arby's is not aware of any injuries involving these toys. This recall is being conducted to prevent the possibility of injury. The toy saxophone is made of orange-colored plastic. The saxophone measures about 9 inches long and has four small, finger-operated keys and a mouthpiece that are colored white. The saxophone was packaged in a plastic bag labeled in part, Musical Notes...Arby's...Adventures In Music...Made In China. The toy was distributed with Adventure Meals at Arby's restaurants nationwide from January through March 1998. Consumers should immediately take these toys away from young children and return them to their local Arby's restaurant for a free replacement toy. For more information, consumers should call Arby's Customer Relations Department at (800) 487-2729 between 8:30 a.m. and 5 p.m. EDT Monday through Friday. No other Adventures In Music toys distributed with Arby's Adventure Meals are included in this recall.",98106,https://www.cpsc.gov/Recalls/1998/CPSC-Arbys-Announce-Recall-of-Toy-Saxophones
"Toy Xylophones by Dolgencorp Recalled",11/2/2000 ,"Toy Xylophones by Dolgencorp Recalled NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE November 2, 2000 Release # 01-025 Dollar General Stores Recall Line: (800) 678-9258 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, Dolgencorp Inc. Announce Recall of Toy Xylophones Sold at Dollar General Stores WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Dolgencorp Inc., of Goodlettsville, Tenn., is voluntarily recalling about 113,000 toy xylophones. The red mallet sold with the toy xylophone can get lodged in the throats of young children, posing a choking hazard. CPSC and Dolgencorp Inc. are not aware of any injuries involving these toy xylophones. This recall is being conducted to prevent the possibility of injury. The toy xylophone is white, rectangular-shaped with a green handle and multi-colored bars including, red, yellow, green and blue. A yellow button shaped like the face of a cat is on the front of the xylophone. The mallet sold with the xylophone is red with two round balls at either end of the mallet. Writing on the box reads, BABY TOYS XYLOPHONE, TO HELP BABY LEARN AND DEVELOP, and MADE IN CHINA. Dollar General stores nationwide sold these toy xylophones from July 1998 through October 2000 for $3. Consumers should immediately take this toy away from children and return it to their local Dollar General store for a full refund. For more information, call Dollar General at (800) 678-9258 between 8 a.m. and 5 p.m. CT Monday through Friday.",01025,https://www.cpsc.gov/Recalls/2001/CPSC-Dolgencorp-Inc-Announce-Recall-of-Toy-Xylophones-Sold-at-Dollar-General-Stores
"STK International Recalls Children's Toys",8/20/2001 ,"STK International Recalls Children's Toys NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE August 20, 2001 Release # 01-221 Toy Recall Hotline: (800) 536-7855 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 CPSC, STK International Announce Recall of Children's Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), STK International, of Los Angeles, Calif., is recalling about 110,000 children's toys. The toys can break causing small balls to be released, posing a choking hazard to young children. STK International and CPSC have not received any reports of incidents. This recall is being conducted to prevent the possibility of injuries. The following information will help consumers identify the recalled children's toys: 2 PC Tambourine Set: Two tambourines consisting of a colorful plastic ring with three balls attached. Inside of the balls are beads that create a rattle sound when shaken. On each side of the tambourine is a sticker with a female cartoon character and the number 985. Bathtime Water Wheel: A multi-colored plastic toy with a suction cup base and six small cups attached to a water wheel. Made in China NO:368 is printed on the back of the water wheel. Funny Loco Wind-Up: A multi-colored train with a pig character on a sticker placed on both sides of the toy. Made in China NO:883 is printed on the back of the train. Pull Back Duck in Boat: A plastic blue and white boat with colored stickers on the side, a transparent red windshield, and white duck mounted on top of the boat. The toy also comes with a miniature fishing pole and a plastic lobster. A yellow sticker on boat reads, My Baby Products and PULLBACK DUCKS IN BOAT, MADE IN CHINA. Dollar stores nationwide sold these toys from September 1999 through May 2001 for about $1. Consumer should take the toys away from children immediately, and return them to STK International for a full refund. Consumers should call STK International toll-free at (800) 536-7855 between 8 a.m. and 5 p.m. PT Monday through Friday for information about where to send the toys. CPSC discovered the violations during an inspection of the company's warehouse.",01221,https://www.cpsc.gov/Recalls/2001/CPSC-STK-International-Announce-Recall-of-Childrens-Toys
"The Dollywood Company Recalls Plastic Rattle & Flute Toy Due To Choking Hazard",9/8/1992 ,"September 8, 1992 Release # 92-136 The Dollywood Company Recalls Plastic Rattle and Flute Toy Due To Choking Hazard PRODUCT: The Dollywood Company Plastic Rattle and Flute toy model number 42979. The toy was sold at retail stores in The Dollywood Company amusement complex at Pigeon Forge, TN. PROBLEM: The mouthpiece on the flute part of the toy and the black balls on the drum part of the toy may come off, presenting a potential choking hazard for young children. WHAT TO DO: Consumers should immediately discontinue use and mail the toy back to The Dollywood Company for a full refund, including postage. The mailing address is: The Dollywood Company, 1040 Dollywood Lane, Pigeon Forge, TN 37863. For more information, consumers may call The Dollywood Company at (615)428-9445. WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), The Dollywood Company of Pigeon Forge, TN is voluntarily recalling 4,770 Plastic Rattle and Flute toys model number 42979. When CPSC tested the product, the mouthpiece of the flute and a black ball attached to the drum of the rattle/flute toy came off presenting a potential choking hazard for young children. The product consists of a whistle at one end and a hand-drum at the other end. The complete toy measures 7-1/2 inches long. The whistle portion resembles a flute; a small puff of air at or near the mouthpiece of the flute causes a whistle sound. When the gray wand inserted through the clear plastic chamber of the flute is pulled up or pushed down, different sounds are made. The drum was sold in different colors with two black balls 1/2-inch in diameter each hanging on the end of a string secured to the side of the drum. When the rattle/flute toy is twisted back and forth or shaken, the balls hit the sides of the drum and make a noise. The word Dollywood is written on a white sticker in the middle of the drum; embossed on the drum are the letters R.O.C. The rattle/flute toy, imported by The Dollywood Company from China, was sold from April 1991 through June 1992 at retail stores in The Dollywood Company amusement complex in Pigeon Forge, TN. The rattle/flute toys sold for $2.49 each. Consumers are urged to take the rattle/flute toys away from young children immediately and mail to: The Dollywood Company, 1040 Dollywood Lane, Pigeon Forge, TN 37863. Consumers will receive a full refund, including reimbursement for postage. For more information about this recall, consumers may contact The Dollywood Company at (615) 428-9445. This voluntary recall is being conducted to prevent the possibility of injury. Neither CPSC nor Dollywood is aware of any injuries involving this product. The potentially hazardous rattle/toy was identified at the Port of Knoxville, TN during a joint CPSC/U.S. Customs surveillance program. CPSC is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. The Commission's objective is to reduce the estimated 28.5 million injuries and 21,600 deaths associated each year with the 15,000 different types of consumer products under CPSC's jurisdiction",92136,https://www.cpsc.gov/Recalls/1992/The-Dollywood-Company-Recalls-Plastic-Rattle--Flute-Toy-Due-To-Choking-Hazard
"Pooh Poppin'Piano Toys Recalled by Tiger Electronics",8/5/1999 ,"Pooh Poppin'Piano Toys Recalled by Tiger Electronics NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued August 5, 1999, Revised October 24, 2002 Release # 99-153 Company Phone Number: (800) 844-3733 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 Tiger Contact: Marc Rosenberg, (847) 913-8100 Note: phone number change CPSC, Tiger Electronics, Ltd. Announce Recall to Replace Pooh Poppin' Piano Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Tiger Electronics, Ltd., of Vernon Hills, Ill., is voluntarily recalling to replace approximately 202,000 Pooh Poppin' Piano toys. The green leafy top section of the carrot-shaped microphone attached to the piano toy can break off, posing a choking hazard to young children. Tiger has received three reports of the leafy top of the microphone breaking off. There are no reports of injuries. Only pianos with serial numbers starting with WT or CO15D are part of this program. The serial number is printed in two places: on a small label located inside the battery compartment, and on the bottom of the retail package. The piano toy is mostly lime green with eight characters from the Winnie the Pooh series that move up and down in response to pressing down corresponding piano keys. The orange and green microphone attaches to the piano with a short cord that amplifies sound. The toy announces eight color names, and plays piano sounds and eight pre-programmed children's songs. Toy and discount department sold these toys nationwide from August 1997 through August 1999 for about $20. Parents and caregivers should take these toys away from children immediately, and contact Tiger for instructions on returning it for a free replacement Pooh Poppin' Piano toy. For more information, call Tiger toll-free at (800) 844-3733 anytime, or go to their web site at www.game.com/tigertoys/recall.htm. Consumers can also view a video clip about this recall (Transcript). It is about 13 megabytes long and the download time depends upon the speed of your Internet connection.",99153,https://www.cpsc.gov/Recalls/1999/CPSC-Tiger-Electronics-Ltd-Announce-Recall-to-Replace-Pooh-Poppin-Piano-Toys
