Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Speed Wheels Riding Toy Repair by Schaper Manufact.",4/20/1988 ,"Speed Wheels Riding Toy Repair by Schaper Manufact. NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE April 20, 1988 Release # 88-023 Repair Offered For Schaper Manufacturing Co. Speed Wheels Riding Toy WASHINGTON, D.C. -- Schaper Speed Wheels ride-on toys, which have been associated with eight incidents of laceration or fingertip severance, are the subject of a repair program announced today. In cooperation with the U.S. Consumer Product Safety Commission, Tyco Toys, Inc., Mt. Laurel, NJ is offering a free guard kit for approximately 25,000 1986 models sold without guards. Tyco Toys, Inc. purchased the Schaper Manufacturing Company's toy business in 1986. Schaper, of Minneapolis, MN, originally designed and manufacturerd the toy. Injuries have resulted from entrapment of children's fingers between the pedal bar and the body of the toy. This corrective action program applies only to 1986 (Schaper Model No. 61106) models sold without guard kit. Other toys distributed by Tyco Toys, Inc. are not affected. Owners of this model should call Tyco at its toll-free number, 800-257-7728 (in New Jersey, call 800-322-8011). They may also write: Speed Wheels Corrective Action Program Tyco Toys, Inc. 540 Glen Avenue Moorestown, NJ 08057",88023,https://www.cpsc.gov/Recalls/1988/Repair-Offered-For-Schaper-Manufacturing-Co-Speed-Wheels-Riding-Toy
"Aprica Ride-On Toy Recalled",12/11/1991 ,"December 11, 1991 Release # 92-031 Aprica Ride-On Toy Recalled WASHINGTON, DC -- In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Aprica Kassai U.S.A., Inc., Aneheim, CA is voluntarily recalling approximately 400 Aprica Rockin Rollin Rider toys (Model No. 92090) because of reports that children have fallen from the toy. Aprica reported incidents of the toy tipping over and of children falling off the toy. The Rockin Rollin Rider is a wheeled ride-on toy car that can be converted to a rocking toy or a push-walker. The toy was sold nationwide during 1991 for approximately $110-$120. The name Aprica appears in white lettering on both sides of the ride-on car and is molded into the bottom of the yellow plastic rocker base. Consumers who have the Rockin Rollin Rider should stop use immediately and return it to the retailer for a full refund. The U.S. Consumer Product Safety Commission is announcing this recall as part of its mission to protect the public from unreasonable risks of injury and death associated with consumer products. Some 15,000 different types of consumer products fall within the Commission's jurisdiction",92031,https://www.cpsc.gov/Recalls/1992/Aprica-Ride-On-Toy-Recalled
"CPSC, Tek Nek Toys Announce Recall of Ride-On Toys",4/14/2004 ,"The ride-on toys were sold under five model names including Butterfly Girl, Fire Rescue, Mermaid, Police Car, and Tonka Construction Crew. The toys can be used as a ride-on or push walker toy, with a handle on the back of the seat rest. These toys were sold for children ages 1 to 3 years old. On the dash of the ride-on toys are buttons which produce sounds when activated. The recalled Ride-on vehicles have a date code from 20021127 to 20030319. The date code is located in the battery compartment located on the top panel next to the steering wheel.",04119,https://www.cpsc.gov/Recalls/2004/CPSC-Tek-Nek-Toys-Announce-Recall-of-Ride-On-Toys-
"Replacement Of On Switch Offered For Big Wheel Battery-Operated Riding Toy",6/27/1989 ,"June 27, 1989 Release # 89-061 Replacement Of On Switch Offered For Big Wheel Battery-Operated Riding Toy WASHINGTON, D.C. -- Empire of Carolina, Inc., Tarboro, North Carolina is offering to replace the ON switch for approximately 39,000 battery-operated, Big Wheel-ride-on toys sold nationwide from 1986 through 1988. The ON switch can overheat and may burn a child's hand or may become stuck causing loss of control of the riding toy.Empire and the U.S. Consumer Product Safety Commission are aware of five instances in which the switch overheated or burned out, and one incident in which the switch stuck in the ON position and the operator was unable to stop the riding toy. Two of the incidents involved minor burns from contact with the overheated switch.Battery-operated, Big Wheel toys by Empire are three-wheel, ride-on toys which come in several models: Kawasaki KLT 250 Prairie Big Wheel (item numbers 1215, 1220, and 1223) and Sweet- Tee-Nuff Big Wheel-(item number 1221). All models are decorated with decals which read either Kawasaki or Sweet-Tee- Nuff. The models are also marked by decals which read Electric Rechargeable. NOTE: Kawasaki permits the use of its name, but is not the manufacturer of the product.The ON switch of the riding toy is located on the handlebar and is pushed down to drive the toy. The toy should stop when the push button is released. The riding toy can travel up to five mph.Consumers should immediately discontinue using the battery- operated Big Wheel riding toy until the switch is replaced. Empire of Carolina will send a new switch and handlebar free of charge to all owners. This repair is necessary even for a previously replaced switch. owners should call Empire of Carolina toll-free at 1-800-334-5666. In North Carolina, owners should call collect: 919-823-4111. owners should have the model name and number of their toy ready when calling. Owners may also write for their new switch to: EMPIRE CAMPAIGN, c/o Empire of Carolina, Inc., P.O. Box 427, Daniel Street Extension, Tarboro, North Carolina 27886",89061,https://www.cpsc.gov/Recalls/1989/Replacement-Of-On-Switch-Offered-For-Big-Wheel-Battery-Operated-Riding-Toy
"Probe VI Riding Toy Repair by Hedstrom",7/11/1988 ,"Probe VI Riding Toy Repair by Hedstrom NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued July 7, 1988 Revised October 21, 2004 Release # 88-046 Note: Firm out of business. Consumers should discard or destroy the products to prevent injuries. Hedstrom Makes Second Appeal for Repair of Riding Toy ATV WASHINGTON, D.C. -- Hedstrom Corporation of Bedford, Pa., again warned consumers to obtain a free repair kit for the company's Probe VI battery-powered toy all-terrain vehicle following reports to government safety experts that three more riding toys have caught fire or smoked. Hedstrom first announced availability of the repair kit last December, but consumer response has been slow. According the U.S. Consumer Product Safety Commission, there have been 11 reported incidents of the six-wheeled toy ATVs catching fire. Serious personal injury or property damage could result if the riding toys are not modified with the repair kit to reduce the risk of fire. Hedstrom said affected riding toys may be identified by checking the model label on the front underside of the plastic body. Models subject to the repair program, all of which do not contain fuses, are 67-3890, 67-3891, 67-3892, 67-3893 and 67- 38931. The label shows a manufacturing date prior to June, 1985, after which the company added fuses to the wiring harness. All riding toys equipped with fuses are not subject to the repair program. Consumers having any of the affected Hedstrom Probe VI - riding toys should immediately stop using the toy and discard or destroy the toy.The firm is out of business and a remedy is no longer available. The ones manufactured prior to June 1985 can catch fire because they do not have fuses. Models affected are: 67-3890 67-3891 67-3892 67-38921 67-3893 67-38931 with dates of manufacture prior to June 1985, as shown on the model identification label.",88046,https://www.cpsc.gov/Recalls/1988/Hedstrom-Makes-Second-Appeal-for-Repair-of-Riding-Toy-ATV
"Toy ATV's Recalled by Pines",7/3/1985 ,"Toy ATV's Recalled by Pines NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: Firm is out of business. Do not use these products. Please discard or destroy these products. FOR IMMEDIATE RELEASE Originally issued July 3, 1985, Revised July 10, 2001 Release # 85-035 Battery Operated Toy ATV's Recalled WASHINGTON, D.C. -- Pines of America Inc., a toy manufacturer located in Fort Wayne, Indiana, is out of business. Owners of the ATV Trailblazer - Model No. PP9083 are to discontinue use immediately. The ATV Trailblazer is a battery operated ride-on toy motorcycle for children ages 4-7. It sold for approximately $99.00. Pines had learned that under certain circumstances a short circuit can occur in the battery wiring harness. Pines of America was aware of 30 reports of incidents involving a short circuit, which have resulted in overheating at the battery harness location. While no injuries have been reported as a result of the overheating, consumers owning this toy are requested to discontinue use immediately. The problem applies only to the ATV Trailblazers -Model PP9083 produced between July 21, 1983 and April 16, 1984 and not to any other Pines' Riding Toys. The affected model can be identified by a decal on the rear of the toy which designates the name Trailblazer. Further information on this recall can be obtained by calling the Consumer Product Safety Commission's toll-free Hotline at 800-638-CPSC. A teletypewriter number for the hearing-impaired is (301) 595-7054. Pines of America Battery Operated ATV Trailblazer, Model No. PP9083",85035,https://www.cpsc.gov/Recalls/1985/Battery-Operated-Toy-ATVs-Recalled
"CPSC, Far East Brokers and Consultants Inc. Announce Recall of Kiddie Car Cruisers Sold Exclusively at Big Y Stores",6/9/2004 ,"The Kiddie Car Cruiser is a battery-operated ride-on toy car that measures about 27 inches high by 30 inches wide and 44 inches long. Turbo and Cruiser are printed on labels on the side of the ride-on toys.",04555,https://www.cpsc.gov/Recalls/2004/CPSC-Far-East-Brokers-and-Consultants-Inc-Announce-Recall-of-Kiddie-Car-Cruisers-Sold-Exclusively-at-Big-Y-Stores
"Pop 'n Scoot Ride-on Toys Recalled by Little Tikes",6/12/2002 ,"Pop 'n Scoot Ride-on Toys Recalled by Little Tikes NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE Originally issued June 12, 2002, Revised April 30, 2007 Release # 02-175 Company Telephone Number: (800) 321-0183 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: Nychelle Fleming, (301) 504-7063 Little Tikes Media Contact: Laurie Yingling, (330) 650-3489 Note: Revised Telephone Number. CPSC, Little Tikes Announce Recall of Pop 'n Scoot Ride-on Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), The Little Tikes Company, of Hudson, Ohio, is voluntarily recalling about 21,400 Pop 'n Scoot Ride-on toys. Young children who lean forward can fall forward over the handlebars, causing facial injuries. Little Tikes has received 10 reports of children falling forward over the toy's handlebars. Seven injuries to children include damaged teeth, stitches to the chin, cuts and scratches to the mouth and face. The Pop 'n Scoot Ride-on toy is made of molded plastic with a clear dome filled with colorful beads attached to the handlebars. The riding toys have a yellow body, a red seat and red handlebars with blue hand grips. The identification number 32922XX 1 is molded on the underside of the ride-on body. The model number 1568-01 and Made In U.S.A. is molded on the bottom of the storage area below the red seat. The product was sold for children age 9 months to 36 months old. Toy stores nationwide sold the riding toys from March 2001 through May 13, 2002 for about $20. Consumers should stop using the toys immediately and contact Little Tikes at www.littletikes.com or call (800) 321-0183 anytime to receive a Little Tikes replacement product.",02175,https://www.cpsc.gov/Recalls/2002/CPSC-Little-Tikes-Announce-Recall-of-Pop-n-Scoot-Ride-on-Toys-
"Trolley-Ride Toys To Be Repaired",2/11/1980 ,"February 11, 1980 Release # 80-003 Trolley-Ride Toys To Be Repaired WASHINGTON, D.C. (February 11) -- A program to repair approximately 35,000 Fun Ride Trolley Ride toys which may seriously injure children is being conducted by the toy's manufacturer, Davis-Grabowski, Inc., of Miami, Florida. The company is conducting the voluntary program in cooperation with the U.S. Consumer Product Safety Commission (CPSC). The toy features four components: the trolley, which consists of two pulley-like grooved wheels encased within a plastic housing which supports two plastic handles; a 35-foot cable of either a single wire or seven intertwined strands of wire; and two clamps which serve to fasten the suspended cable around two tree trunks or posts. Once the cable is suspended, a child can propel himself along the cable by gripping the trolley's two handles. Although the toy is advertised as being capable of supporting an adult's weight, CPSC staff has been informed of nine incidents in which the cable broke under the weight of children and one incident in which it snapped under an adult's weight. These accidents reportedly resulted in concussions to a 9-year-old girl, and a 42-year-old woman, back injuries to a 10-year-old girl, and minor cuts and bruises to two other children. The trolley-ride toys were manufactured between January, 1976, and June, 1979. They have sold nationwide for approximately $15.00 in retail stores and are packaged in boxes labeled with the model number 30/1000. The manufacturer has agreed to mail consumers a free stranded cable to replace the single-wire cable, along with additional clamps to replace those sold with the toy. Anyone whose toy already includes the stranded cable will receive two additional clamps. The stranded cable and clamps can be obtained by writing to: Davis-Grabowski, Inc., P.O. Box 381594, 74 N.E. 74th Street, Miami, Florida, 33138. Consumers should include their names and addresses and specify the type of cable sold with their toy (whether single or stranded wire). Anyone requiring additional information about this program should contact CPSC's toll-free Hotline at 800-638-2772",80003,https://www.cpsc.gov/Recalls/1980/Trolley-Ride-Toys-To-Be-Repaired
