Disclaimer: CPSC does not guarantee the accuracy, completeness, or adequacy of the contents of the Publicly Available Consumer Product Safety Information Database on SaferProducts.gov, particularly with respect to information submitted by people outside of CPSC.
Title,Date,Summary,Recall Number,Recall URL
"Small World Toys Recalls Toy Vehicles for Choking Hazard",7/5/2006 ,"IQ Baby Pillow Soft Activity Blocks are a set of 19 foam, cloth-covered blocks of various shapes with a plastic carrying case. Two of the blocks are car-shaped and have four 1-inch diameter plastic wheels with a black and white bull's eye pattern. Some cars have tags or labels that say IQ Baby. IQ Baby Travelin' Train Blocks are a set of four brightly patterned stuffed cloth-covered vehicles, an engine and three cars that attach to each other with Velcro® connectors. Each piece is about 4 inches long, 2½ inches wide, and 3 inches tall, and has four 1-inch diameter plastic wheels with a black and white spoke pattern. Some pieces have tags or labels that say IQ Baby. IQ Baby and Discovery Channel Vroom Vroom Vehicles are sets of six soft, stuffed, brightly colored trucks that come in a plastic carrying case. Each truck is about 5 inches long, 3 inches tall, and 2½ inches wide and has four 1-inch diameter plastic wheels with a black and white bull's eye pattern. Some of the trucks in the sets have labels that read IQ Baby or Discovery Channel.",06203,https://www.cpsc.gov/Recalls/2006/Small-World-Toys-Recalls-Toy-Vehicles-for-Choking-Hazard
"CPSC, Kmart Corp. Announce Recall of Wooden Toy Vehicles",12/26/2002 ,"The recalled wooden vehicles include a red wagon, truck and train and were packaged with candy. The following UPC codes are located on the bottom of the vehicles: 694405900012 (wagon), 694405900029 (truck), and 694405900036 (train).",03065,https://www.cpsc.gov/Recalls/2003/CPSC-Kmart-Corp-Announce-Recall-of-Wooden-Toy-Vehicles-
"CPSC, International Playthings Inc. Announce Recall of Toy Vehicles",5/22/2003 ,"May 22, 2003Release # 03-127 Company Phone Number: (800) 445-8347 CPSC Consumer Hotline: (800) 638-2772 CPSC Media Contact: (301) 504-7908 CPSC, International Playthings Inc. Announce Recall of Toy Vehicles WASHINGTON, D.C. - The U.S. Consumer Product Safety Commission announces the following recall in voluntary cooperation with the firm below. Consumers should stop using recalled products immediately unless otherwise instructed. It is illegal to resell or attempt to resell a recalled consumer product. Name of product: Toy Vehicles Units: 126,000Manufacturer: International Playthings Inc., of Parsippany, N.J.Hazard: Small parts on the vehicles can detach, posing a choking hazard to young children.Incidents/Injuries: International Playthings has received one report of small parts detaching. No injuries have been reported.Description: The Viking Mini Chubbies are toy wagons, tractors, helicopters, cars, airplanes, and jeeps. The toys measure about 3-inches long and were sold in red, blue and yellow. Model numbers are printed on the bottom of the toy. Models included in the recall are AW01119, AW41111, AW61005 and AW81119. Sold at: Specialty toy stores nationwide sold these toys from April 2002 through March 2003 for about $1. Manufactured in: ThailandRemedy: Consumers should contact the company for information on receiving a replacement toy. Consumer Contact: International Playthings toll-free at (800) 445-8347 anytime or visit the firm's Web site at www.intplay.com/recall.htmMedia Contact: Sue Tice at (973) 316-2500 ext. 232 or sue.tice@intplay.com",03127,https://www.cpsc.gov/Recalls/2003/CPSC-International-Playthings-Inc-Announce-Recall-of-Toy-Vehicles-
"Weebles Tractor Toys Recall by Playskool",4/16/1994 ,"Weebles Tractor Toys Recall by Playskool NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 Note: phone number change FOR IMMEDIATE RELEASE CONTACT: Nychelle White Originally issued April 16, 1997, Revised October 24, 2002 (301) 504-7063 Release # 97-103 CPSC, Playskool Announce Recall of Weebles Tractor Toys WASHINGTON, D.C. - In cooperation with the U.S. Consumer Product Safety Commission (CPSC), Playskool of Pawtucket, R.I., is voluntarily recalling over 116,000 Weebles Tractor toys (item number 5242). The red plunger located on top of the toy can crack and break apart, presenting a potential choking hazard to young children. Playskool has received 42 reports of the toy's plunger cracking or breaking apart. One minor non-choking injury has been reported. The Weebles Tractor is a plastic toy recommended for children 9 months old and up. The tractor comes with a colorful farm girl weeble and detachable trailer. The tractor is mainly yellow with blue wheels and a red plunger, and the detachable trailer is mainly red with blue wheels. The tractor rolls along the floor and the weeble spins when the red plunger is pushed. Item number 5242 is imprinted into the bottom of the tractor. Major toy stores and mass merchandise outlets nationwide have sold the toys since January 1996 for about $13. Consumers should take the toys away from young children immediately and call Playskool toll-free at (800) 752-9755 for a free replacement.",97103,https://www.cpsc.gov/Recalls/1997/CPSC-Playskool-Announce-Recall-of-Weebles-Tractor-Toys
"CPSC, Mattel, Inc. Announce Recall of BATMAN™ BATMOBILE™ Toy Vehicle",4/14/2004 ,"The recalled BATMAN™ BATMOBILE™ toy car is a 20-inch blue and gray plastic vehicle with a detachable motorcycle. Model number B4944 is written on the bottom of the toy vehicle.",04118,https://www.cpsc.gov/Recalls/2004/CPSC-Mattel-Inc-Announce-Recall-of-BATMAN-BATMOBILE-Toy-Vehicle-
"Toy Airplanes, Cars, and Motorcycles Recalled by S.U. Wholesale Due to Violation of Lead Paint Standard",3/12/2008 ,"The X Force Commander is a set of six plastic jet airplanes. Item number 5689 is printed on the front of the packaging. The airplanes are painted green, red, blue, silver, black and yellow. The Super Famous is a set of a plastic toy car and a motorcycle. The car is yellow or red and the motorcycle is gray.",08219,https://www.cpsc.gov/Recalls/2008/Toy-Airplanes-Cars-and-Motorcycles-Recalled-by-SU-Wholesale-Due-to-Violation-of-Lead-Paint-Standard
"Battlestar Galactica space toys Replaced by Mattel",1/11/1979 ,"Battlestar Galactica space toys Replaced by Mattel NEWS from CPSC U.S. Consumer Product Safety Commission Office of Information and Public Affairs Washington, DC 20207 FOR IMMEDIATE RELEASE January 11, 1979 Release # 79-001 Mattel Announces Toy Replacement Program HAWTHORNE, CALIF. (January 11) -- Mattel, Inc., in cooperation with the U.S. Consumer Product Safety Commission (CPSC), today announced that it has voluntarily initiated a Missile Mail-In campaign to reduce the possibility of accidents which might occur in connection with four of its Battlestar Galactica space toys. Each of the four toys is sold with a set of small red plastic missiles which can be launched from each toy. Although all of the products meet or exceed all existing and ration proposed safety standards, there have been instances of accidental swallowing or aspiration of a missile including one reported death of a four-year-old child. The Missile Mail-In plan offers parents and children the opportunity to mail all of their remaining small 1-1/4 inch red plastic missiles to Mattel and receive in return a free Hot Wheels car. Missiles should be mailed to: Mattel Mail-In P.O. Box 813 Hawthorne, California 90250, along with the consumer's name and address. To encourage immediate response, this program will expire on March 1, 1979. The missiles accompany Mattel's Colonial Viper (No. 2531), Colonial Scarab (No. 2534), Colonial Stellar Probe (No. 2533), and Cylon Raider (No. 2532) space vehicles. Mattel and the Consumer Product Safety Commission stated that the Mail-In program was initiated to remove the possibility of an accident and to inform parents of the need to caution children regarding small objects of any type which might be put in the mouth. At the same time, the offer of a free Hot Wheels miniature car is intended to compensate for any loss of play value due to return of the missiles. In addition to the mail program, Mattel announced that it has redesigned the four Battlestar Galactica toys for 1979 so that, missiles cannot be launched from the body of the toys. Retail and wholesale inventories of the 1978 product are currently being exchanged for the redesigned toys. For further information, consumers may call Mattel toll-free on 800/421-2826; California residents call collect to 213/644-2752. Letters may be addressed to Mattel, Inc., at 5150 Rosecrans Avenue, Hawthorne, California 90250. To verify model numbers, consumers can call the toll-free CPSC Hotline on 800/638-2772.",79001,https://www.cpsc.gov/Recalls/1979/Mattel-Announces-Toy-Replacement-Program
"Mattel Puts Safety Labels On Toys",12/8/1978 ,"December 8, 1978 Release # 78-102 Mattel Puts Safety Labels On Toys WASHINGTON, D.C. (Dec. 8) -- Mattel, Inc., Hawthorne, California, in cooperation with the U.S. Consumer Product Safety Commission (CPSC) today announced that it has initiated a voluntary program of attaching labels on warehouse inventories of certain of its Battlestar Galactica line of space toys. The label states: Caution: Do Not Point Or Fire Red Missiles Into Mouth Or Toward Face. The small red missiles are sold with Mattel's Colonial Viper (No. 25311, Colonial Scarab (No. 25341, Colonial Stellar Probe (No. 2533), and Cylon Raider (No. 2532) space vehicles and each is equipped to launch the missiles. Mattel emphasizes that the products meet or exceed all existing and proposed product safety standards. The action is being taken in response to reports of three accidents involving the products. In each case, a child swallowed or aspirated a red missile, received medical treatment and was released. Mattel and the Consumer Product Safety Commission remind parents that small pieces are found in many manufacturers' toys and games intended for older children. Parents should caution children against putting small objects of any type in their mouths even in fun and should insure that small pieces from older children's toys are kept away from younger brothers and sisters. For further information, consumers may call Mattel toll-free on 800/421-2826; California residents call collect to 213/644-2752. Letters may be addressed to Mattel, Inc. at 5150 Rosecrans Avenue, Hawthorne, California 90250",78102,https://www.cpsc.gov/Recalls/1978/Mattel-Puts-Safety-Labels-On-Toys
"Redcat Racing Recalls Remote Controlled Toy Vehicles Due to Remote Control Defect",7/1/2008 ,"The recalled remote controls were included in the remote cars as shown below. These cars were sold in a variety of colors. The model name and numbers are located on the body of the vehicle or on the retail packaging: Model Description Model Number Hurricane XP (1/8 Road Buggy) Green/Flame HURRICANEXP-GF Orange/Black HURRICANEXP-OB Orange/Flame HURRICANEXP-OF Yellow/Flame HURRICANEXP-YF Hurricane XP Pro(1/8 Road Buggy) Green/Flame-Blue Aluminum HURRICANPRO-GF Silver-Blue Aluminum HURRICANPRO-SB Yellow/Flame-Blue Aluminum HURRICANPRO-YF Avalanche XP (1/8 Off Road Truck) Blue/Yellow AVALANCHEXP-94087-BY Red/Green AVALANCHEXP-94087-RG Red AVALANCHEXP-94087-R Monsoon XP (1/8 Off Road Truggy) Blue/Yellow MONSOONXP-94085-BY Red/White/Blue MONSOONXP-94085-RWB Red/Yellow MONSOONXP-94085-RY Tsunami Ultrawide (1/10 Truggy) Blue/Flame TSUNAMIUW-BF-94110W Red/Flame TSUNAMIUW-RF-94110W",08318,https://www.cpsc.gov/Recalls/2008/Redcat-Racing-Recalls-Remote-Controlled-Toy-Vehicles-Due-to-Remote-Control-Defect
