,report_no.,report_date,sent_to_manufacturer/importer/private_labeler,publication_date,category_of_submitter,product_description,product_category,product_sub_category,product_type,product_code,manufacturer/importer/private_labeler_name,brand,model_name_or_number,serial_number,upc,date_manufactured,manufacturer_date_code,retailer,retailer_state,purchase_date,purchase_date_is_estimate,incident_description,city,state,zip,location,(primary)_victim_severity,(primary)_victim's_sex,my_relation_to_the_(primary)_victim,(primary)_victim's_age_(years),submitter_has_product,product_was_damaged_before_incident,damage_description,damage_repaired,product_was_modified_before_incident,have_you_contacted_the_manufacturer,if_not_do_you_plan_to,answer_explanation,company_comments,associated_report_numbers,asin_in_report,query,search_result
1427,20110718-34E6D-1192035,7/18/2011 ,3/11/2014 ,8/26/2011 ,Consumer,Century Racer cars,Toys & Children,Toys,Toy Vehicles (Excluding Riding Toys) (5021),5021,RHODE ISLAND NOVELTY,Century,L2265,unknown,616591239080,,,Mille Lacs- Gurio Gift Shop,Minnesota,7/16/2011 ,No,"Consumer stated that she purchased the racer cars and when she opened the package she noticed that it was broken, because it was made from brittle plastic which can cause serious injury.  She stated that the plastic when it broken leaves sharp edges.Consumer feels that this toy is unsafe for any age range and should not be sold on the market.Consumer had not contacted manufacturer.",Garrison,Minnesota,56450,Home/Apartment/Condominium,"Incident, No Injury",Female,Unspecified,,Yes,Yes,,,No,No,No,"Consumer is unsure who to contact, has only contacted the store owner",,,,Century L2265 Century Racer cars,"[{'name': '37649 New Century Racer', 'asin': 'B001CEH2DG', 'score': 72.22222222222223}, {'name': 'Buick Century California Highway Patrol', 'asin': 'B005OQNPRA', 'score': 45.16129032258065}]"
1789,20110321-2E7AA-2147481168,3/21/2011 ,,4/11/2011 ,Consumer,"Bravo Sports, of Santa Fe Springs, Calif.Twin Stick Pogo046HE",Toys & Children,Toys,Pogo Sticks (1310),1310,BRAVO SPORTS,,,,,,,kmart,Georgia,12/24/2010 ,Yes,Bottom of stick came apart.,,,,Unspecified,,,,,Yes,No,,,No,No,No,," Thank you for transmitting this to us.  We would like to follow up with this customer, but are unable to without the contact information.  This product issue described is the subject of a recall announced on March 16, 2011.",,,"  Bravo Sports, of Santa Fe Springs, Calif.Twin Stick Pogo046HE","[{'name': 'Bravo Sports Pop Stick Pogo', 'asin': 'B005QNYGYC', 'score': 57.89473684210526}, {'name': 'Santa Fe Springs California CA', 'asin': 'B0966FG2RY', 'score': 54.94505494505494}, {'name': 'Bravo Sports Disney Minnie Skates', 'asin': 'B07PZK7HKY', 'score': 44.680851063829785}, {'name': 'bravo sports shade folding beach', 'asin': 'B009L4LQHC', 'score': 36.55913978494624}, {'name': 'Mytee Products 40 Air Electric', 'asin': 'B075LTPSBH', 'score': 24.175824175824175}]"
2123,20170628-7B636-2147399345,6/28/2017 ,8/24/2017 ,1/2/2018 ,Consumer,Fidget spinner. The kind that has 3 bearings.,Toys & Children,Toys,"Toys, Not Elsewhere Classified (1381)",1381,Zekpro,Zekpro,The anti-anxiety 360 spinner (gold blue),,,,,Amazon,,4/30/2017 ,No,"My 6 year old daughter was lying on the couch spinning her fidget spinner when 1 of the bearings flew out, hit her chest and sling shotted to the back of her throat. She choked initially and just as her dad turned her around to do the Heimlich maneuver, she said it went into her belly. We rushed her to the ER. The doctor did X-rays and decided to try and let it pass. After 3 days more X-rays were done and the spinner had not passed through her stomach. It was decided the spinner needed to come out because it was too big to pass. She was scheduled to have it removed at St. Paul children's hospital with a pediatric GI doctor. They ordeal lasted 5 days and was traumatizing for my daughter (and her parents).",Hermantown ,Minnesota,55811,Home/Apartment/Condominium,Injury - Emergency Department Treatment Received,Female,My Child,6.0,Yes,Yes,,No,No,Yes,,"When my daughter dropped the fidget spinner the very first time, it cracked allowing the bearing to fall out. I contacted the company to ask them if the item contained lead.",,,,Zekpro The anti-anxiety 360 spinner (gold blue) Fidget spinner. The kind that has 3 bearings.,"[{'name': 'Zekpro Anti Anxiety Spinner Focusing Tri Spinner', 'asin': 'B071RQ5XBF', 'score': 46.51162790697674}, {'name': 'Zekpro Official Anti Anxiety Titanium Focusing', 'asin': 'B07BP3VQQ8', 'score': 40.0}, {'name': 'Spinners Stainless Bearing Spinner Relieves', 'asin': 'B0DCW5FYPV', 'score': 40.90909090909091}, {'name': 'Spinners Stainless Bearing Anxiety Relieves', 'asin': 'B0CD856X1W', 'score': 42.42424242424242}, {'name': 'Fidget Spinner Fidgets Relaxing Anti Anxiety', 'asin': 'B0BNV3NQVT', 'score': 48.1203007518797}, {'name': 'Anti Anxiety Focusing Relieves Electronix Express', 'asin': 'B073RNGPWC', 'score': 33.33333333333333}, {'name': 'Zhanmai Anti Anxiety Focusing Spinning Metallic', 'asin': 'B097PZ3QBP', 'score': 39.705882352941174}, {'name': 'Spinner Trispinner Spinners Fidgeting Restless', 'asin': 'B08HWF2F9F', 'score': 47.407407407407405}]"
1656,20240209-D2AF9-4607683,2/9/2024 ,4/2/2024 ,4/23/2024 ,Consumer,Latex balloons,Toys & Children,Toys,Balloons (Toy) (1347),1347,"Jiangmenshi Kedi Trading Co., LTD",Power Balloon,,,,,,Amazon.com,,,No,"This product is being used in her preschool.  She believes that the latex balloon should be labeled for ages 8 and up.Many of the sellers list balloon toys for sale online and most that she viewed were for ages 3 and up.  She looked at the product’s packaging and saw a small whistle, which she believes kids could choke on.She read information that indicated latex balloons should be intended for ages 8 & up.",,,,School,"No Incident, No Injury",Female,Self,,Yes,No,,,No,No,No,The consumer has the product.,,,,Power Balloon  Latex balloons,"[{'name': 'Treasures Gifted Power Rangers Balloon', 'asin': 'B0CDDWK488', 'score': 63.41463414634146}, {'name': 'Treasures Gifted Power Rangers Balloon', 'asin': 'B0CDDKZV2D', 'score': 63.41463414634146}, {'name': 'Pioneer National Funsational Balloons Assorted', 'asin': 'B07F916T4R', 'score': 43.24324324324324}, {'name': 'Pioneer National Latex Princess Balloons', 'asin': 'B0017U62L8', 'score': 61.76470588235294}, {'name': 'Power Rangers Ninja Steel Balloons', 'asin': 'B0713TTD59', 'score': 61.29032258064516}, {'name': 'Balloons Multicolor Celebrate Birthday Christmas', 'asin': 'B07PM7M5Z6', 'score': 44.73684210526316}, {'name': 'Amscan 115909 1 Latex Balloons Powder', 'asin': 'B07XZHQFNT', 'score': 58.46153846153846}, {'name': 'Solid Color Latex Balloons Powder', 'asin': 'B00BUQD7RQ', 'score': 68.85245901639344}]"
1864,20130301-5255E-2147458337,3/1/2013 ,3/14/2013 ,3/28/2013 ,Consumer,"More ammo and more distance, Xploderz® creates ammo strong enough to shoot huge distances, yet soft enough to disintegrate on impact. •Manufacturer's Suggested Age: 8 Years and Up•Features: Pump Handle, Simple loading mechanism, Quick-draw Refill•Maximum Firing Distance: 100.0 •Includes: Toy Ammunition•Material: Plastic•Dimensions: 24.0  L •Care and Cleaning: Wipe Clean With a Damp Cloth",Toys & Children,Toys,Toy Guns With Projectiles (1399),1399,The Maya Group Inc,Xploderz X2 Retaliator 2000,X2 Retaliator 2000,,087110227,,,Target,,2/26/2013 ,No,"I purchased X2 Retaliator 2000 for my 11 year old son.  My son sustained a welt on his skin after the toy was accidentally fired at him.  The safety information in the product package and on the company website indicates the following:Can the Ammo hurt or injure someone?•No. The ammo might sting but it will not cause injuries. Still, you should not fire your weapon at someone’s face or eyes. If it hits a hard surface it will normally break apart on impact, breaking down into a soft gel. In my opinion this is an injury and not something that might sting.  It more than stung my son when he was hit with the ammo.  The welt was left after the ammo hit him through his shirt, pants, and underwear.",South Windsor,Connecticut,06074,Home/Apartment/Condominium,Injury - First Aid Received by Non-Medical Professional,Male,My Child,11.0,No,No,,,No,Yes,,I have contacted the manufacturer who wrote the following response:[REDACTED]-- First of all I would like to say that I am sorry for your experience with the product. In light of this I will be working on a revision of the website information. ,,,,"Xploderz X2 Retaliator 2000 X2 Retaliator 2000 More ammo and more distance, Xploderz® creates ammo strong enough to shoot huge distances, yet soft enough to disintegrate on impact. •Manufacturer's Suggested Age: 8 Years and Up•Features: Pump Handle, Simple loading mechanism, Quick-draw Refill•Maximum Firing Distance: 100.0 •Includes: Toy Ammunition•Material: Plastic•Dimensions: 24.0  L •Care and Cleaning: Wipe Clean With a Damp Cloth","[{'name': 'Xploderz 45211 Target Strike Set', 'asin': 'B006CDGHTC', 'score': 40.0}, {'name': 'Xploderz 45114 Depot Refills Black', 'asin': 'B004KKXJFE', 'score': 38.095238095238095}, {'name': 'Xploderz 46005 X2 Mauler 1000', 'asin': 'B007KWH91Y', 'score': 55.0}, {'name': 'Maya Wrap 45204 002 Xploderz XStormer', 'asin': 'B003YCPGHI', 'score': 35.55555555555556}]"
1755,20110811-DF9B0-2147476356,8/11/2011 ,,9/1/2011 ,Consumer,Stomp Rocket Ultra,Toys & Children,Toys,Rocketry Sets (1314),1314,D&L Company,Stomp Rocket Ultra,Ultra,,,,,Over thr Rainbow Toys,Alaska,6/3/2011 ,No,"I bought a Stomp Rocket Ultra and brought it to a party.  Adults put it together.  Both children (8-10 years old) and adults stomped on it with no problems sending the rocket about 200 feet in the air.  An adult friend reloaded the launch pad with the nerf-tipped rocket and I looked at the air bladder I was stomping on and the rocket flew squarely into my eye.  We don't know how it changed its direction other than the fact that the launch pad does swivel.  Neither my brow or cheekbone were struck leaving the full impact on my right eye.  I almost detached my retina.  I had retinal bleeding, a corneal abrasion, blood pooling from some other part of my eye and general blunt force trauma surrounding my eye.  I suffered (and still do) from excessive pressure in that eye and am currently on two medications to keep it lower (traumatic glaucoma).  It's been two months since the accident and my eye is still dilated as a result of the accident which causes me to have to wear sunglasses for using a computer  and causes me to have poorer vision. The headaches I have from the accident are continuing.  While I am thankful this did not happen to one of the children present, it certainly could have.  Most likely my injury is permanent.  I coninue to see my ophthamologist and he could not give me a prognosis.  The box for the toy does not show children wearing safety glasses and the print on the outside of the box under WARNING talks about a choking hazard.  Under warnings on the website, it simply says Do not aim at eyes or face (I did not), and To reduce risk of serious eye injury or blindness:  Do not shoot rockets at others.  Keep bystanders behind the launch pad.",Anchorage,Alaska,99507,Home/Apartment/Condominium,Injury - Emergency Department Treatment Received,Female,Self,54.0,No,No,,,No,No,Yes,I feel compelled to tell them of teh danger and may consider other options if my pain is permanent.,,,,Stomp Rocket Ultra Ultra Stomp Rocket Ultra,"[{'name': 'Stomp Rocket Launcher Kids Backyard Outdoor Toys Gifts', 'asin': 'B004OY9EGO', 'score': 80.0}, {'name': 'Stomp Rocket Launcher Kids Backyard Outdoor Toys Gifts', 'asin': 'B0006O8Q7Y', 'score': 80.0}, {'name': 'Stomp Rocket Rockets Packaging Renewed', 'asin': 'B07SNH6CZJ', 'score': 80.0}, {'name': 'Company Ultra Stomp Rockets Extra', 'asin': 'B00EKWS0BK', 'score': 75.86206896551724}, {'name': 'Stomp Rocket Launcher Kids Backyard Outdoor Toys Gifts', 'asin': 'B00FFJZ010', 'score': 80.0}]"
1423,20120627-F455A-1255602,6/27/2012 ,7/27/2012 ,8/10/2012 ,Consumer,Electrical helicopter (3.5 channel RC helicopter),Toys & Children,Toys,Toy Vehicles (Excluding Riding Toys) (5021),5021,SHANTOU SYMA TOYS INDUSTRIAL CO LTD,Syma,S031G ,Unknown ,B004CVSVW2,,,Amazon.com,,6/18/2012 ,Yes,"The consumer stated that she placed the electrical helicopter (3.5 channel RC helicopter) to charge for approximately 5 hours. The consumer stated that the helicopter was sitting on high stool by itself. The consumer stated she could not provide details on what happened because she was not in the same room as the helicopter. The consumer stated that in the middle of the night she heard the fire alarm go off and then short after heard an explosion. She stated that when she entered the room the wall, a painting and the curtain drapes were on fire. The consumer stated that she did not have to contact the fire department. The consumer stated that she put the fire out. The consumer believes that the helicopter probably overheated and the lithium battery exploded. The consumer stated that there were hot and on flaming plastic and metal parts of the helicopter were approximately 15’ away from where the helicopter was located. The consumer stated that no one was injured. The consumer stated that they only experienced coughing from the smoke inhalation. The consumer stated that she believes that this product should be investigated due to the fire hazard that it poses. The consumer stated that she will be contacting the manufacturer to file a complaint. ",Austin,Texas,78757,Home/Apartment/Condominium,"Incident, No Injury",Female,Unspecified,,Yes,No,,,No,No,Yes,The consumer will be contacting the manufacturer to file a complain. ,,,,Syma S031G  Electrical helicopter (3.5 channel RC helicopter),"[{'name': 'SYMA Military Helicopters Helicopter Collectibles', 'asin': 'B0C7R39KJH', 'score': 49.54128440366973}, {'name': 'SYMA Remote Control Helicopter Propeller', 'asin': 'B0D9NHH2HQ', 'score': 38.0}, {'name': 'Syma S111G Channel Helicopter Gyro', 'asin': 'B00DPK10O2', 'score': 51.06382978723404}, {'name': 'SYMA Helicopter Stabilizer Multi Protection Indoor Red', 'asin': 'B07LG1GH8J', 'score': 31.578947368421055}, {'name': 'SYMA Helicopters Helicopter Military Altitude', 'asin': 'B0BMVDXYK4', 'score': 45.714285714285715}, {'name': 'SYMA Helicopter Airplanes Altitude Stabilizer', 'asin': 'B0CN1C1DRG', 'score': 40.0}]"
214,20110527-2D18E-2147478799,5/27/2011 ,,6/21/2011 ,Consumer,Razor 4 wheeler quad riding vehicle for childrensee http://www.buywise.com/content/razor-4-wheeler-causes-injuries-recalled,Toys & Children,Riding Toys,Powered Riding Toys (1330),1330,Razor USA LLC,Razor,The Razor Dirt Quad Electric Ride-On,,,,,not sure,,,No,"The Razor® Dirt Quad Electric RideA friend of ours has a young daughter that lost several fingers by placing them in the brake holes (in the brake wheel), has there been a report of this yet? recall? After posting this incident on a consumer comment board - Buywise.com, an attorney called and was directed to the above mentioned family.   As it turns out, there were several children around the country that were injured from the poor design of the brake wheel on this 4-wheeler. You would think they could design some type of protective cover? Several have lost fingers and one was de-gloved (skin completely removed from hand). The company is choosing to settle with the families but has not done anything to make this product safer.Here is a previously posted situation posted on the CPSRMS public website for this product:Also, for the Razor 4 wheeler, there is a recall for models beginning with the numbers  103110-0 and 103110-02This link has info on how to get the fix for the problem.  They have a defective throttle that causes unexpected surging forward, 2 injuries have been officially reported.  http://www.cpsc.gov/cpscpub/prerel/prhtml08/08410.html [REDACTED]",Clinton Township,Michigan,48035,Home/Apartment/Condominium,Injury - Hospital Admission,Female,My Friend / Neighbor / Co-worker,6.0,No,,,,,Yes,,the manufacture was contacted by the family's attorney, Razor appreciates all comments from its customers about any concerns they have regarding the safe operation of Razor products.  The information contained in the report provided to Razor by the CPSC does not suggest that the product is unsafe when used properly. The incident also suggests the importance of parental supervision and respect for the age-appropriateness and maturity of children allowed to interact with  products designed to be used by older children.  Razor takes safety concerns very seriously and invites any interested consumer to contact Razor at 1-866-467-2967 to discuss any issues of concern. ,,,Razor The Razor Dirt Quad Electric Ride-On Razor 4 wheeler quad riding vehicle for childrensee http://www.buywise.com/content/razor-4-wheeler-causes-injuries-recalled,"[{'name': 'Razor Dirt Quad Variable Speed Hand Operated', 'asin': 'B07SLG9B27', 'score': 50.847457627118644}, {'name': 'Razor Dirt Quad Ride Variable Speed', 'asin': 'B0DK82S31H', 'score': 60.0}, {'name': 'Razor Dirt Quad Kids Ages', 'asin': 'B0BH2QRXW6', 'score': 75.0}, {'name': 'razor 500 dirt quad bike', 'asin': 'b01et72rhi', 'score': 28.57142857142857}, {'name': 'Razor Dune Buggy Electric Four Wheeled', 'asin': 'B0CTZSQS5V', 'score': 53.84615384615385}]"
1763,20110817-C461B-1197066,8/17/2011 ,10/7/2011 ,10/24/2011 ,Consumer,Dexton 12' Great Plains Teepee ,Toys & Children,Toys,"Children's Play Tents, Play Tunnels or Other Enclosures (1322)",1322,DEXTON LLC,Dexton,Dexton 12' Great Plains Teepee ,,699988020003,,,Amazan.com,,7/27/2011 ,No,On 08/02/2011 consumer said that when she went to the backyard she discovered that the teepee tent that she just bought for her grandchild collapsed (reason why unknown). Consumer stated that the teepee/tent (Indoor-Outdoor Play) seems collapsed due to the overnight rain.Consumer is concerned that the teepee materials are not strong enough that could collapse on her grandchild. Consumer believes that the teepee tent could pose a suffocations hazard if her grandchild is inside and the teepee/tent collapsed on her.Consumer coNo injury.,Pompton Lake,New Jersey,07442,Unspecified,"Incident, No Injury",Female,Unspecified,,Yes,No,,,No,Yes,,"Consumer contacted mfr and explained incident to manufacture’s rep., (name unknown) who told that someone will call her back.",,,,Dexton Dexton 12' Great Plains Teepee  Dexton 12' Great Plains Teepee ,"[{'name': 'Dexton Great Plains Teepee', 'asin': 'B00BR37POI', 'score': 100.0}, {'name': 'Teepee Outdoor Foldable Birthday Sleepovers', 'asin': 'B0CYT1Q5NC', 'score': 41.0958904109589}, {'name': 'Dexton DX 1006M Create My Own Washable Playhouse', 'asin': 'B00JNJ1NRS', 'score': 51.282051282051285}, {'name': 'Great Plains Teepee', 'asin': 'B00A8PZVT2', 'score': 100.0}]"
1646,20210703-DDAB6-2147363155,7/6/2021 ,7/8/2021 ,7/22/2021 ,Consumer,Earth magnets,Toys & Children,Toys,Building Sets (1345),1345,Retrospective Goods LLC,Speks,Spectrum 512 Speks,Unknown,Unknown,12/1/2019 ,Unknown,,,,No,"My 7 year old granddaughter swallowed earth magnets and ended up loosing her appendix and in researching, I find these magnets have caused serious surgeries with some kids on colostomy bags and even death.  [REDACTED] did an article Dec 2019 but it doesn't appear to have gotten these banned.  Only serious warnings.  These earth magnets toys that are on the market aren't necessary and should not be sold due to the dangers.",Reston,Virginia,20190,Home/Apartment/Condominium,Injury - Hospital Admission,Female,Other Relative,7.0,,,,,,,,,"Retrospective Goods LLC: The report of harm indicates a 7 year old child swallowed Speks “earth magnets and ended up loosing her appendix….” The report goes on to discuss earth magnets that have resulted in serious surgeries, colostomy bags and death. The report of harm incorrectly confuses high powered rare earth magnets with a flux index of more than 50 with products like Speks with a low flux index (less than 50 kG2 mm2). While rare earth magnets with a flux index greater than 50 have been associated with perforations of internal organs when multiple magnets are swallowed, Retrospective Goods is unaware of any perforation of internal organs resulting from ingestion of Speks. This is to be expected because of the low flux index rating of Speks. Speks are marketed and promoted as a product for adults and are not marketed, promoted or sold as a toy for children. The Speks package bears the following warning label:WARNING: Keep Away From All Children! Do not put near or in nose or mouth. Swallowed magnets can pinch and stick together across intestines causing serious injury or death. Seek immediate medical attention if magnets are swallowed or ingested.The Get Speks website includes the following warnings: WARNING: Keep Away From All Children! Do not put near or in nose or mouth. Swallowed magnets can pinch and stick together across intestines causing serious injury or death. Seek immediate medical attention if magnets are swallowed or ingested. Although Speks is not marketed, promoted, or intended for children, Speks meet all toy and safety standards for children 3 and older and has a flux index rating significantly less than 50 kG2 mm2.",,,Speks Spectrum 512 Speks Earth magnets,"[{'name': 'Speks Magnetic Sensory Stuffer Monstera', 'asin': 'B0B88MX5CL', 'score': 39.436619718309856}, {'name': 'Speks Geode Magnetic Fidget Sphere', 'asin': 'B08GPM4GBS', 'score': 45.45454545454545}]"
