,Product Description,Best Desc. Match,Brand,Best Brand Match,Desc. Match Score,Brand Match Score
74,Bubble blaster,Bubble Beater,Big Bang,Big Blast,81.4814814814815,70.58823529411764
1303,Baby Einstein Ocean Glow Sensory Shaker Musical Toy,Baby Einstein Take Along Tunes Musical Toy,Baby Einstein ,Baby Einstein,70.96774193548387,96.2962962962963
1943,Melissa & Doug Ms. Rachel Puzzle,Melissa &amp; Doug Food Peg Puzzle,Melissa & Doug,Melissa & Doug,72.72727272727273,100.0
3449,Joovy Stroller,Toy Doll Stroller,Joovy,Joovy,70.96774193548387,100.0
3802,Melissa & Doug Farm Animals Chunky Puzzle - 8 Pieces,Melissa &amp; Doug Farm Wooden Chunky Puzzle (8 pcs),Melissa & Doug 3723,Melissa & Doug,76.92307692307692,84.84848484848484
5645,Hasbro MRS Potato Head,Playskool Mr. Potato Head,Hasbro,Hasbro,72.34042553191489,100.0
5897,Barbie monopoly,Barbie Pool,Hasbro ,Hasbro,76.92307692307692,92.3076923076923
6398,Melissa & Doug Take-Along Tool Kit Wooden Construction Toy; yellow square,Melissa &amp; Doug Take-Along Tool Kit Wooden Construction Toy (24 pcs),Melissa & Doug,Melissa & Doug,84.72222222222221,100.0
6874,Thomas the Tank Engine motorized toy,Thomas the Tank Engine Mountain Set,Thomas and Friends,Thomas & Friends,78.87323943661973,88.23529411764706
7248,Daron Spirit Airlines Airport Play Set,Daron Alaska Airlines Airport Play Set,Daron,Daron,84.21052631578947,100.0
11935,Stroller,Swift Stroller,Graco,Graco,72.72727272727273,100.0
13139,"wagon
Radio Flyer 100th Anniversary Edition",Rook 100th Anniversary Edition,Radio Flyer ,Radio Flyer,75.67567567567568,95.65217391304348
13246,Plastic toy shopping cart,Plan Toy Shopping Cart,The Little Tikes,Little Tikes,76.59574468085107,85.71428571428572
14892,V-tech Kidizoom Digital Camera,VTech Kidizoom Plus Digital Camera - Blue,V-Tech,VTech,78.87323943661973,90.9090909090909
15432,Melissa & Doug Jumbo Wooden Stacking Train.,"Melissa &amp; Doug 10572 Stacking Train, 1",Melissa & Doug,Melissa & Doug,70.58823529411764,100.0
