,report_no.,report_date,sent_to_manufacturer/importer/private_labeler,publication_date,category_of_submitter,product_description,product_category,product_sub_category,product_type,product_code,manufacturer/importer/private_labeler_name,brand,model_name_or_number,serial_number,upc,date_manufactured,manufacturer_date_code,retailer,retailer_state,purchase_date,purchase_date_is_estimate,incident_description,city,state,zip,location,(primary)_victim_severity,(primary)_victim's_sex,my_relation_to_the_(primary)_victim,(primary)_victim's_age_(years),submitter_has_product,product_was_damaged_before_incident,damage_description,damage_repaired,product_was_modified_before_incident,have_you_contacted_the_manufacturer,if_not_do_you_plan_to,answer_explanation,company_comments,associated_report_numbers,asin_in_report
0,20231002-D13C7-2147344911,10/2/2023,10/27/2023,11/20/2023,Consumer,Slime globe with colored spheres which resemble [REDACTED] cereal or [REDACTED],Toys & Children,Arts & Crafts,Molding Compounds (1376),1376,TOYSMITH,POLKA DROP SLIME,,,,,,,,,No,"Received a toy at our retail store from Toysmith.com.  A POLKA DOT SLIME globe with 24 1/2 colored spheres inside in yellow, red, and blue which look like [REDACTED] cereal or [REDACTED] and labeled as CHOKING HAZARD,   not for children under 3  and wash hands after use.A very dangerous and attractive danger to all small children.",Nederland,Colorado,80466.0,Other,"No Incident, No Injury",Unknown,Unspecified,,,,,,,,,,"TOYSMITH: Thank you for the opportunity to review and consider this report submitted on www.SaferProducts.gov. Toysmith is committed to designing safe, high quality, and effective products. When customers have an issue with one of our products, we ask that they contact Toysmith to provide us with information and the opportunity to address any concerns they may have, providing us data that helps us continually monitor the efficacy of our products and identify opportunities for quality improvement or possible corrective action.  Toysmith’s product, Polka Dot Slime, consists of multicolored balls suspended in clear gel slime in a clear plastic container. It is nontoxic, and it fully complies with all applicable safety regulations, and is safe for use by consumers. These regulations include proper labeling, physical and mechanical regulations (torque, tension, impact and compression tests as well as materials quality among others), and chemical standards. This product underwent comprehensive safety testing in accordance with CPSC regulations and other relevant industry standards, including ASTM F963 and CPSIA. The tests were conducted by a certified, CPSC accredited, third party laboratory.  The product label includes a choking hazard warning and states that it is not food. Toysmith has not received any consumer complaints that they confused Polka Dot Slime with food. Toysmith is confident that Polka Dot Slime does not present any safety concerns. We encourage the consumer to contact our customer service department directly if there are any additional questions. We will continue to monitor this matter and ensure the quality and safety of our product.",,
1,20180126-BBF18-2147393362,1/26/2018,4/13/2018,4/27/2018,Consumer,Slime kit from Nickelodeon by Cra-Z-Art,Toys & Children,Arts & Crafts,Molding Compounds (1376),1376,LAROSE INDUSTRIES LLC,Nickledodeon Slime,Lot #281117,,8492018829,,,Ross,,12/15/2017,No,"Our 10 year old nephew of whom we have custody, received a gift at Christmas called Nickelodeon Slime. He sustained significant dermatitis on his hands after playing with the product. I called the company and asked about active ingredients and was told the didn't reveal that information. I asked how would we know what to avoid in the future. The company spokesperson said it is no different than lotion, it bothers some and not others. I said well what if it was accidentally ingested how could it be treated? She said, It is not for ingestion. I told her that toddlers are notorious for drinking things they shouldn't. She said the box clearly states that it is not for ingestion or that age group. I told her that most toddlers don't read warnings. She said that I clearly didn't understand what she meant. This product needs to be removed or ingredients listed. There are also no warnings for  adult supervision or any child proof lids. Thank you.",ODESSA,Texas,79762.0,Home/Apartment/Condominium,Injury - First Aid Received by Non-Medical Professional,Male,Other Relative,10.0,Yes,No,,,No,Yes,,I already have explained.," We at Cra-Z-Art® are very sorry that the consumer’s nephew developed dermatitis on his hands.  Cra-Z-Art® cares about our customers and had the Nickelodeon™ Slime™ “Slime Activator” tested by a third-party expert.  That expert advised that the “Activator” is safe when the product’s use instructions are strictly followed.  The product instructions tell consumers that the “Activator” may be irritating to the skin or eyes and to avoid the “Activator” coming into contacting with your eyes.  The instructions tells consumers to not use their hands when mixing in the “Activator,” but to use the stick supplied with the product and to always wash your hand thoroughly after making and handling the “Slime.”  In addition, the “Activator” bottle is labeled:  “Do not permit this liquid to contact the skin or eyes or be ingested.  Wash hands after use.”",,
2,20141231-7C153-2147437145,12/31/2014,1/9/2015,1/26/2015,Consumer,Lalaloopsy Color Me Doll ( Squiggles N. Shapes) of MGA Entertainment,Toys & Children,Arts & Crafts,Crayons or Chalk (5010),5010,MGA Entertainment Inc,Lalaloopsy Color Me ( Squiggles N. Shapes ),531463/531470,,,,,Toys R Us,New Jersey,12/30/2014,No,"I bought the toy for my daughter from Toys R Us. It's Lalaloopsy Color Me ( Squiggles N. Shapes )which they could color or stamped on the doll. After an hour, her eyes were red. She didn't rub her eyes during the time she was playing. The markers that come with the set are toxic since the warning written on the them but small, hardly to be read. The warning this product contains ingredients which could cause for idiosyncratic responses, such as eczema-type allergic reaction in certain susceptible individuals. If skin rash, sensitization or other allergic reaction occurs, seek medical attention immediately. ",Millburn,New Jersey,7041.0,Home/Apartment/Condominium,Injury - No First Aid or Medical Attention Received,Female,My Child,5.0,,,,,,No,No,,The chalk markers included with this item are not toxic.  The formulas have been reviewed by Board Certified Toxologist and found to be non-toxic.  They conform to ASTM D4236 and found to meet or exceed all applicable regulations and industry standards.,,
3,20150204-EC795-2147435743,2/4/2015,3/11/2015,4/1/2015,Health Care Professional,Play Doh by Hasbro,Toys & Children,Arts & Crafts,Molding Compounds (1376),1376,HASBRO INC.,Play Doh,,K4227A3981646,,,,,,,No,"A six year old girl ingested approximately 17 oz of PlayDoh from the “Party Colors” 20oz 4 pack.  This patient died of sodium and calcium poisoning; her blood was found to have critically elevated sodium, chloride and calcium levels.",Columbus,Ohio,,Home/Apartment/Condominium,Death,Female,Unspecified,6.0,No,Yes,,,,Yes,,"[REDACTED] , [REDACTED] at hasbro, was contacted"," At Hasbro, the safety of our products has always been our top priority, and we were saddened to learn of this tragic incident.  The company has been in contact with all relevant authorities re: this incident, which is still under investigation. ",20150204-60300-2147435758,
4,20210313-4AFB1-2147365371,3/13/2021,3/24/2021,4/7/2021,Consumer,Cra-z-art Nickelodeon slime party pack,Toys & Children,Arts & Crafts,Molding Compounds (1376),1376,LAROSE INDUSTRIES LLC,Nickelodeon ,,,8 84920 19089 4,,,five Below in Westminster ,,3/13/2021,No,"Bought Cra-z-art Nickelodeon Slime Party Pack at Five Below in Westminster, Md.  the slime stuck to my sons skin and would not come off. It burned his skin and he had to be taken to urgent care for treatment.  ",Manchester ,Maryland,21102.0,Home/Apartment/Condominium,Injury - Seen by Medical Professional,Male,My Child,5.0,No,No,,,,No,,,,,
5,20120613-6C651-2147466637,6/13/2012,6/21/2012,7/6/2012,Consumer,"set of moon dough, plastic molds, and a purple machine that you load moon dough in the top and crank a lever on the back to mush the dough through a mold. the new shape comes out the bottom of the machine. ",Toys & Children,Arts & Crafts,Metal or Plastic Molding Sets (1319),1319,"Spin Master, Ltd",Moon Dough,Pan Pizza,20037143,7898887838,,,Ross,Washington,6/4/2012,No,"My two boys (ages 3 and 5) and their cousin (age 5) were playing with the Moon Dough Magical Molding Dough Pan Pizza maker. My 3 year old was adding the moon dough to the top of the machine and their cousin was was cranking the crank on the back. My 3 year old got his finger slightly pinched in the top. Then the next time he got it pinched hard enough to slice a fairly deep chunk of skin off his finger (down to the fleshy meat part). I totally agree that one child should not have been cranking as the other child was stuffing, but I also don't think you should be able to get your fingers caught and lacerated in a toy during regular play.",Spokane,Washington,,Home/Apartment/Condominium,Injury - First Aid Received by Non-Medical Professional,Male,My Child,3.0,Yes,No,,,No,No,No,I still have the product.,".In this case, the customer indicated,  they have no intention of contacting us, nor of reporting the incident to us directly.   Should they change their mind we would very much like the chance to review the product, and would be happy to provide a good will exchange of product to them for their help to get us the product to review. We would like to ensure the product was as intended by design and product process controls.   This product line has been a popular line.  Since it was introduced in 2010, the line has sold over 8,750,000 units.  There have been a couple of versions of the product that used the crank mechanism to help a child form the dough into shapes.  These versions with the crank mechanism have sold almost 3 million units into the market.  The years of 2010 and 2011 were the popular years for the product line.  We have a call center, and the contact information to reach us is on the box and in the instructions, and we have an online site as well.  Since 2010 and the product’s introduction we have had less than a 0.05% contacts rate on the units sold. Since the product introduction in 2010, there has been only 1 prior contact about any type of similar incident on the crank mechanism.  There was no medical attention needed, and only minor home attention was used to resolve the incident. The child was okay without any follow up attention.  This is a 0.000034% call rate, based on the prior incident, and in that case the parent merely notified us of the case so we were aware.  I have provided to the CPSC online system 38 lab testing reports specific to this version product, for the USA mechanical, physical and chemical safety standards and requirements.  We use qualified, and registered with CPSC, third party labs that specialize in toy testing.  We have passed all the ASTM F 963 and CPSIA tests.  In addition to the USA requirement passing reports, we have passed all European and Canadian testing requirements.  Using Design Hazard Review to anticipate play patterns and potential concerns, we designed the crank mechanism intentionally to NOT catch or lock in place to prevent potential pinch injuries.  There is no electrical or other motor, so the user decides the speed and power used to drive the mechanism that is forming the dough shapes. This is specifically designed this way so that a child cranking the unit could NOT pinch a finger and jam the mechanism catching skin in place.  All edges are beveled and smoothed.  This is routinely monitored in the production process. We would have liked the opportunity to get the incident product unit back, to determine possible root causes of this incident.  We take reports of concern on our product very seriously.  In this case, the parent has chosen not to contact us directly.  At this time, based on the number of units on the market, our call center contacts, independent testing assessment and reports, as well as our own production controls and auditing, we believe the product is appropriate for use and meets or exceeds all applicable safety requirements.   We are always saddened to hear of a poor experience with a toy.  And we would be happy to exchange this product or help this customer should they contact us. Thank you",,
6,20120731-777FE-2147465205,7/31/2012,8/20/2012,9/4/2012,Consumer,modeling clay air dry red,Toys & Children,Arts & Crafts,Molding Compounds (1376),1376,"American Art Clay Co., Inc.",amaco,,,,,,a c moore and michael's,,7/20/2012,No,"Hello,Thank you for your email. Shopatron only processes the online orders for many manufacturers. You would need to contact the manufacturer directly with your inquiry.  There should be alternate contact information under the Contact Us page on the website.  We apologize for the inconvenience.Regards,Shopatron Global Service Teamhttp://www.orderhlp.com                > moldy clay> ---------->>                 Key: [REDACTED]>                 URL: https://jira.shopatron.com/browse/[REDACTED]>             Project: Consumer Support>          Issue Type: New Ticket>            Reporter: [REDACTED] >            Assignee: [REDACTED] >> Hello,  I purchased 10 lbs. of terra cotta air dry clay from A C Moore in Warminster, Pa. on 7/20/2012. When I opened the box and bag(no twist tie on bag) on 7/23/2012I found mold on all four sides. I went to exchange it for a different box. Upon checking this box it also had mold it was the only one remaining. I was given a refund. I then went to A C Moore in Willow Grove, Pa. which had two boxes both of which were moldy. On 7/24/2012 iwent to Michael's in warrington, Pa., purchased another 10 lb. box of red air dry clay figuring different color and different store maybey different lot and no mold, I was very suprised to go home and open this box to also find mold. After many miles and so much time I decided to cut an inch or more to try to remove the mold wasting half the box of clay. Still some black spots in clay, not sure if its mold or not.I have made bricks(2000) and tile for floors (1000) for my 2 year old grand daughter and I would like to know if this clay is safe to use in a young childs doll house. Will this mold die once dried or will it come alive again when exposed to high humidity. P.S. Any information on this would be greatly appreciated.NONE OF THE BAGS HAD TWIST TIES OR SEALS OF ANY KIND. Thanks, [REDACTED]                                                                                                                   > ____________________________________________________________",warminster,,18974.0,Home/Apartment/Condominium,"Incident, No Injury",Female,Unspecified,2.0,Yes,No,,,No,Yes,,"using product, manufacture never got back to me",,,
7,20110708-B7657-2147477413,7/8/2011,,8/1/2011,Consumer,Crayola Mini Twistable Crayon,Toys & Children,Arts & Crafts,Crayons or Chalk (5010),5010,CRAYOLA LLC,Crayola,Crayola Mini Twistable Crayon,,,,,,,,No,My son put a Crayola Mini Twistable into his mouth.  The crayola got stuck to his upper lip because of a space between the plastic (the end piece twists to turn the crayola out) and when pulled free from his mouth it caused bleeding.  He has a small chunk of skin missing due to this incident and crying.  ,Conrad,Iowa,50621.0,Home/Apartment/Condominium,Injury - No First Aid or Medical Attention Received,Male,My Child,2.0,Yes,No,,,No,No,,,"Crayola takes product safety very seriously.  We investigate each incident report.  We encourage our customers to provide additional information about incidents to our Consumer Contact Center at 1-800-CRAYOLA [800-272-9652], weekdays 9 a.m. - 4 p.m. ET.",,
8,20110628-3BC9A-1189357,6/28/2011,,8/15/2011,Consumer,Crayon,Toys & Children,Arts & Crafts,Crayons or Chalk (5010),5010,CRAYOLA LLC,Crayola,,,,,,,,3/1/2011,Yes,"Consumer was coloring with her daughter on March 6th or 7th with crayons.  Consumer started coloring with a brown crayon, and noticed it was not marking her paper, so she kept turning it.  There was a sharp piece of metal sticking out.  She called her mom and sister who work for a firm, and they told her to call the company, so she did.  They apologized and told her they would send a package to send the crayon back (she still has it), and something for the inconvenience (which was 3 Crayola coupons). If her daughter, age 2, would have put that in her mouth, there could have been some serious damage.  She's writing this report because $15 would not have replaced her daughter, had something happened.",Butler,Pennsylvania,16002.0,Home/Apartment/Condominium,"Incident, No Injury",,Unspecified,,,,,,,,,,,20110401-137BF-1174046,
9,20110401-137BF-1174046,4/1/2011,,5/12/2011,Consumer,Crayola Crayons,Toys & Children,Arts & Crafts,Crayons or Chalk (5010),5010,"BINNEY & SMITH, INC.",Crayola,,,,,,,,,No,Consumer wanted to report that her and her daughter were coloring with a box of crayola wax crayons and a piece of sharp metal in the caryon. The box had 24 wax crayons in it. The consumer was coloring with a brown crayon and had some difficulty using it. When she further inspected the crayon she found that there was metal in  the crayon. The color is brown cafe brun. She was coloring for about 15 minutes before she noticed the caryon with metal. She called the manufacturer and they decided to send her 3 $5 dollar coupon for crayola and a coloring page. They asked that she return the crayon to them and she has not done so. She has not called the retailer. She nor her daughter were injured.,Butler,Pennsylvania,16002.0,Home/Apartment/Condominium,"Incident, No Injury",Female,Unspecified,33.0,Yes,,,,,Yes,,,"Crayola takes product safety very seriously.  We investigate each incident report.  We encourage our customers to provide additional information about incidents to our Consumer Contact Center at 1-800-CRAYOLA [800-272-9652], weekdays 9 a.m. - 4 p.m. ET.",,
